NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
18,54,18,72,52.7042,14.3878,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,53,19,72,52.7042,14.3547,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,53,19,72,53.1388,14.4210,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,54,18,72,52.7042,14.4376,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,54,19,72,52.7908,14.3713,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,54,19,72,52.7042,14.3217,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,53,18,72,52.5312,14.3547,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,54,19,72,52.7908,14.3878,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,53,18,72,52.8776,14.3713,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,54,19,72,52.6176,14.2395,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,54,19,72,52.2728,14.3713,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,54,19,72,51.9300,14.4044,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,53,18,72,52.1869,14.2559,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,54,18,72,52.4449,14.3547,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,54,18,72,52.4449,14.2395,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,53,18,72,52.5312,14.3382,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,53,19,72,52.4449,15.2204,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,54,18,72,49.1806,14.6719,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,54,19,72,52.8776,14.2723,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,54,19,72,49.7523,14.2559,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,54,18,72,52.7908,14.3382,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,54,18,72,52.7042,14.4210,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,54,19,72,52.5312,14.3052,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,53,18,72,55.9089,14.2559,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,54,19,72,53.2262,14.2723,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,54,19,72,50.1644,14.1413,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,53,18,72,51.8446,14.0925,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,54,18,73,52.1011,14.3052,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,54,19,72,51.8446,14.2067,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,54,18,72,51.5045,14.2231,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,54,19,72,52.2728,14.2559,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,54,18,72,51.7594,14.1577,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,54,19,72,52.0155,14.1413,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,54,19,72,51.5045,14.1740,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,54,18,72,50.9142,14.2723,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,54,18,72,51.4198,14.1577,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,54,18,72,51.4198,13.1623,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,54,18,73,52.1011,13.8506,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,54,19,72,51.6743,14.1740,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,54,18,72,51.6743,14.1250,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,53,19,72,52.2728,14.0763,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,54,19,72,51.7594,14.1413,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,53,19,72,52.4449,14.0276,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,54,19,72,52.1869,14.2395,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,54,19,72,52.1869,14.0763,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,54,19,72,49.9992,13.9791,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,54,19,73,49.9992,14.1903,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
