NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
19,60,21,73,13.9929,19.4850,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,60,21,72,14.0988,19.4631,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,60,21,73,14.0458,19.6607,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,60,22,72,13.7573,19.6828,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,60,21,73,13.9929,18.6492,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,60,21,73,14.0723,19.7713,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,60,21,73,14.2857,19.7935,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,60,21,72,14.0193,19.7713,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,60,21,72,13.8094,20.1967,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,60,21,72,12.8243,19.5288,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,60,21,72,13.9140,19.5727,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,61,21,73,14.0723,19.7049,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,60,20,73,13.8616,18.5654,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,60,21,73,13.8355,19.5507,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,60,21,73,13.9666,19.3977,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,60,21,73,13.7573,19.6387,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,61,21,73,13.7054,19.5288,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,60,21,73,13.7054,19.4850,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,60,21,72,13.9403,19.4631,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,61,20,73,13.5764,19.6166,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,60,20,72,13.6795,19.3977,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,60,20,73,13.8616,19.7935,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
20,61,21,73,13.8094,21.2625,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,60,20,72,13.7054,19.3759,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,61,21,73,13.6537,19.5069,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,61,21,72,13.7054,19.4631,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,60,20,73,13.9403,19.6387,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,59,20,73,13.6537,19.6387,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
20,60,21,73,15.6554,19.5507,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
20,60,21,72,13.4995,19.5507,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
20,60,20,73,13.7573,19.5946,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
20,61,21,73,13.7573,18.6702,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,60,21,73,13.2208,21.0264,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
20,61,21,73,13.6021,19.4413,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
20,60,20,73,13.7313,21.1206,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
20,60,20,72,13.7054,19.6828,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
20,61,21,73,13.7313,21.2388,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
19,60,21,73,13.4995,19.5288,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
20,61,21,73,13.4740,19.8601,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
20,60,21,73,13.5507,19.9047,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
20,60,21,73,13.5507,19.5069,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
20,61,21,73,13.5764,19.5069,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
21,60,21,73,13.6795,19.5288,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
20,60,21,73,13.3216,19.4850,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
20,61,20,73,13.6279,19.6166,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
20,60,20,72,13.5251,19.3108,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
20,61,20,73,13.5507,18.4819,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
20,60,20,73,13.3976,19.4413,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
20,60,21,73,13.1957,19.3977,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
21,61,20,73,13.1207,19.3108,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
21,60,20,73,13.0709,19.3977,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
20,60,21,73,13.1457,18.5863,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
21,61,21,73,13.2208,19.3759,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
21,60,21,73,13.1707,19.3759,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
21,61,21,73,13.0213,19.4195,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
21,60,21,73,13.0461,19.2891,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
21,61,21,73,13.0213,19.4850,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
21,61,21,72,13.1457,19.3325,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
21,60,21,74,12.9965,19.2891,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
21,60,21,73,12.8979,19.2891,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
21,61,20,73,13.0213,19.2026,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
21,61,21,73,12.0389,19.3977,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
21,60,21,73,12.9718,19.2458,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
22,60,21,74,12.9471,19.2891,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
22,60,21,73,15.0831,19.7491,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
22,61,21,72,12.9718,19.2026,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
21,60,20,73,12.8733,19.2891,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
21,60,21,73,12.9718,19.6166,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
22,61,21,72,12.9225,18.3780,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
22,60,20,73,12.8979,19.3759,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
21,60,21,73,12.8979,19.2674,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
21,61,20,73,13.0213,19.2026,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
22,61,21,73,14.6111,19.2674,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
22,61,20,73,12.9225,19.1165,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
21,61,21,74,12.9225,19.2891,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
22,61,21,73,12.9471,19.8601,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
22,61,21,73,12.1785,19.6607,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
22,60,21,73,11.9236,19.2026,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
22,61,21,72,11.8320,19.0736,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,61,20,73,13.0709,19.2026,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,61,21,73,12.9471,19.1380,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,61,20,72,13.0461,19.2674,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
22,61,21,74,12.9965,19.2026,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,60,20,73,12.9718,19.2242,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,60,21,73,12.7511,18.9240,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,61,20,73,12.9965,19.2458,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,60,21,73,13.0213,19.1810,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
22,61,20,73,13.0461,19.2026,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,60,21,74,13.0958,19.0950,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
