NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
22,103,23,63,101.6266,28.2371,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
22,103,23,63,96.1469,26.6929,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
22,103,23,63,96.4523,28.1439,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,103,23,64,103.2463,27.2584,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
22,103,23,64,102.4334,28.5184,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,103,23,63,102.9204,28.3306,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,103,22,63,102.2715,28.4557,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,103,23,63,102.2715,28.4871,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
22,103,23,64,101.7874,28.2994,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,102,23,63,100.9855,28.1750,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,103,23,64,101.4659,28.3306,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,103,23,63,101.1454,28.2683,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,102,23,62,100.6665,28.2371,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
22,103,22,64,101.9485,27.9585,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,103,23,64,100.5073,28.0202,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,103,23,63,100.6665,28.1130,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,102,23,63,101.3055,28.2060,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
22,103,23,63,97.5283,28.1439,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,103,23,63,101.1454,28.4244,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
22,102,23,63,100.9855,30.5990,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,103,23,64,101.3055,27.9893,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,103,23,64,101.3055,28.6759,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,103,22,63,101.3055,27.8969,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,103,23,63,100.9855,28.1750,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,103,23,64,101.6266,28.2683,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,103,22,64,102.1099,28.1130,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,102,23,64,100.5073,28.1130,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,103,23,63,102.2715,28.1439,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,102,22,63,101.1454,28.1750,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,103,23,64,94.6339,28.6128,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,103,23,64,102.9204,27.4394,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,102,23,64,106.2243,28.1130,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,103,23,64,100.3484,28.9934,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,103,23,64,101.9485,30.2977,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,102,23,64,100.8258,28.1750,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,103,23,64,100.6665,28.1130,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,103,23,64,99.8730,28.1750,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,103,22,63,100.0312,27.6825,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,102,23,64,100.9855,28.0511,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,103,22,63,100.1897,28.1130,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,102,23,64,99.8730,27.7742,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,103,23,63,100.5073,28.0820,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,102,23,63,98.3039,28.0511,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,102,23,64,96.9120,28.2060,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,102,23,64,100.5073,28.0511,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,103,22,64,99.8730,28.0202,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,102,22,63,100.3484,28.2994,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,103,22,64,99.7150,28.2683,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,102,22,64,99.8730,28.1130,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,102,23,64,99.5573,27.9893,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,102,23,64,100.1897,28.6759,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,102,22,63,98.9287,27.6215,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,103,22,63,98.1484,27.8969,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,102,23,63,98.7722,27.7130,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,102,22,63,98.9287,27.8355,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,102,23,63,98.9287,26.5753,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,102,22,63,98.1484,27.8048,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,102,23,63,99.2425,30.4312,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,102,23,64,99.2425,27.9893,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,102,22,64,98.6159,27.6825,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,102,23,64,99.2425,27.6215,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,102,22,63,99.0855,27.8048,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,102,22,64,97.6830,27.8355,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
25,102,22,64,98.6159,27.6520,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,102,23,64,97.8379,27.6215,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,102,23,64,102.5954,27.4092,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,102,23,63,95.6906,27.4697,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
25,102,23,64,94.9347,27.7742,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,102,23,64,98.4598,27.5607,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
25,102,22,64,98.4598,27.5607,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
25,102,22,64,96.9120,27.6520,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
25,102,22,64,98.3039,27.6520,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,102,22,64,98.6159,27.5000,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,102,23,63,94.4839,27.5303,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,102,22,63,98.6159,27.4394,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,102,22,63,98.1484,27.6825,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,102,22,63,98.1484,26.4582,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,102,23,64,97.2197,27.4092,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
25,101,22,64,97.0657,26.8999,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
25,102,23,64,97.5283,25.7090,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
25,102,23,64,96.7585,27.8048,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
