NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
55,132,42,86,354.0702,17.7662,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
55,132,43,87,359.0732,17.6861,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
55,132,43,87,355.7301,17.8871,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
55,132,42,87,332.6779,18.2542,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
55,132,43,86,363.0146,17.8064,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
55,132,42,87,375.1055,17.7662,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
54,132,42,87,365.8568,17.7462,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
54,132,43,87,348.5941,18.2336,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
55,132,42,87,355.1756,18.0902,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
55,131,42,87,352.9678,17.9275,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
54,132,43,87,353.5184,17.9883,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
55,131,43,87,352.9678,18.0494,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
55,132,43,86,346.4281,17.9478,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
54,132,43,86,350.7742,17.8871,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
55,131,43,87,351.8692,17.1344,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
55,132,43,87,344.2755,18.4403,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
55,132,43,87,344.2755,18.0087,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
54,132,42,86,348.0514,18.0290,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
55,131,43,86,355.7301,17.8064,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
55,131,42,86,355.1756,17.9681,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
55,131,43,87,353.5184,18.0494,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
55,132,43,87,356.2849,17.9275,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
55,132,43,86,351.8692,18.0087,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
55,131,43,87,355.7301,17.9681,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
55,132,43,87,348.5941,19.4413,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
54,132,42,87,353.5184,17.9883,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
55,132,43,86,352.9678,17.8669,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
55,132,43,87,359.0732,17.9883,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
55,132,43,87,357.3975,18.0087,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
55,132,42,87,357.9553,18.0290,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
55,131,43,87,360.1950,18.1310,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
54,132,42,87,354.0702,18.0494,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
55,131,43,86,359.6336,17.9275,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
55,132,43,86,360.1950,18.0290,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
55,131,42,87,357.3975,18.3780,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
55,132,43,86,356.8409,17.2904,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
54,132,42,87,362.4487,18.0087,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
55,131,43,87,368.1468,17.8669,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
54,132,42,87,361.8837,18.1310,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
54,131,43,87,369.8740,18.0902,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
55,131,42,86,361.8837,18.1720,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
