NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
17,62,20,72,72.3598,25.8229,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
17,62,20,72,72.8270,25.6806,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
17,62,20,72,71.5490,25.3420,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
17,62,20,71,70.4057,24.9525,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
17,62,20,71,74.9645,25.5390,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
17,62,20,72,74.3649,26.2255,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
17,62,19,72,71.3190,25.9086,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
17,62,20,71,75.5687,25.7944,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
17,61,19,71,72.0113,25.7374,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
17,62,20,72,77.0376,26.0810,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
17,62,19,71,79.8008,25.6522,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,61,20,72,83.5867,26.0810,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
17,62,20,71,75.6901,25.5672,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
17,62,20,72,74.6042,25.8800,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
17,62,20,72,75.9334,26.4874,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
17,62,20,71,71.4339,25.3420,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,62,20,71,68.2803,25.3420,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,63,21,71,67.7312,25.4544,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
17,62,20,71,68.1702,25.5107,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
17,63,20,72,67.1861,25.7090,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,62,20,71,68.0602,25.0632,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,62,20,71,67.1861,25.0632,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
17,63,19,71,67.5127,25.0078,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
17,63,20,72,80.6995,24.3249,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,62,20,71,76.1775,23.6860,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,62,20,71,75.4475,25.1187,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
17,63,20,71,78.7853,25.5107,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,62,20,72,82.5257,26.6635,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,63,19,71,76.4223,27.1684,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,62,20,72,76.4223,28.2994,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,62,20,71,71.3190,24.8422,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,62,20,72,75.2057,24.2979,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,62,20,72,72.0113,24.1636,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,62,20,71,76.2998,24.1636,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,62,20,72,71.7798,24.5143,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,62,20,72,75.2057,24.7873,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,62,20,71,82.5257,25.1744,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,62,20,72,76.2998,25.2301,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,62,20,72,78.9116,25.2022,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,63,20,72,76.1775,25.0909,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
