NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
134,116,274,768,10,46,0,25.12,1021.38,39.37,246.78,-36.19
134,116,273,767,11,45,0,25.12,1021.37,39.4,246.59,-36.1
133,116,273,768,11,45,0,25.12,1021.36,39.4,246.23,-36.19
133,116,272,768,10,45,0,25.12,1021.37,39.41,245.68,-36.19
133,116,272,767,10,45,0,25.12,1021.37,39.42,246.04,-36.19
133,116,271,767,10,45,0,25.13,1021.37,39.42,246.96,-36.1
133,116,271,768,11,46,0,25.13,1021.36,39.43,247.15,-36.19
132,115,270,768,13,46,0,25.13,1021.37,39.43,246.59,-36.1
132,116,270,767,10,45,0,25.13,1021.36,39.43,249.38,-36.19
131,116,269,767,11,45,0,25.13,1021.37,39.43,248.82,-36.27
132,116,268,767,13,45,0,25.13,1021.38,39.42,248.82,-36.19
131,115,268,767,10,46,0,25.13,1021.37,39.43,247.89,-36.19
131,116,268,767,11,52,0,25.13,1021.37,39.41,246.96,-36.1
131,115,267,767,11,46,0,25.13,1021.36,39.43,246.41,-36.1
131,116,267,768,11,49,0,25.13,1021.36,39.41,248.26,-36.19
131,116,267,768,10,45,0,25.13,1021.37,39.41,246.59,-36.19
131,116,266,767,10,45,0,25.13,1021.37,39.42,247.52,-36.19
130,115,266,767,11,46,0,25.13,1021.37,39.42,247.52,-36.19
130,116,265,768,10,45,0,25.13,1021.37,39.42,247.89,-36.19
130,116,265,767,10,46,0,25.13,1021.37,39.42,249.2,-36.1
130,115,265,767,10,45,0,25.13,1021.36,39.41,247.89,-36.19
130,115,264,768,10,45,0,25.13,1021.37,39.43,248.07,-36.19
130,115,264,767,11,46,0,25.13,1021.37,39.43,248.26,-36.19
129,115,264,767,10,45,0,25.13,1021.37,39.42,249.01,-36.19
130,115,264,768,9,44,0,25.13,1021.37,39.41,247.89,-36.19
129,115,263,768,11,45,0,25.13,1021.37,39.43,248.07,-36.19
129,115,262,768,10,46,0,25.13,1021.37,39.41,247.7,-36.1
129,115,262,767,10,45,0,25.13,1021.36,39.41,249.01,-36.1
129,115,262,768,10,45,0,25.13,1021.36,39.42,248.45,-36.19
129,115,262,768,10,42,0,25.13,1021.37,39.4,247.33,-36.19
128,116,262,768,10,46,0,25.13,1021.37,39.4,247.7,-36.1
128,115,261,768,10,44,0,25.13,1021.36,39.41,250.14,-36.1
129,115,261,768,10,44,0,25.13,1021.36,39.39,248.26,-36.1
129,115,261,768,10,44,0,25.13,1021.36,39.39,250.14,-36.1
129,115,261,768,10,44,0,25.13,1021.36,39.39,249.57,-36.19
128,115,260,768,10,44,0,25.14,1021.37,39.39,248.82,-36.19
128,115,260,768,10,44,0,25.14,1021.37,39.38,248.26,-36.19
128,115,260,768,10,51,0,25.14,1021.37,39.38,248.82,-36.19
128,115,260,768,10,45,0,25.14,1021.37,39.37,251.09,-36.19
128,115,259,768,9,44,0,25.14,1021.37,39.36,248.82,-36.27
128,115,259,768,10,44,0,25.14,1021.38,39.36,249.38,-36.19
128,115,259,768,10,45,0,25.14,1021.37,39.36,248.26,-36.19
128,115,259,768,10,46,0,25.14,1021.37,39.35,248.45,-36.19
128,115,259,768,10,44,0,25.14,1021.37,39.36,247.15,-36.19
128,115,258,769,10,45,0,25.14,1021.37,39.36,248.82,-36.19
128,115,259,769,10,44,0,25.14,1021.37,39.35,248.63,-36.19
128,115,258,769,10,44,0,25.14,1021.37,39.36,247.7,-36.19
128,114,258,768,13,44,0,25.14,1021.37,39.35,248.63,-36.19
128,115,258,769,10,41,0,25.14,1021.37,39.34,249.01,-36.1
127,115,258,770,10,46,0,25.14,1021.36,39.34,249.38,-36.19
128,115,258,769,10,44,0,25.14,1021.37,39.35,249.01,-36.19
128,115,257,769,11,44,0,25.14,1021.37,39.34,249.38,-36.1
128,115,257,769,9,44,0,25.14,1021.36,39.34,250.33,-36.1
127,115,258,770,10,44,0,25.14,1021.36,39.34,249.95,-36.19
127,115,257,771,9,44,0,25.14,1021.37,39.34,250.14,-36.19
127,115,258,771,10,44,0,25.14,1021.37,39.34,249.76,-36.19
127,114,257,770,10,45,0,25.14,1021.37,39.33,248.82,-36.1
128,115,257,771,10,45,0,25.14,1021.36,39.33,249.57,-36.1
128,114,257,771,10,45,0,25.14,1021.36,39.34,250.33,-36.1
127,114,257,771,12,45,0,25.14,1021.36,39.34,249.95,-36.19
128,115,257,772,10,45,0,25.14,1021.37,39.35,249.57,-36.19
128,115,257,771,11,46,0,25.14,1021.37,39.34,249.2,-36.19
127,115,257,771,11,46,0,25.14,1021.37,39.34,249.57,-36.19
128,115,257,771,11,46,0,25.14,1021.37,39.34,250.14,-36.19
128,115,256,771,11,46,0,25.14,1021.37,39.34,249.57,-36.1
128,115,257,771,10,44,0,25.14,1021.36,39.33,248.45,-36.19
128,115,256,772,10,44,0,25.14,1021.37,39.33,249.76,-36.19
128,115,257,772,10,44,0,25.14,1021.37,39.34,250.14,-36.19
128,115,257,771,10,44,0,25.14,1021.37,39.33,249.57,-36.19
128,115,257,772,10,44,0,25.14,1021.37,39.33,250.9,-36.19
129,115,256,772,10,43,0,25.14,1021.37,39.33,248.63,-36.19
128,114,257,772,10,44,0,25.14,1021.37,39.32,251.28,-36.1
129,115,257,771,10,44,0,25.15,1021.36,39.32,249.57,-36.1
