NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
118,126,251,764,9,41,1,25.23,1021.33,38.89,253.01,-35.94
117,126,251,764,10,41,0,25.24,1021.34,38.9,253.4,-36.02
117,125,250,765,10,41,1,25.24,1021.35,38.96,253.4,-36.02
117,126,250,765,10,41,3,25.24,1021.35,39.03,252.82,-36.1
117,125,249,766,11,42,1,25.24,1021.36,39.1,251.85,-36.1
117,126,249,766,10,41,3,25.24,1021.36,39.15,252.05,-36.02
117,126,248,765,10,41,2,25.25,1021.35,39.18,253.59,-36.02
117,125,248,766,10,40,0,25.25,1021.35,39.22,252.05,-36.02
117,126,248,767,10,41,1,25.25,1021.35,39.23,253.21,-36.02
117,126,247,767,10,41,1,25.25,1021.35,39.23,253.4,-35.94
116,126,247,766,10,38,0,25.25,1021.34,39.23,252.43,-35.94
116,125,247,767,10,41,2,25.25,1021.34,39.23,252.24,-35.94
116,126,247,767,10,41,3,25.25,1021.34,39.25,252.43,-35.94
116,125,246,767,10,40,0,25.26,1021.34,39.25,253.4,-35.94
116,125,246,767,10,40,1,25.26,1021.34,39.23,253.01,-35.94
116,126,245,768,10,40,0,25.26,1021.34,39.22,252.62,-36.02
116,126,245,768,10,41,1,25.26,1021.35,39.22,252.43,-36.02
116,126,245,768,10,41,4,25.26,1021.35,39.22,253.4,-36.02
116,125,245,768,11,40,71,25.26,1021.35,39.22,251.66,-36.02
115,125,244,768,10,45,0,25.26,1021.35,39.22,251.85,-36.02
116,125,244,769,10,41,0,25.26,1021.35,39.22,252.05,-35.94
116,125,244,769,10,41,2,25.26,1021.34,39.22,252.62,-35.94
115,125,244,768,10,41,11,25.26,1021.34,39.21,251.66,-35.94
116,125,243,769,10,40,2,25.26,1021.34,39.19,252.24,-35.94
116,125,243,769,10,45,1,25.26,1021.34,39.19,253.01,-35.94
115,125,243,769,10,41,4,25.27,1021.34,39.18,253.21,-35.94
116,125,243,770,10,38,1,25.27,1021.34,39.17,252.05,-36.02
116,125,242,770,10,41,1,25.27,1021.35,39.16,252.43,-35.94
116,125,242,770,10,40,2,25.27,1021.34,39.17,253.4,-35.94
115,125,242,770,10,40,5,25.27,1021.34,39.17,253.59,-35.94
115,125,241,770,10,41,2,25.27,1021.34,39.16,253.79,-35.94
116,125,242,771,10,41,0,25.27,1021.34,39.15,253.01,-35.94
116,125,241,771,10,41,2,25.27,1021.34,39.14,252.62,-35.94
116,125,241,771,10,41,0,25.27,1021.34,39.14,252.82,-36.02
116,125,241,771,10,41,0,25.27,1021.35,39.14,253.4,-35.94
116,125,240,771,10,41,3,25.27,1021.34,39.12,253.4,-35.94
116,125,240,772,10,41,3,25.27,1021.34,39.13,253.21,-36.02
116,125,240,772,10,41,4,25.27,1021.35,39.13,251.85,-36.02
115,125,240,771,10,40,15,25.27,1021.35,39.14,253.79,-36.02
116,125,240,772,10,41,4,25.27,1021.35,39.13,253.59,-35.94
116,125,240,772,10,41,6,25.27,1021.34,39.12,253.4,-35.94
116,125,240,772,10,41,0,25.27,1021.34,39.12,253.98,-35.94
116,125,239,772,10,42,115,25.27,1021.34,39.11,253.21,-35.94
116,125,239,772,10,41,2,25.27,1021.34,39.11,254.18,-35.94
116,125,239,772,11,41,1354,25.27,1021.34,39.11,252.43,-35.94
116,125,239,772,10,41,3,25.27,1021.34,39.1,253.21,-36.02
115,125,239,772,10,41,8,25.27,1021.35,39.11,252.43,-35.94
116,125,238,773,11,41,3,25.27,1021.34,39.08,252.62,-36.02
116,125,238,773,10,41,1,25.27,1021.35,39.08,253.98,-35.94
116,125,238,773,10,40,0,25.27,1021.34,39.09,254.18,-36.02
116,125,238,773,10,41,11,25.27,1021.35,39.08,254.18,-35.94
116,125,237,773,10,41,7,25.28,1021.34,39.09,254.18,-35.86
115,125,237,773,11,41,1,25.28,1021.33,39.1,252.82,-35.86
116,125,238,773,10,41,4294967295,25.28,1021.33,39.1,253.59,-35.86
116,125,237,773,11,41,4294967295,25.27,1021.33,39.1,253.98,-35.86
116,125,237,774,10,41,4,25.27,1021.33,39.1,253.21,-35.86
116,125,237,774,11,41,32,25.27,1021.33,39.08,253.79,-35.86
116,125,237,774,11,42,71,25.27,1021.33,39.08,254.18,-35.77
116,125,237,774,11,40,47,25.27,1021.32,39.07,254.77,-35.86
116,124,236,774,11,41,1354,25.27,1021.33,39.05,254.37,-35.86
116,125,236,774,10,46,2929,25.27,1021.33,39.06,254.57,-35.86
116,125,237,775,11,42,456,25.27,1021.33,39.07,253.79,-35.86
116,125,236,774,11,41,744,25.27,1021.33,39.08,254.96,-35.86
117,125,237,775,11,41,0,25.27,1021.33,39.08,254.77,-35.94
116,125,236,775,11,41,2,25.27,1021.34,39.07,253.98,-36.02
116,125,236,775,11,41,4294967295,25.27,1021.35,39.07,253.4,-35.86
116,125,236,775,11,41,71,25.27,1021.33,39.07,254.77,-35.86
116,125,236,775,11,41,4294967295,25.27,1021.33,39.06,254.37,-35.86
116,125,236,775,11,42,13,25.27,1021.33,39.07,254.77,-35.77
116,125,236,775,12,42,8,25.27,1021.32,39.04,253.01,-35.77
116,125,236,775,11,42,4294967295,25.27,1021.32,39.04,254.77,-35.69
116,125,236,776,11,43,4294967295,25.27,1021.31,39.02,253.98,-35.77
116,125,235,776,11,42,4294967295,25.27,1021.32,39.02,253.21,-35.77
117,125,236,776,11,40,8678,25.27,1021.32,39.02,253.21,-35.77
117,125,235,776,11,42,4294967295,25.27,1021.32,39.01,255.16,-35.86
117,125,235,776,11,42,20,25.27,1021.33,39.0,253.79,-35.86
116,125,235,776,11,42,27,25.27,1021.33,39.01,253.98,-35.94
117,125,235,776,11,42,55735,25.28,1021.34,39.01,253.21,-35.86
117,125,235,776,10,42,0,25.28,1021.33,39.0,254.37,-35.94
117,125,235,776,11,42,71,25.28,1021.34,38.99,253.01,-35.86
117,125,235,776,11,47,211,25.27,1021.33,38.98,254.77,-35.86
117,125,235,776,11,42,4294967295,25.27,1021.33,38.98,254.57,-35.94
117,125,234,776,11,42,4294967295,25.27,1021.34,39.0,254.18,-35.86
117,125,235,776,10,41,4294967295,25.27,1021.33,39.0,254.37,-35.94
118,125,235,776,11,41,32,25.27,1021.34,39.01,253.59,-35.94
117,125,235,776,11,41,0,25.28,1021.34,39.0,254.37,-35.86
117,125,234,777,11,41,47,25.28,1021.33,39.01,255.16,-35.94
117,125,235,777,11,41,1,25.28,1021.34,39.01,254.37,-35.94
118,126,235,776,11,39,13,25.28,1021.34,39.01,254.57,-35.94
117,125,235,776,11,40,4294967295,25.28,1021.34,39.0,255.56,-35.86
118,125,235,777,10,40,211,25.28,1021.33,38.99,254.77,-35.94
118,125,235,776,11,40,1354,25.28,1021.34,38.99,255.56,-35.94
118,125,235,776,11,39,89,25.28,1021.34,38.98,254.96,-35.86
118,125,235,777,11,41,12,25.28,1021.33,38.98,254.96,-35.94
118,126,234,777,11,41,8678,25.28,1021.34,38.97,253.98,-35.94
118,125,235,776,11,40,4294967295,25.28,1021.34,38.96,253.4,-35.94
118,126,235,777,10,41,4294967295,25.28,1021.34,38.96,253.98,-35.94
118,125,235,776,11,41,71,25.28,1021.34,38.95,254.18,-35.94
118,126,235,777,9,41,47,25.28,1021.34,38.97,253.98,-35.94
118,126,234,777,11,41,1354,25.28,1021.34,38.95,255.56,-35.94
118,125,234,776,10,36,8678,25.28,1021.34,38.95,254.37,-35.86
119,125,234,777,11,41,18,25.28,1021.33,38.95,254.77,-35.86
118,125,235,777,11,41,4294967295,25.28,1021.33,38.94,254.77,-35.86
119,126,235,778,11,41,0,25.28,1021.33,38.94,255.95,-35.86
119,126,234,777,11,41,301,25.28,1021.33,38.94,254.77,-35.86
119,125,235,778,11,45,115,25.28,1021.33,38.95,255.16,-35.86
119,126,234,778,11,41,71,25.28,1021.33,38.95,254.57,-35.86
119,126,235,778,11,41,4294967295,25.28,1021.33,38.94,255.56,-35.86
119,125,235,778,10,42,3,25.28,1021.33,38.93,254.77,-35.86
119,126,236,778,11,41,1,25.28,1021.33,38.94,255.16,-35.77
119,126,235,778,11,40,6,25.28,1021.32,38.94,255.95,-35.77
120,126,235,778,9,38,5,25.28,1021.32,38.95,253.98,-35.86
120,126,235,778,11,41,27,25.28,1021.33,38.94,255.56,-35.86
119,126,235,778,11,42,744,25.28,1021.33,38.95,255.16,-35.77
119,125,235,779,11,42,32,25.28,1021.32,38.94,255.16,-35.86
120,126,235,778,11,42,4294967295,25.28,1021.33,38.95,255.36,-35.86
120,126,236,778,11,41,4294967295,25.28,1021.33,38.95,254.37,-35.86
120,126,235,778,10,41,39,25.28,1021.33,38.94,254.77,-35.86
120,126,236,778,11,42,32,25.28,1021.33,38.94,255.95,-35.86
121,126,236,779,11,42,47,25.28,1021.33,38.94,253.21,-35.77
120,125,236,779,11,47,55735,25.28,1021.32,38.94,254.96,-35.86
120,126,236,778,11,41,4294967295,25.28,1021.33,38.94,255.36,-35.86
120,126,236,778,11,42,4294967295,25.28,1021.33,38.94,255.16,-35.86
121,126,236,779,11,41,57,25.28,1021.33,38.94,255.16,-35.86
121,126,237,778,11,42,115,25.28,1021.33,38.94,255.36,-35.86
121,126,236,778,12,43,153,25.28,1021.33,38.93,254.77,-35.86
121,126,236,779,11,43,4294967295,25.28,1021.33,38.93,254.57,-35.77
121,126,237,779,14,42,1354,25.28,1021.32,38.93,254.57,-35.77
121,126,237,778,12,43,4294967295,25.27,1021.32,38.93,253.98,-35.77
121,126,237,778,12,43,4294967295,25.27,1021.32,38.94,255.56,-35.77
120,126,236,779,10,43,115,25.27,1021.32,38.93,253.98,-35.77
121,126,237,779,12,42,211,25.27,1021.32,38.92,254.18,-35.77
121,126,237,778,11,42,4294967295,25.27,1021.32,38.93,255.95,-35.77
122,126,237,779,12,42,3,25.27,1021.32,38.93,253.98,-35.69
122,126,237,779,15,43,211,25.27,1021.31,38.94,253.79,-35.69
122,126,237,779,15,44,2929,25.27,1021.31,38.94,253.98,-35.77
121,126,237,779,12,42,1,25.27,1021.32,38.94,254.57,-35.77
121,126,238,779,13,42,47,25.27,1021.32,38.93,253.98,-35.69
122,126,238,779,12,42,8,25.27,1021.31,38.94,254.77,-35.69
121,127,238,779,12,42,0,25.27,1021.31,38.93,253.98,-35.77
122,126,239,779,12,43,39,25.27,1021.32,38.93,255.56,-35.77
122,126,238,779,12,42,11,25.27,1021.32,38.94,254.77,-35.77
122,126,238,779,12,42,5,25.27,1021.32,38.93,253.79,-35.69
123,126,239,779,12,41,153,25.27,1021.31,38.92,254.18,-35.69
122,126,239,779,12,41,23,25.27,1021.31,38.92,253.79,-35.69
122,126,239,779,12,42,47,25.27,1021.31,38.93,253.59,-35.69
123,127,239,778,12,39,1,25.27,1021.31,38.92,254.37,-35.69
122,127,239,779,12,42,0,25.27,1021.31,38.92,253.01,-35.69
123,127,239,779,12,43,0,25.27,1021.31,38.92,253.98,-35.69
123,127,239,779,12,48,3,25.27,1021.31,38.92,252.82,-35.69
123,126,240,779,12,41,5,25.27,1021.31,38.92,253.98,-35.69
123,127,239,779,12,41,11,25.27,1021.31,38.92,253.59,-35.61
123,127,240,780,12,42,5,25.27,1021.3,38.92,255.16,-35.69
124,127,240,779,11,41,0,25.27,1021.31,38.92,255.56,-35.69
124,127,240,780,12,42,456,25.27,1021.31,38.92,253.4,-35.77
124,127,240,780,12,42,1,25.27,1021.32,38.93,252.43,-35.77
124,127,241,780,13,43,0,25.27,1021.32,38.91,254.18,-35.77
124,127,240,780,13,43,744,25.27,1021.32,38.92,252.43,-35.69
124,127,241,780,13,44,9,25.27,1021.31,38.92,253.79,-35.69
124,127,241,780,13,43,0,25.27,1021.31,38.91,254.37,-35.69
124,127,242,780,15,42,4,25.27,1021.31,38.92,252.43,-35.69
124,128,242,780,12,42,1,25.27,1021.31,38.9,253.59,-35.69
124,127,242,780,12,43,211,25.27,1021.31,38.91,252.82,-35.69
124,127,242,781,12,45,71,25.27,1021.31,38.92,254.37,-35.69
125,127,242,780,13,43,47,25.27,1021.31,38.92,253.98,-35.69
125,128,243,780,12,43,2,25.27,1021.31,38.91,252.82,-35.61
124,128,243,780,12,43,1354,25.27,1021.3,38.91,252.43,-35.61
125,128,243,780,13,43,4294967295,25.27,1021.3,38.9,253.59,-35.61
125,128,243,781,14,44,11,25.27,1021.3,38.9,251.66,-35.69
125,127,244,781,13,43,2,25.27,1021.31,38.91,251.85,-35.61
125,128,244,781,14,43,0,25.27,1021.3,38.9,252.05,-35.61
125,128,244,781,14,44,39,25.27,1021.3,38.91,252.62,-35.69
125,128,244,781,13,43,3,25.27,1021.31,38.9,252.62,-35.69
125,128,244,781,14,44,7,25.27,1021.31,38.9,251.28,-35.61
126,129,244,781,14,44,9,25.27,1021.3,38.89,252.62,-35.69
126,128,244,781,15,44,8,25.27,1021.31,38.9,252.43,-35.61
125,129,245,781,15,45,4,25.27,1021.3,38.9,254.37,-35.61
