NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
16,60,20,71,34.1804,28.8660,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
16,60,20,71,35.6648,28.6759,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
15,60,20,71,34.3555,26.2834,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
16,61,20,71,33.6025,26.3998,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
16,61,20,71,33.1466,26.4874,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
16,61,20,70,34.1222,26.6635,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
16,61,20,70,34.0641,26.8703,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
16,61,20,70,33.7749,26.9594,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
16,61,20,71,34.0061,26.6929,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
16,60,20,70,34.3555,26.6929,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
15,60,19,70,34.2387,26.1965,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
16,61,20,71,34.2387,26.7224,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
16,60,20,71,33.6025,27.5000,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
16,61,20,70,34.1222,26.8703,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
16,60,20,71,34.1222,27.2284,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
16,60,20,71,34.2971,26.8703,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
16,60,20,70,34.9451,27.1684,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
15,60,20,71,34.0061,27.0488,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
16,61,20,71,34.4141,27.3186,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
16,60,20,71,35.1836,29.9334,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
16,60,20,71,35.0046,25.5390,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
15,61,20,71,34.9451,26.3707,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
16,60,20,70,35.1836,27.3186,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
16,60,20,71,34.7082,27.0189,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
16,60,20,71,34.7082,26.9296,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
16,60,20,71,34.2387,26.9296,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
16,60,20,71,34.3555,29.3142,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
16,61,20,71,34.1222,26.7814,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
16,61,20,71,34.4141,27.1384,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
16,61,20,71,34.5315,26.8703,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
16,60,20,71,34.6492,26.9891,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
16,60,20,71,36.2134,28.1439,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
16,61,20,71,34.8265,26.6047,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
16,60,20,71,33.6599,26.0810,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
16,60,20,71,34.5315,26.6047,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
16,61,20,71,34.7082,26.6635,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
15,61,20,71,33.7174,26.8406,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
16,60,20,71,34.5315,26.6340,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
16,60,20,70,34.2971,26.4874,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
16,60,20,71,34.6492,26.4582,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
17,60,20,71,35.2434,26.6635,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
16,61,20,71,34.3555,26.5753,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
16,61,20,71,34.7082,26.7814,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
