NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
20,93,29,75,139.8403,16.1699,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
20,93,29,75,140.0593,15.7514,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
19,92,30,75,150.9703,16.2993,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
20,93,30,76,152.3911,16.1331,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
20,93,30,75,148.3988,16.2993,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
20,93,30,75,157.4680,16.2622,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
20,92,30,75,147.0143,16.3178,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
20,92,30,75,146.7848,15.5725,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
20,92,30,75,146.7848,17.4477,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
20,93,30,75,147.9360,16.2437,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
20,93,30,75,146.3269,16.7120,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
20,92,30,75,145.1879,15.9140,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
21,92,30,75,147.0143,16.3550,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
20,92,29,75,148.3988,16.4483,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
20,92,30,75,149.7961,16.2622,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
20,92,29,75,147.9360,16.3364,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
20,92,30,75,148.8631,16.2068,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
21,93,29,75,155.2722,16.3178,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
20,92,30,75,142.4897,16.5045,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
19,93,30,75,139.8403,16.4670,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
21,93,30,75,140.2786,17.4872,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
20,92,30,75,140.4981,16.3923,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
20,92,30,75,144.9612,16.5233,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
20,92,29,75,148.6308,16.2068,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
20,93,30,75,148.8631,16.3178,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
