NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
157,345,153,116,166.8188,14.2723,0.0019,34.0300,689.8300,100.0000,808.3700,3156.5579
157,346,154,116,163.2183,14.2559,0.0020,34.0300,689.8300,100.0000,808.3700,3156.5579
157,345,153,116,161.9510,14.1740,0.0020,34.0300,689.8300,100.0000,808.3700,3156.5579
158,345,153,116,162.7103,13.7389,0.0020,34.0300,689.8300,100.0000,808.3700,3156.5579
157,345,154,116,160.4429,14.3713,0.0019,34.0300,689.8300,100.0000,808.3700,3156.5579
157,345,153,117,159.4452,14.2559,0.0017,34.0300,689.8300,100.0000,808.3700,3156.5579
158,345,153,116,160.1930,14.1413,0.0014,34.0300,689.8300,100.0000,808.3700,3156.5579
157,344,153,116,160.9441,13.9791,0.0019,34.0300,689.8300,100.0000,808.3700,3156.5579
157,344,153,116,159.9433,14.1903,0.0017,34.0300,689.8300,100.0000,808.3700,3156.5579
157,344,153,117,158.4535,14.2723,0.0017,34.0300,689.8300,100.0000,808.3700,3156.5579
157,345,153,116,162.2037,14.0763,0.0027,34.0300,689.8300,100.0000,808.3700,3156.5579
158,345,153,117,159.9433,14.1088,0.0020,34.0300,689.8300,100.0000,808.3700,3156.5579
158,345,153,116,159.9433,14.0600,0.0023,34.0300,689.8300,100.0000,808.3700,3156.5579
158,344,153,116,161.1952,13.9953,0.0020,34.0300,689.8300,100.0000,808.3700,3156.5579
158,344,153,117,166.5591,13.9791,0.0015,34.0300,689.8300,100.0000,808.3700,3156.5579
158,344,153,116,160.6933,13.6281,0.0025,34.0300,689.8300,100.0000,808.3700,3156.5579
158,344,153,117,163.7280,13.9953,0.0023,34.0300,689.8300,100.0000,808.3700,3156.5579
158,344,153,117,160.9441,14.0114,0.0027,34.0300,689.8300,100.0000,808.3700,3156.5579
158,344,154,116,159.4452,13.9469,0.0016,34.0300,689.8300,100.0000,808.3700,3156.5579
158,344,153,116,159.4452,13.8026,0.0021,34.0300,689.8300,100.0000,808.3700,3156.5579
157,344,152,116,166.0408,13.8987,0.0024,34.0300,689.8300,100.0000,808.3700,3156.5579
158,344,153,117,167.0791,13.9953,0.0016,34.0300,689.8300,100.0000,808.3700,3156.5579
158,343,153,117,165.2663,13.6124,0.0020,34.0300,689.8300,100.0000,808.3700,3156.5579
