NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
34,72,24,67,95.5389,27.3488,0.0000,28.7300,1014.9300,18.3930,595.4900,17.1846
35,72,24,67,101.6266,28.4244,0.0000,28.3400,1014.9500,18.3350,495.8000,17.0184
35,72,24,67,102.4334,28.2060,0.0000,28.1700,1014.9500,18.3610,507.8380,17.0184
35,73,24,66,105.0566,29.2498,0.0000,28.1200,1014.9300,18.3840,519.2640,17.1846
35,72,24,67,100.6665,28.3306,0.0000,28.1400,1014.9300,18.4170,528.6970,17.1846
35,73,24,67,102.9204,28.4871,0.0000,28.1800,1014.9300,18.4380,535.8930,17.1846
35,72,24,67,102.9204,28.5813,0.0000,28.2400,1014.9500,18.4460,543.2880,17.0184
35,73,24,67,103.2463,28.7391,0.0000,28.3000,1014.9500,18.4520,551.3430,17.0184
35,73,24,67,105.7223,28.5184,0.0000,28.3500,1014.9700,18.4730,554.0820,16.8527
35,72,24,67,103.0832,27.8969,0.0000,28.4000,1014.9500,18.4730,562.4630,17.0184
35,73,24,67,103.4096,31.2789,0.0000,28.4500,1014.9500,18.4760,562.9360,17.0184
35,73,24,67,102.9204,27.1984,0.0000,28.4800,1014.9300,18.4880,570.6140,17.1846
35,72,24,67,102.9204,28.5813,0.0000,28.5200,1014.9300,18.4740,568.6750,17.1846
34,73,24,67,102.9204,28.3306,0.0000,28.5500,1014.9700,18.4850,575.5210,16.8527
35,73,24,67,102.1099,28.4557,0.0000,28.5800,1014.9500,18.4830,574.5330,17.0184
34,72,24,67,101.3055,28.9296,0.0000,28.6000,1014.9500,18.4590,581.0160,17.0184
35,73,24,66,101.4659,28.4557,0.0000,28.6200,1014.9500,18.4640,580.0090,17.0184
35,73,24,67,102.1099,28.4244,0.0000,28.6400,1014.9500,18.4650,583.0410,17.0184
35,73,24,66,102.5954,27.1085,0.0000,28.6600,1014.9500,18.4600,582.5330,17.0184
35,73,24,66,95.6906,27.4394,0.0000,28.6700,1014.9500,18.4570,584.5680,17.0184
35,73,24,67,101.6266,28.3306,0.0000,28.6800,1014.9300,18.4510,588.1640,17.1846
35,72,24,67,102.5954,28.2994,0.0000,28.6900,1014.9300,18.4470,591.8040,17.1846
35,73,24,67,100.6665,28.2994,0.0000,28.7000,1014.9100,18.4380,591.8040,17.3513
35,73,24,67,102.2715,28.3931,0.0000,28.7100,1014.9300,18.4330,592.3280,17.1846
35,73,24,67,94.6339,28.3931,0.0000,28.7200,1014.9100,18.4290,595.4900,17.3513
35,73,24,67,100.3484,28.0202,0.0000,28.7300,1014.9100,18.4290,595.4900,17.3513
34,73,24,67,93.5884,28.6128,0.0000,28.7300,1014.9300,18.3980,597.0840,17.1846
35,73,24,67,98.1484,28.2683,0.0000,28.3500,1014.9700,18.3410,490.7120,16.8527
35,73,24,67,103.0832,28.4871,0.0000,28.1800,1014.9500,18.3820,504.7740,17.0184
