NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
23,59,21,72,42.8477,16.0598,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,59,20,72,43.1348,16.0598,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,59,20,73,44.0068,16.0964,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,59,21,72,46.0283,16.0415,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,59,21,72,44.1537,16.0781,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,59,21,72,43.7144,16.1147,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,59,21,72,43.7144,16.0781,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,58,21,72,42.7762,16.1331,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
22,59,20,72,43.7873,16.0964,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,59,20,72,43.9335,16.2993,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,59,21,72,44.5971,16.1331,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,58,21,72,44.9697,16.2252,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,59,21,72,44.5229,16.2252,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,58,20,72,43.4962,16.2993,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,59,20,72,42.8477,16.1883,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,58,21,72,41.9968,16.2252,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,59,21,72,41.9968,16.2068,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,59,21,73,41.5772,16.1699,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,59,21,72,42.8477,16.2622,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,59,21,73,43.2790,16.1331,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,59,21,72,44.3010,16.2068,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,58,21,73,44.9697,16.2993,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,59,21,72,44.8950,16.2622,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,59,20,72,46.0283,16.3178,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,59,21,72,45.7235,16.1883,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,59,21,72,44.5229,16.2437,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
25,59,21,72,43.1348,16.2993,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,59,21,73,43.3513,16.0964,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,59,21,72,42.3494,16.2068,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,59,20,72,41.3688,15.9503,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
25,59,21,73,41.5076,15.8958,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
25,58,20,72,41.5772,15.8596,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
25,59,20,72,42.8477,17.1927,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,59,21,72,42.9193,15.8958,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,58,20,72,39.3370,15.5903,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
25,59,21,73,40.3412,15.6439,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
25,59,21,72,39.3370,15.6439,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,59,21,73,40.4090,15.6082,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
25,59,21,72,40.5448,15.6260,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
25,59,21,73,41.2304,15.6439,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
25,60,21,73,42.3494,15.6260,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
25,59,21,72,41.6468,15.5725,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
25,59,20,72,42.2080,15.8415,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
25,59,21,73,41.7166,15.6082,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
25,59,21,73,41.0924,15.6439,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
25,59,20,72,41.1614,15.7155,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
25,59,21,72,40.0039,15.6617,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
25,59,21,72,40.4769,15.5725,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,59,20,72,39.5360,15.5725,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
25,59,21,73,39.1389,15.6796,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
25,59,21,72,39.3370,15.6617,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
25,59,21,72,41.2995,15.6082,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
25,60,21,73,41.7865,15.6796,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
25,59,21,73,41.3688,15.6260,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
25,59,21,73,41.9968,15.6976,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
25,59,20,72,41.7865,15.6082,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
25,59,21,73,41.2304,15.5370,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
26,59,21,72,40.8178,15.6082,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
25,59,21,72,39.5360,15.5015,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
25,59,21,73,40.4090,15.5725,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,59,21,73,41.2304,16.1515,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
26,59,21,73,41.5076,16.4296,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
25,59,20,72,40.8178,15.3604,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
26,59,20,73,40.4769,15.4308,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
26,59,21,72,40.1385,15.2378,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
26,59,21,73,39.4696,15.3604,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
26,59,21,73,39.7359,15.2378,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
26,59,21,73,38.5501,15.2902,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
26,59,21,73,39.1389,15.0988,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
26,59,21,73,39.0731,15.0815,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
