NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
21,52,18,71,16.2166,17.2122,0.0000,27.5800,1008.3400,27.7880,395.5850,72.0835
21,51,18,72,15.3956,16.0049,0.0000,27.6400,1008.3400,27.7930,399.6000,72.0835
21,52,18,72,15.8896,15.8958,0.0000,27.7000,1008.3600,27.8180,405.1640,71.9164
21,52,18,72,16.3370,15.9503,0.0000,27.7500,1008.3600,27.8070,403.6980,71.9164
21,52,18,71,16.3370,15.9685,0.0000,27.8000,1008.3400,27.8130,410.1290,72.0835
21,52,18,72,16.2767,16.0781,0.0000,27.8400,1008.3400,27.7990,412.9120,72.0835
21,52,18,72,16.3974,16.0598,0.0000,27.8700,1008.3600,27.7890,414.1900,71.9164
21,52,19,71,16.4581,16.0598,0.0000,27.9000,1008.3400,27.7820,424.7020,72.0835
21,52,18,72,15.0831,16.0964,0.0000,27.9300,1008.3800,27.7720,423.3590,71.7493
21,52,18,72,15.9191,17.2317,0.0000,27.9500,1008.3600,27.7590,418.0700,71.9164
21,52,18,72,15.8014,16.1331,0.0000,27.9700,1008.3600,27.7440,420.6980,71.9164
21,52,19,72,14.5019,16.0781,0.0000,27.9900,1008.3600,27.7350,426.0540,71.9164
21,52,19,71,15.4243,16.0598,0.0000,28.0000,1008.3600,27.7280,427.1410,71.9164
21,52,18,71,15.3098,16.0232,0.0000,28.0200,1008.3600,27.6970,419.9060,71.9164
21,51,18,72,15.4530,15.9685,0.0000,28.0300,1008.3800,27.6930,430.9920,71.7493
21,52,18,72,16.2767,15.8958,0.0000,28.0400,1008.3600,27.6820,434.0670,71.9164
21,52,18,72,15.7137,15.8235,0.0000,28.0500,1008.3800,27.6670,427.1410,71.7493
21,52,18,72,15.6264,15.6439,0.0000,28.0600,1008.3600,27.6500,425.5120,71.9164
21,52,18,71,14.6385,16.2252,0.0000,28.0700,1008.3800,27.6320,435.1950,71.7493
19,52,18,72,14.2053,15.7514,0.0000,28.0800,1008.3800,27.6210,433.5040,71.7493
21,51,18,71,15.1113,15.8235,0.0000,27.6300,1008.3600,27.5750,336.5470,71.9164
21,52,18,71,15.1113,15.7694,0.0000,27.4300,1008.3600,27.6210,355.4330,71.9164
21,52,18,72,14.7486,15.8596,0.0000,27.3800,1008.3200,27.6560,367.3260,72.2506
21,52,18,72,15.2245,15.6976,0.0000,27.4100,1008.3200,27.6910,375.7070,72.2506
21,52,18,72,15.3098,15.7514,0.0000,27.4600,1008.3600,27.7230,385.3370,71.9164
21,52,19,71,15.3098,15.8054,0.0000,27.5200,1008.3400,27.7410,396.2880,72.0835
21,52,18,72,15.3384,15.7694,0.0000,27.5900,1008.3400,27.7550,395.5850,72.0835
21,52,18,72,15.4818,15.7155,0.0000,27.6600,1008.3600,27.7570,410.6320,71.9164
21,52,18,72,15.3384,15.7514,0.0000,27.7100,1008.3400,27.7630,405.9010,72.0835
21,52,19,72,15.3098,15.6976,0.0000,27.7700,1008.3200,27.7590,413.9340,72.2506
20,52,18,72,15.8308,14.7225,0.0000,27.8200,1008.3400,27.7640,409.8780,72.0835
21,52,18,71,15.4530,15.6439,0.0000,27.8600,1008.3400,27.7590,411.8960,72.0835
21,52,19,71,14.2589,15.6439,0.0000,27.8900,1008.3600,27.7470,413.4220,71.9164
21,52,18,72,15.4530,15.6796,0.0000,27.9200,1008.3400,27.7500,418.0700,72.0835
21,52,18,71,15.4530,15.5015,0.0000,27.9500,1008.3600,27.7380,422.2910,71.9164
21,51,18,72,15.1395,15.4661,0.0000,27.9700,1008.3600,27.7230,427.9610,71.9164
21,52,18,71,14.2053,15.4661,0.0000,27.9900,1008.3600,27.7020,430.1610,71.9164
21,52,18,72,14.3395,15.6439,0.0000,28.0100,1008.3400,27.6850,427.9610,72.0835
21,52,18,71,16.3370,17.0762,0.0000,28.0300,1008.3600,27.6770,432.3840,71.9164
21,52,18,72,15.5106,15.7874,0.0000,28.0400,1008.3400,27.6650,425.5120,72.0835
21,52,18,72,15.3098,15.6796,0.0000,28.0600,1008.3400,27.6620,433.5040,72.0835
21,52,18,72,15.4818,15.5903,0.0000,28.0700,1008.3600,27.6320,426.3250,71.9164
21,52,18,71,15.3956,15.6082,0.0000,28.0800,1008.3400,27.6160,426.8690,72.0835
21,52,18,71,15.5106,15.6082,0.0000,28.0900,1008.3600,27.6070,435.7620,71.9164
21,52,19,71,15.5684,15.5725,0.0000,28.1000,1008.3400,27.5960,430.4380,72.0835
21,52,18,72,14.4747,15.0125,0.0000,28.1000,1008.3400,27.5790,439.4820,72.0835
21,52,18,72,15.3956,15.5370,0.0000,27.6600,1008.3600,27.5390,336.8910,71.9164
21,52,19,72,15.4818,15.4661,0.0000,27.4600,1008.3400,27.5700,355.4330,72.0835
21,52,18,72,14.3126,17.3100,0.0000,27.4100,1008.3400,27.6090,368.1470,72.0835
22,52,19,72,15.3384,15.6439,0.0000,27.4300,1008.3600,27.6550,379.6540,71.9164
21,52,18,72,15.5395,15.6796,0.0000,27.4800,1008.3400,27.6760,384.4520,72.0835
21,52,18,72,15.4818,15.6796,0.0000,27.5500,1008.3400,27.6860,396.7580,72.0835
21,52,19,72,15.4818,15.7514,0.0000,27.6200,1008.3200,27.7100,397.2290,72.2506
21,52,18,72,15.2813,15.7155,0.0000,27.6800,1008.3400,27.7160,407.1350,72.0835
22,52,18,72,15.3670,15.6082,0.0000,27.7400,1008.3400,27.7240,405.1640,72.0835
21,52,18,72,15.4818,15.5725,0.0000,27.7900,1008.3400,27.7220,414.4460,72.0835
