NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
18,62,21,74,23.9977,23.5811,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,62,21,75,23.0813,22.8336,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,63,21,75,23.0404,22.7829,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,62,21,75,23.2044,23.0632,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,62,21,75,23.2868,22.9354,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,63,21,75,23.5355,22.5560,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,63,21,75,25.7023,24.9801,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,62,21,74,21.9208,21.6455,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,63,21,75,21.8428,23.0120,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,63,21,74,23.2456,22.2568,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,63,22,74,23.6190,23.0376,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,63,21,74,23.5355,23.1659,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,63,21,74,24.3819,23.3986,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,62,21,75,23.8287,23.2174,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,63,21,74,22.3946,23.1659,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,63,21,74,24.3389,23.1659,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,62,21,74,24.2105,23.1659,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
17,63,21,74,24.5544,23.8178,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
18,62,21,74,24.0826,22.7829,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
