NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
21,70,18,62,85.8845,26.9296,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
21,70,19,62,86.5716,26.4290,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
21,70,19,62,87.8217,26.4290,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
21,71,19,62,86.5716,26.6047,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
21,70,20,63,86.4338,26.5167,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
21,70,19,62,85.8845,27.9893,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
21,70,19,62,86.9864,26.5753,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
22,71,19,62,84.7958,26.4582,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
22,70,19,62,87.5424,26.4874,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
22,70,20,62,90.6614,26.5460,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
22,70,19,62,87.2640,26.8110,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
22,70,19,62,86.9864,26.3125,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
22,71,19,62,86.7097,26.7814,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
21,70,19,62,86.4338,26.5167,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
21,70,18,62,86.8480,26.4582,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
22,70,19,62,86.8480,26.7519,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
22,70,18,62,86.7097,26.6047,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
22,70,19,62,86.7097,26.5753,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
22,71,19,62,86.2961,26.3707,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
22,70,20,62,86.8480,26.5460,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
22,71,19,62,86.8480,26.5167,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
22,70,19,62,86.8480,26.9296,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
22,70,19,62,87.6820,26.3416,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
22,71,19,62,86.7097,26.7519,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
22,70,19,62,86.2961,26.3707,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
22,70,19,62,86.4338,26.4874,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
22,71,19,63,86.8480,26.4874,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
22,70,19,62,86.8480,26.2544,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
22,70,19,62,86.1588,26.6340,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
22,70,19,62,86.5716,26.7519,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
22,70,19,62,87.4031,28.5184,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
22,70,19,62,86.4338,26.8110,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
21,70,19,63,87.9617,26.6929,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
22,70,19,62,85.3385,26.4582,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,70,19,62,84.1220,26.7224,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
22,70,19,62,86.2961,28.6444,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,70,19,62,85.2025,26.5753,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,70,18,63,84.5257,25.0354,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,70,19,62,86.8480,26.5460,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,71,19,62,86.4338,26.4582,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
22,70,19,62,86.0215,26.6047,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,71,19,62,85.8845,26.5460,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,71,19,62,86.1588,27.0189,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,71,19,62,85.8845,26.6635,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,70,19,62,85.3385,26.6047,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,70,19,62,85.7477,26.3998,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,71,19,62,85.4746,26.6340,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,71,19,62,85.8845,26.5167,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
22,70,19,62,86.1588,26.4874,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,70,19,62,85.2025,26.4290,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
22,71,19,62,84.3909,26.5460,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,70,19,62,86.2961,26.6047,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,71,19,63,85.4746,26.6929,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,70,19,62,85.0667,26.5753,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,70,18,62,85.8845,26.4290,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,70,19,62,86.2961,26.6047,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,71,19,62,86.7097,24.8973,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,71,19,62,85.4746,26.7224,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
22,70,19,62,84.5257,26.8110,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,70,19,62,85.2025,26.5753,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,71,19,62,89.0889,26.4874,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,71,19,62,85.2025,26.4874,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,70,19,63,84.9311,26.6340,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,71,18,63,86.1588,26.7224,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,70,19,62,86.4338,25.2022,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,70,19,62,85.6111,26.2255,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,70,19,63,86.8480,27.3186,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,71,19,63,86.2961,25.8514,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,70,19,62,86.2961,26.5167,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,70,19,62,86.1588,26.5460,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,71,19,63,85.7477,26.5460,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
22,70,19,62,86.1588,26.5167,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,70,19,63,85.4746,26.6047,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,70,19,63,85.7477,26.5167,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,70,19,63,85.6111,26.5753,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,71,19,62,86.0215,26.7814,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,70,19,62,85.6111,26.5167,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,70,19,62,84.7958,26.5167,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,70,19,62,85.8845,26.5167,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,70,19,63,85.8845,26.4874,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,71,19,63,85.6111,26.5460,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,70,19,62,85.8845,26.2834,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,70,19,62,86.4338,26.6340,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,71,19,62,85.8845,25.3140,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
22,70,19,63,86.0215,25.4544,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,71,19,62,85.6111,25.0909,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,71,19,63,84.9311,26.3707,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,71,19,62,85.7477,26.2255,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,71,19,62,85.0667,26.4874,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,71,18,63,84.2564,26.3707,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,71,19,62,85.3385,26.4582,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,70,19,63,84.6606,26.4582,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,71,19,62,84.3909,25.1187,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,71,19,63,84.3909,24.7324,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,70,19,63,85.0667,26.3998,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,70,19,63,84.7958,26.1387,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,71,19,62,83.0545,26.5167,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,71,19,63,84.5257,26.3416,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,71,19,63,84.9311,26.5167,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,71,19,63,84.2564,26.4582,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,71,19,63,84.6606,26.5460,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,70,19,62,84.9311,26.3416,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,70,19,63,83.9879,26.4874,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
23,70,19,63,84.5257,26.5167,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
24,71,18,62,84.7958,26.0810,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
