NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
16,77,26,74,157.2225,18.0087,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
16,77,26,74,158.7008,18.0902,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
16,77,26,75,161.9510,17.9681,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
17,77,25,75,157.2225,17.9073,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
17,77,25,75,156.7327,17.8064,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
16,77,26,74,158.9487,18.0087,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
17,77,26,74,154.7884,17.9883,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
17,77,25,75,156.7327,17.9275,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
17,77,25,74,156.0008,17.8871,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
17,77,26,74,157.7139,17.8467,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
17,77,25,74,155.2722,17.9275,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
17,77,26,74,153.8251,18.2130,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
17,77,25,74,156.2444,17.6661,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
17,77,25,74,155.5147,18.1925,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
17,77,25,75,155.5147,17.8669,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
17,77,26,74,156.2444,18.0290,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
17,77,26,75,156.2444,17.9681,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
16,77,25,74,156.9774,17.8669,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
17,77,26,74,156.0008,17.8871,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
17,77,26,74,157.9599,17.8064,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
17,77,26,74,143.8327,18.1720,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
16,77,26,74,155.7576,17.8467,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
16,77,26,74,159.1967,17.7061,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
