NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
183,505,224,166,306.8166,49.4203,inf,27.1200,1003.7200,43.9120,204.2320,110.7448
184,505,223,167,298.8114,46.0660,inf,27.1300,1003.7400,43.8870,206.1500,110.5766
184,505,224,167,289.6632,48.6124,inf,27.1400,1003.7200,43.8540,206.2790,110.7448
185,506,224,167,300.6758,48.0286,inf,27.1500,1003.7400,43.8450,205.6350,110.5766
194,510,227,170,287.8679,46.1673,inf,27.1600,1003.7400,43.8120,206.9270,110.5766
194,511,227,170,309.6935,47.8706,inf,26.7600,1003.7200,43.8160,124.7210,110.7448
196,511,227,171,289.6632,46.6256,inf,26.5800,1003.7400,43.8720,144.6460,110.5766
196,512,227,171,295.5767,46.3704,inf,26.5400,1003.7200,43.9350,157.7210,110.7448
198,512,229,171,282.9880,45.0167,inf,26.5600,1003.7400,43.9760,168.1730,110.5766
199,514,229,171,283.8690,45.8643,inf,26.6100,1003.7200,44.0110,176.6880,110.7448
199,514,229,172,298.3471,46.6256,inf,26.6700,1003.7400,44.0350,181.6700,110.5766
200,514,229,171,290.1139,45.2643,inf,26.7300,1003.7200,44.0410,186.1110,110.7448
201,515,229,173,296.9586,44.8196,inf,26.7900,1003.7600,44.0440,188.1320,110.4089
201,516,230,173,293.2881,47.5562,inf,26.8500,1003.7600,44.0460,191.1900,110.4089
202,516,229,172,296.4973,43.4165,inf,26.9000,1003.7400,44.0360,192.9830,110.5766
203,517,230,173,288.7640,44.6234,inf,26.9500,1003.7600,44.0300,194.6940,110.4089
203,517,231,174,291.9234,46.1673,inf,26.9900,1003.7800,44.0200,197.2600,110.2412
205,517,231,174,288.7640,45.5134,inf,27.0300,1003.7600,43.9980,198.6880,110.4089
206,518,231,175,303.4944,43.8952,inf,27.0600,1003.7600,43.9600,199.6510,110.4089
206,518,231,174,283.4281,44.1850,inf,27.0800,1003.7600,43.9400,201.1140,110.4089
207,519,230,175,295.1176,45.1651,inf,27.1100,1003.7400,43.9270,202.3500,110.5766
208,520,231,175,303.0228,46.3196,inf,27.1300,1003.7800,43.9060,204.6130,110.2412
209,520,232,175,306.3398,45.7136,inf,27.1400,1003.7600,43.8910,202.9730,110.4089
211,520,232,175,296.4973,45.7638,inf,27.1600,1003.7600,43.8670,203.8530,110.4089
211,521,232,174,291.0172,45.6634,inf,27.1700,1003.7800,43.8360,204.2320,110.2412
212,520,233,176,282.9880,43.6552,inf,27.1800,1003.7600,43.8200,205.3780,110.4089
213,522,232,176,281.2343,44.1366,inf,27.2000,1003.7600,43.7780,204.8670,110.4089
213,523,233,176,283.8690,44.2821,inf,27.2100,1003.7800,43.7500,206.5370,110.2412
214,523,234,177,303.9666,46.1167,inf,27.2200,1003.7600,43.7310,205.5060,110.4089
214,522,233,177,293.2881,45.7638,inf,27.2300,1003.7800,43.7030,206.4080,110.2412
222,527,236,179,297.4209,45.5134,inf,27.2400,1003.7800,43.6800,206.5370,110.2412
222,527,237,179,328.5598,50.2971,inf,26.8300,1003.7800,43.6990,125.3740,110.2412
222,528,236,179,320.9771,46.6768,inf,26.6500,1003.7400,43.7510,144.0240,110.5766
224,528,237,179,330.6122,43.8952,inf,26.6000,1003.7400,43.7990,159.6760,110.5766
224,529,237,179,305.3883,45.0662,inf,26.6100,1003.7400,43.8480,167.8360,110.5766
225,529,238,180,308.2517,48.3461,inf,26.6600,1003.7400,43.8810,175.3930,110.5766
225,530,237,179,313.0844,45.4634,inf,26.7200,1003.7400,43.9030,180.4960,110.5766
226,530,238,180,313.5718,45.2643,inf,26.7800,1003.7800,43.9160,185.6980,110.2412
226,531,238,180,326.0122,46.7794,inf,26.8400,1003.7600,43.9240,186.4280,110.4089
227,530,238,180,332.6779,47.1921,inf,26.8900,1003.7800,43.9120,190.6370,110.2412
228,531,238,181,309.2121,45.3638,inf,26.9400,1003.7600,43.9140,192.5320,110.4089
229,531,238,180,316.0209,44.6724,inf,26.9800,1003.7600,43.9290,195.2710,110.4089
229,531,238,181,314.0604,45.2643,inf,27.0200,1003.7800,43.8950,196.4360,110.2412
229,532,238,181,285.6392,42.5213,inf,27.0600,1003.7800,43.8750,198.3290,110.2412
230,532,239,181,317.0057,45.2147,inf,27.0900,1003.7800,43.8520,199.2890,110.2412
229,533,239,181,334.2359,49.1495,inf,27.1200,1003.7800,43.8520,200.8690,110.2412
231,533,240,181,327.0288,45.9651,inf,27.1400,1003.7600,43.8360,200.3800,110.4089
231,532,240,181,318.9854,45.2147,inf,27.1500,1003.7600,43.7960,201.3600,110.4089
231,533,240,181,308.2517,44.7705,inf,27.1700,1003.7400,43.7860,203.3490,110.5766
232,535,240,181,298.3471,47.9758,inf,27.1800,1003.7400,43.7720,204.4860,110.5766
233,535,241,181,296.0367,43.8471,inf,27.2000,1003.7400,43.7530,203.3490,110.5766
233,534,241,182,296.9586,42.7082,inf,27.2100,1003.7800,43.7130,205.1220,110.2412
234,535,240,182,303.4944,44.9674,inf,27.2300,1003.7400,43.6800,204.2320,110.5766
