Config,Window,Stride,Channels,Data_Processing,Train_Overall,Train_cloves,Train_cumin,Train_oregano,Online_Details,Final_Vote_Accuracy,Overfitting_Gap,Abs_Overfitting_Gap
short_overlap,10,5,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]",['diff_data_like'],93.15,91.04,92.16,96.51,"[cumin.today.bd6399a46021.csv] cloves:90, cumin:201, oregano:92 → cumin (201 / 383) ✅ | [oregano.today.7e6e373b92ee.csv] cloves:33, cumin:15, oregano:335 → oregano (335 / 383) ✅ | [cloves.today.9eec7d1c4669.csv] cloves:44, cumin:133, oregano:204 → oregano (204 / 381) ❌",0.288,93.15,93.15
no_overlap_short,20,20,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]","['diff_data_like', 'highpass_fft_batch']",82.49,75.6,81.61,91.19,"[cumin.today.bd6399a46021.csv] cloves:33, cumin:53, oregano:10 → cumin (53 / 96) ✅ | [oregano.today.7e6e373b92ee.csv] cloves:1, cumin:0, oregano:95 → oregano (95 / 96) ✅ | [cumin.today.ebdd7a8a7c22.csv] cloves:34, cumin:1, oregano:60 → oregano (60 / 95) ❌ | [cloves.today.9eec7d1c4669.csv] cloves:33, cumin:49, oregano:13 → cumin (49 / 95) ❌",0.099,82.49,82.49
short_overlap,10,5,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]","['diff_data_like', 'highpass_fft_batch']",72.78,71.22,74.91,72.31,"[cumin.today.bd6399a46021.csv] cloves:215, cumin:46, oregano:122 → cloves (215 / 383) ❌ | [oregano.today.7e6e373b92ee.csv] cloves:24, cumin:3, oregano:356 → oregano (356 / 383) ✅ | [cumin.today.ebdd7a8a7c22.csv] cloves:135, cumin:12, oregano:234 → oregano (234 / 381) ❌ | [cloves.today.9eec7d1c4669.csv] cloves:207, cumin:33, oregano:141 → cloves (207 / 381) ✅",0.074,72.78,72.78
long_overlap,60,30,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]","['diff_data_like', 'highpass_fft_batch']",81.0,69.7,86.31,88.59,"[cumin.today.bd6399a46021.csv] cloves:46, cumin:1, oregano:16 → cloves (46 / 63) ❌ | [oregano.today.7e6e373b92ee.csv] cloves:1, cumin:0, oregano:62 → oregano (62 / 63) ✅ | [cumin.today.ebdd7a8a7c22.csv] cloves:17, cumin:2, oregano:43 → oregano (43 / 62) ❌ | [cloves.today.9eec7d1c4669.csv] cloves:35, cumin:0, oregano:27 → cloves (35 / 62) ✅",0.031,81.0,81.0
medium_overlap,30,15,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]","['diff_data_like', 'highpass_fft_batch']",82.67,71.69,81.37,96.06,"[cumin.today.bd6399a46021.csv] cloves:29, cumin:50, oregano:48 → cumin (50 / 127) ✅ | [oregano.today.7e6e373b92ee.csv] cloves:4, cumin:0, oregano:123 → oregano (123 / 127) ✅ | [cumin.today.ebdd7a8a7c22.csv] cloves:50, cumin:1, oregano:75 → oregano (75 / 126) ❌ | [cloves.today.9eec7d1c4669.csv] cloves:34, cumin:11, oregano:81 → oregano (81 / 126) ❌",0.031,82.67,82.67
no_overlap_long,100,100,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]",None,72.73,55.93,85.95,76.11,"[cumin.today.bd6399a46021.csv] cloves:19, cumin:0, oregano:0 → cloves (19 / 19) ❌ | [oregano.today.7e6e373b92ee.csv] cloves:0, cumin:19, oregano:0 → cumin (19 / 19) ❌ | [cumin.today.ebdd7a8a7c22.csv] cloves:0, cumin:19, oregano:0 → cumin (19 / 19) ✅ | [cloves.today.9eec7d1c4669.csv] cloves:14, cumin:5, oregano:0 → cloves (14 / 19) ✅",-0.066,72.73,72.73
short_overlap,10,5,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like']",89.24,87.82,91.84,88.1,"[cumin.today.bd6399a46021.csv] cloves:145, cumin:122, oregano:116 → cloves (145 / 383) ❌ | [oregano.today.7e6e373b92ee.csv] cloves:108, cumin:49, oregano:226 → oregano (226 / 383) ✅ | [cloves.today.9eec7d1c4669.csv] cloves:100, cumin:86, oregano:195 → oregano (195 / 381) ❌",-0.1,89.24,89.24
no_overlap_short,20,20,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'highpass_fft_batch']",81.3,74.17,77.58,93.54,"[cumin.today.bd6399a46021.csv] cloves:2, cumin:1, oregano:94 → oregano (94 / 97) ❌ | [oregano.today.7e6e373b92ee.csv] cloves:11, cumin:0, oregano:86 → oregano (86 / 97) ✅ | [cumin.today.ebdd7a8a7c22.csv] cloves:15, cumin:56, oregano:25 → cumin (56 / 96) ✅ | [cloves.today.9eec7d1c4669.csv] cloves:6, cumin:3, oregano:87 → oregano (87 / 96) ❌",-0.101,81.3,81.3
short_overlap,10,5,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],78.58,70.15,75.71,91.34,"[cumin.today.bd6399a46021.csv] cloves:75, cumin:81, oregano:232 → oregano (232 / 388) ❌ | [oregano.today.7e6e373b92ee.csv] cloves:19, cumin:6, oregano:363 → oregano (363 / 388) ✅ | [cloves.today.9eec7d1c4669.csv] cloves:65, cumin:71, oregano:250 → oregano (250 / 386) ❌",-0.103,78.58,78.58
long_overlap,60,30,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",82.65,75.8,85.57,87.53,"[cumin.today.bd6399a46021.csv] cloves:49, cumin:1, oregano:13 → cloves (49 / 63) ❌ | [oregano.today.7e6e373b92ee.csv] cloves:6, cumin:22, oregano:35 → oregano (35 / 63) ✅ | [cumin.today.ebdd7a8a7c22.csv] cloves:20, cumin:30, oregano:12 → cumin (30 / 62) ✅ | [cloves.today.9eec7d1c4669.csv] cloves:19, cumin:0, oregano:43 → oregano (43 / 62) ❌",-0.108,82.65,82.65
