Config,Window,Stride,Channels,Data_Processing,Train_Overall,Train_bodai,Train_chienan,Train_go,Train_reihai,Train_rendai,Online_Details,Final_Vote_Accuracy,Overfitting_Gap,Abs_Overfitting_Gap
no_overlap_long_first_4,100,100,"[0, 1, 2, 3]",['highpass_fft_batch'],21.88,100.0,0.0,0.0,0.0,0.0,,-999,21.88,21.88
no_overlap_long_first_4,100,100,"[0, 1, 2, 3]","['standard_scaler', 'highpass_fft_batch']",21.88,100.0,0.0,0.0,0.0,0.0,,-999,21.88,21.88
long_overlap_first_4,60,30,"[0, 1, 2, 3]",['highpass_fft_batch'],23.75,3.33,0.0,41.67,70.0,1.03,,-999,23.75,23.75
no_overlap_long_first_4,100,100,"[0, 1, 2, 3]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",24.22,100.0,0.0,0.0,0.0,0.0,,-999,24.22,24.22
no_overlap_long_first_4,100,100,"[0, 1, 2, 3]","['diff_data_like', 'highpass_fft_batch']",25.78,100.0,0.0,0.0,0.0,0.0,,-999,25.78,25.78
long_overlap_first_4,60,30,"[0, 1, 2, 3]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",28.33,0.99,93.75,0.0,3.23,41.18,,-999,28.33,28.33
long_overlap_first_4,60,30,"[0, 1, 2, 3]","['standard_scaler', 'highpass_fft_batch']",30.83,1.06,86.96,14.29,22.77,31.58,,-999,30.83,30.83
no_overlap_long_no_benzene_no_alcohol,100,100,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],31.25,100.0,0.0,0.0,50.0,0.0,,-999,31.25,31.25
short_overlap_first_4,10,5,"[0, 1, 2, 3]","['diff_data_like', 'highpass_fft_batch']",31.48,46.77,66.56,3.93,12.81,25.37,,-999,31.48,31.48
no_overlap_long_no_benzene,100,100,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",32.03,100.0,4.0,0.0,47.83,0.0,,-999,32.03,32.03
no_overlap_long_no_benzene_no_alcohol,100,100,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'highpass_fft_batch']",32.03,88.46,7.41,0.0,45.83,18.52,,-999,32.03,32.03
no_overlap_long_no_benzene_no_alcohol,100,100,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]","['diff_data_like', 'highpass_fft_batch']",32.81,100.0,0.0,0.0,48.0,0.0,,-999,32.81,32.81
no_overlap_long_no_benzene_no_alcohol,100,100,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]","['standard_scaler', 'diff_data_like', 'highpass_fft_batch']",32.81,100.0,0.0,0.0,46.15,0.0,,-999,32.81,32.81
long_overlap_first_4,60,30,"[0, 1, 2, 3]","['diff_data_like', 'highpass_fft_batch']",33.33,21.78,85.57,0.0,18.68,37.62,,-999,33.33,33.33
medium_overlap_first_4,30,15,"[0, 1, 2, 3]","['diff_data_like', 'highpass_fft_batch']",33.57,36.76,76.12,0.0,16.08,36.32,,-999,33.57,33.57
short_overlap_first_4,10,5,"[0, 1, 2, 3]",['highpass_fft_batch'],35.22,14.8,47.18,33.01,17.0,63.17,,-999,35.22,35.22
no_overlap_long_first_4,100,100,"[0, 1, 2, 3]",None,35.94,78.79,52.17,26.09,0.0,8.33,,-999,35.94,35.94
no_overlap_long_first_4,100,100,"[0, 1, 2, 3]",['diff_data_like'],35.94,100.0,60.87,4.55,0.0,0.0,,-999,35.94,35.94
no_overlap_long_first_6,100,100,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like']",36.72,96.55,70.37,0.0,0.0,0.0,,-999,36.72,36.72
short_overlap_first_4,10,5,"[0, 1, 2, 3]","['standard_scaler', 'highpass_fft_batch']",37.5,28.69,60.13,23.44,21.37,53.14,,-999,37.5,37.5
no_overlap_long_first_4,100,100,"[0, 1, 2, 3]","['standard_scaler', 'diff_data_like']",37.5,93.55,72.0,0.0,0.0,4.35,,-999,37.5,37.5
no_overlap_short_first_4,20,20,"[0, 1, 2, 3]","['diff_data_like', 'highpass_fft_batch']",38.04,36.81,67.76,25.85,10.27,48.3,,-999,38.04,38.04
no_overlap_long_first_6,100,100,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'highpass_fft_batch']",38.28,100.0,14.81,50.0,0.0,0.0,,-999,38.28,38.28
no_overlap_short_no_benzene_no_alcohol,20,20,"[0, 1, 2, 3, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],38.41,1.39,92.67,19.48,47.13,30.67,,-999,38.41,38.41
