NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
15,49,35,747,11,29,0,24.61,1021.8,39.78,319.53,-39.82
14,49,35,747,11,29,0,24.61,1021.81,39.78,319.84,-39.82
15,49,35,747,10,29,0,24.61,1021.81,39.78,319.84,-39.82
15,49,35,747,11,30,0,24.61,1021.81,39.78,318.92,-39.74
15,49,35,748,11,28,0,24.61,1021.8,39.78,318.61,-39.74
15,49,35,748,11,29,0,24.61,1021.8,39.79,319.23,-39.74
15,49,35,748,10,29,0,24.61,1021.8,39.79,318.92,-39.74
15,49,35,748,10,29,0,24.61,1021.8,39.79,319.53,-39.74
15,49,35,747,10,28,0,24.61,1021.8,39.79,318.61,-39.74
15,49,35,749,11,29,0,24.61,1021.8,39.79,318.3,-39.74
15,49,35,748,11,29,0,24.61,1021.8,39.8,318.61,-39.74
15,49,35,748,11,29,0,24.6,1021.8,39.81,318.61,-39.74
15,48,35,748,10,29,0,24.6,1021.8,39.8,318.0,-39.82
15,49,35,748,10,30,0,24.6,1021.81,39.8,317.39,-39.74
15,49,35,749,11,30,0,24.6,1021.8,39.8,318.3,-39.82
15,49,35,749,11,29,0,24.6,1021.81,39.8,318.3,-39.82
16,49,35,749,11,29,0,24.6,1021.81,39.79,317.08,-39.91
15,49,35,749,11,29,0,24.6,1021.82,39.82,318.0,-39.82
15,49,36,749,11,29,0,24.6,1021.81,39.8,318.0,-39.82
16,49,35,749,11,29,0,24.6,1021.81,39.82,317.08,-39.91
15,49,35,750,11,29,0,24.6,1021.82,39.8,318.0,-39.91
15,49,35,749,9,30,0,24.6,1021.82,39.83,317.39,-39.82
15,49,35,749,11,33,0,24.6,1021.81,39.82,317.08,-39.82
15,48,35,749,11,30,0,24.6,1021.81,39.82,316.78,-39.74
15,49,35,750,12,30,0,24.6,1021.8,39.82,317.08,-39.82
15,49,35,750,12,29,0,24.6,1021.81,39.81,315.87,-39.74
15,49,36,750,11,31,0,24.6,1021.8,39.82,316.47,-39.74
15,49,35,750,11,30,0,24.6,1021.8,39.82,318.3,-39.82
14,49,35,752,11,29,0,24.6,1021.81,39.82,317.39,-39.82
16,49,36,751,12,30,0,24.6,1021.81,39.82,317.08,-39.82
15,49,36,752,12,31,0,24.6,1021.81,39.82,317.08,-39.82
16,49,36,753,11,30,0,24.6,1021.81,39.83,316.78,-39.91
15,49,35,753,11,30,0,24.6,1021.82,39.83,316.78,-39.91
15,49,35,754,10,30,0,24.6,1021.82,39.83,316.47,-39.91
16,49,36,755,11,30,0,24.6,1021.82,39.84,317.08,-39.91
15,50,36,756,11,30,0,24.6,1021.82,39.84,316.17,-39.82
