NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
313,708,730,963,6,54,4294967295,25.15,1004.96,47.15,13.15,100.35
313,707,728,963,6,52,4294967295,25.15,1004.96,47.23,13.19,100.35
311,705,726,962,6,51,4294967295,25.15,1004.96,47.28,13.23,100.27
310,703,724,962,5,53,4294967295,25.15,1004.97,47.33,13.26,100.27
311,702,723,961,5,50,4294967295,25.16,1004.97,47.38,13.26,100.27
310,701,722,960,5,53,4294967295,25.16,1004.97,47.41,13.33,100.27
310,699,719,961,6,50,4294967295,25.16,1004.97,47.44,13.31,100.27
310,697,718,960,6,52,4294967295,25.16,1004.97,47.47,13.34,100.27
312,696,716,960,6,52,4294967295,25.16,1004.97,47.51,13.34,100.35
315,695,715,960,6,52,4294967295,25.16,1004.96,47.52,13.33,100.35
319,693,715,959,6,52,4294967295,25.17,1004.96,47.53,13.33,100.35
322,693,713,959,6,52,4294967295,25.17,1004.96,47.56,13.29,100.35
324,692,713,958,6,51,4294967295,25.17,1004.96,47.55,13.28,100.27
327,691,712,958,5,51,4294967295,25.17,1004.97,47.55,13.26,100.27
330,689,711,957,6,51,4294967295,25.17,1004.97,47.53,13.33,100.35
330,688,710,957,6,52,4294967295,25.18,1004.96,47.51,13.41,100.35
331,687,709,956,6,52,4294967295,25.18,1004.96,47.49,13.42,100.35
332,687,707,956,6,52,4294967295,25.18,1004.96,47.48,13.41,100.44
334,685,706,956,6,53,4294967295,25.18,1004.95,47.48,13.33,100.52
335,684,705,956,6,53,4294967295,25.19,1004.94,47.5,13.26,100.52
339,683,703,955,6,52,4294967295,25.19,1004.94,47.52,13.09,100.44
344,683,704,955,6,52,4294967295,25.19,1004.95,47.53,13.02,100.44
353,681,705,955,6,50,4294967295,25.2,1004.95,47.56,12.93,100.52
366,681,707,955,6,50,4294967295,25.2,1004.94,47.55,12.84,100.52
378,681,708,955,5,51,4294967295,25.2,1004.94,47.55,12.79,100.52
390,681,711,955,6,50,4294967295,25.21,1004.94,47.54,12.74,100.52
400,682,712,955,5,50,4294967295,25.21,1004.94,47.52,12.75,100.6
409,682,715,955,6,50,4294967295,25.21,1004.93,47.51,12.74,100.6
417,682,716,955,6,51,4294967295,25.21,1004.93,47.5,12.72,100.6
426,682,718,955,5,51,4294967295,25.22,1004.93,47.51,12.61,100.52
432,683,719,955,6,51,4294967295,25.22,1004.94,47.49,12.49,100.52
438,684,720,956,5,57,4294967295,25.22,1004.94,47.49,12.41,100.52
443,684,721,957,5,51,4294967295,25.23,1004.94,47.49,12.38,100.44
445,685,721,956,5,50,4294967295,25.23,1004.95,47.48,12.34,100.35
447,686,722,957,5,48,4294967295,25.23,1004.96,47.48,12.23,100.44
449,687,722,957,6,51,4294967295,25.23,1004.95,47.48,12.2,100.35
