NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
354,750,752,977,5,56,4294967295,25.02,1004.92,47.35,11.04,100.77
354,749,750,976,5,57,4294967295,25.03,1004.91,47.43,11.15,100.86
354,747,748,976,5,56,4294967295,25.03,1004.9,47.51,11.15,100.77
353,745,746,975,5,55,4294967295,25.03,1004.91,47.59,11.25,100.77
353,744,744,976,5,56,4294967295,25.03,1004.91,47.66,11.35,100.86
353,742,742,974,5,56,4294967295,25.03,1004.9,47.69,11.39,100.77
352,741,741,974,5,56,4294967295,25.03,1004.91,47.72,11.44,100.77
353,740,739,973,5,55,4294967295,25.04,1004.91,47.73,11.53,100.86
351,738,737,974,5,54,4294967295,25.04,1004.9,47.76,11.6,100.86
351,737,736,973,5,55,4294967295,25.04,1004.9,47.78,11.62,100.94
352,736,734,973,5,54,4294967295,25.04,1004.89,47.84,11.69,100.94
351,734,733,972,5,54,4294967295,25.04,1004.89,47.89,11.73,101.02
355,733,731,972,5,54,4294967295,25.04,1004.88,47.93,11.79,101.02
359,732,731,972,5,54,4294967295,25.05,1004.88,47.99,11.82,100.94
362,731,730,971,5,54,4294967295,25.05,1004.89,47.99,11.83,100.94
364,729,729,971,5,61,4294967295,25.05,1004.89,48.0,11.91,100.94
369,728,729,970,5,53,4294967295,25.05,1004.89,48.0,12.02,100.94
376,727,729,969,5,54,4294967295,25.05,1004.89,47.97,12.04,101.02
382,726,729,969,5,60,4294967295,25.05,1004.88,47.96,12.06,100.94
384,725,729,969,5,53,4294967295,25.06,1004.89,47.94,12.13,101.02
386,724,728,969,5,54,4294967295,25.06,1004.88,47.92,12.11,101.02
395,723,728,968,5,53,4294967295,25.06,1004.88,47.91,12.15,101.02
401,723,730,968,5,53,4294967295,25.06,1004.88,47.91,12.23,101.02
407,722,730,968,5,54,4294967295,25.06,1004.88,47.91,12.18,101.02
412,722,730,968,5,53,4294967295,25.06,1004.88,47.92,12.17,101.11
416,722,730,968,5,55,4294967295,25.06,1004.87,47.93,12.1,101.02
418,721,730,968,5,53,4294967295,25.06,1004.88,47.91,12.13,101.02
421,721,730,968,5,52,4294967295,25.06,1004.88,47.91,12.09,100.94
425,721,729,968,5,50,4294967295,25.07,1004.89,47.9,12.13,100.94
428,722,730,968,5,51,4294967295,25.07,1004.89,47.91,12.05,100.94
430,723,731,968,5,52,4294967295,25.07,1004.89,47.91,12.01,101.02
433,723,730,969,5,53,4294967295,25.07,1004.88,47.92,12.0,101.02
434,724,730,969,5,53,4294967295,25.07,1004.88,47.91,12.0,101.02
437,725,730,970,5,52,4294967295,25.07,1004.88,47.91,11.98,101.11
441,725,730,970,5,52,4294967295,25.07,1004.87,47.9,11.86,101.11
446,726,732,969,5,53,4294967295,25.07,1004.87,47.89,11.78,101.11
451,727,732,970,5,53,4294967295,25.07,1004.87,47.88,11.73,101.11
455,727,733,971,5,52,4294967295,25.07,1004.87,47.86,11.68,101.11
460,728,735,970,5,52,4294967295,25.07,1004.87,47.86,11.69,101.11
465,729,736,971,5,53,4294967295,25.07,1004.87,47.86,11.62,101.11
471,731,738,971,5,53,4294967295,25.07,1004.87,47.86,11.55,101.02
476,734,739,971,5,52,4294967295,25.07,1004.88,47.86,11.44,101.02
483,736,741,972,5,52,4294967295,25.08,1004.88,47.84,11.49,101.02
487,738,744,972,6,49,4294967295,25.08,1004.88,47.84,11.42,101.02
491,739,745,972,5,52,4294967295,25.08,1004.88,47.84,11.36,101.02
494,740,746,973,5,52,4294967295,25.08,1004.88,47.85,11.3,101.11
498,741,747,973,5,51,4294967295,25.08,1004.87,47.85,11.22,101.02
500,741,748,973,5,52,4294967295,25.08,1004.88,47.85,11.18,101.02
501,742,748,973,6,52,4294967295,25.08,1004.88,47.84,11.07,101.02
504,742,749,974,5,51,4294967295,25.08,1004.88,47.83,10.91,101.02
506,743,750,974,5,51,4294967295,25.08,1004.88,47.81,10.82,101.02
509,743,751,974,5,51,4294967295,25.08,1004.88,47.82,10.87,101.11
512,744,751,974,5,56,4294967295,25.08,1004.87,47.78,10.93,101.02
515,745,754,974,5,51,4294967295,25.08,1004.88,47.78,11.01,101.02
518,745,755,974,5,51,4294967295,25.08,1004.88,47.76,11.06,100.94
521,745,756,975,5,51,4294967295,25.08,1004.89,47.76,11.02,100.94
525,746,758,975,5,51,4294967295,25.08,1004.89,47.75,10.99,100.94
529,747,760,975,5,51,4294967295,25.08,1004.89,47.77,10.94,100.94
532,747,761,975,5,52,4294967295,25.09,1004.89,47.8,10.85,100.86
537,748,763,975,5,52,4294967295,25.09,1004.9,47.82,10.75,100.94
542,748,766,976,5,51,4294967295,25.09,1004.89,47.8,10.66,100.86
545,750,768,976,5,48,4294967295,25.09,1004.9,47.79,10.65,100.86
552,752,771,976,5,51,4294967295,25.09,1004.9,47.77,10.65,100.94
556,753,774,977,5,51,4294967295,25.09,1004.89,47.76,10.69,100.94
562,754,776,977,5,48,4294967295,25.09,1004.89,47.75,10.65,100.94
567,756,779,977,5,51,4294967295,25.09,1004.89,47.75,10.72,100.94
574,757,782,977,5,52,4294967295,25.09,1004.89,47.76,10.71,100.94
580,758,786,978,5,56,4294967295,25.09,1004.89,47.78,10.68,100.86
585,759,789,977,5,51,4294967295,25.09,1004.9,47.76,10.59,100.86
588,760,791,978,5,51,4294967295,25.09,1004.9,47.76,10.62,100.86
591,761,793,979,5,51,4294967295,25.09,1004.9,47.76,10.7,100.86
594,762,796,979,5,51,4294967295,25.09,1004.9,47.74,10.76,100.86
598,763,798,979,5,52,4294967295,25.09,1004.9,47.72,10.84,100.94
601,763,800,980,5,56,4294967295,25.09,1004.89,47.71,10.99,100.86
604,764,803,980,5,51,4294967295,25.1,1004.9,47.69,11.01,100.86
608,765,806,980,5,51,4294967295,25.1,1004.9,47.68,10.97,100.94
612,766,808,981,5,51,4294967295,25.1,1004.89,47.68,10.87,100.94
615,768,810,981,5,55,4294967295,25.1,1004.89,47.69,10.89,100.94
619,768,813,982,5,49,4294967295,25.1,1004.89,47.66,10.89,100.86
623,769,816,981,5,50,4294967295,25.1,1004.9,47.66,10.87,100.86
625,770,818,982,5,51,4294967295,25.1,1004.9,47.67,10.89,100.86
627,771,818,983,5,51,4294967295,25.1,1004.9,47.67,10.89,100.86
629,772,819,983,5,50,4294967295,25.1,1004.9,47.66,10.9,100.86
630,772,820,982,5,56,4294967295,25.1,1004.9,47.65,10.93,100.86
632,773,822,982,5,51,4294967295,25.1,1004.9,47.63,10.83,100.86
634,774,823,983,5,50,4294967295,25.1,1004.9,47.63,10.74,100.94
637,774,825,983,5,50,4294967295,25.1,1004.89,47.62,10.64,100.86
639,775,827,983,5,51,4294967295,25.1,1004.9,47.61,10.59,100.86
641,775,828,983,5,49,4294967295,25.1,1004.9,47.6,10.54,100.86
643,776,829,983,5,51,4294967295,25.1,1004.9,47.61,10.44,100.86
644,778,831,984,6,51,4294967295,25.1,1004.9,47.61,10.39,100.86
645,779,831,983,7,48,4294967295,25.1,1004.9,47.6,10.24,100.86
646,779,832,984,5,58,4294967295,25.1,1004.9,47.63,10.12,100.94
647,781,833,985,5,50,4294967295,25.1,1004.89,47.61,10.02,100.94
647,782,833,985,5,51,4294967295,25.1,1004.89,47.62,9.91,100.86
647,782,834,985,5,51,4294967295,25.11,1004.9,47.62,9.73,100.86
647,783,833,984,6,51,4294967295,25.11,1004.9,47.63,9.52,100.86
646,784,833,985,5,52,4294967295,25.11,1004.9,47.65,9.37,100.86
645,784,832,985,5,52,4294967295,25.11,1004.9,47.67,9.26,100.86
644,785,831,985,5,52,4294967295,25.11,1004.9,47.65,9.25,100.86
642,785,831,985,5,51,4294967295,25.11,1004.9,47.65,9.25,100.94
641,785,831,985,6,52,4294967295,25.11,1004.89,47.67,9.2,100.94
641,785,831,985,6,52,4294967295,25.11,1004.89,47.63,9.34,100.86
641,785,831,985,6,51,4294967295,25.11,1004.9,47.63,9.44,100.86
642,785,831,986,5,52,4294967295,25.11,1004.9,47.62,9.46,100.86
642,786,832,985,6,53,4294967295,25.11,1004.9,47.6,9.57,100.86
644,786,833,985,5,52,4294967295,25.11,1004.9,47.58,9.6,100.86
645,787,833,985,6,53,4294967295,25.11,1004.9,47.58,9.62,100.86
645,787,834,985,6,53,4294967295,25.11,1004.9,47.56,9.52,100.86
646,788,834,985,5,52,4294967295,25.11,1004.9,47.57,9.38,100.77
647,788,834,985,6,53,4294967295,25.11,1004.91,47.58,9.17,100.86
647,789,835,986,5,51,4294967295,25.11,1004.9,47.59,9.02,100.77
646,789,836,986,5,52,4294967295,25.11,1004.91,47.59,8.93,100.77
647,790,835,986,6,52,4294967295,25.12,1004.91,47.58,8.8,100.69
646,790,835,986,6,53,4294967295,25.12,1004.92,47.57,8.77,100.77
644,790,835,986,5,52,4294967295,25.12,1004.91,47.56,8.72,100.69
639,790,835,986,6,52,4294967295,25.12,1004.92,47.55,8.66,100.69
632,789,832,986,5,52,4294967295,25.12,1004.92,47.55,8.59,100.6
628,788,829,986,6,52,4294967295,25.12,1004.93,47.55,8.57,100.69
624,786,827,986,5,52,4294967295,25.12,1004.92,47.54,8.62,100.77
622,786,825,986,6,52,4294967295,25.12,1004.91,47.54,8.45,100.69
622,786,824,986,6,51,4294967295,25.12,1004.92,47.56,8.26,100.77
623,785,824,986,6,58,4294967295,25.12,1004.91,47.59,7.99,100.77
626,786,825,986,6,52,4294967295,25.12,1004.91,47.6,7.78,100.77
631,786,827,986,6,49,4294967295,25.12,1004.91,47.6,7.68,100.77
637,788,831,987,5,52,4294967295,25.12,1004.91,47.62,7.63,100.69
641,789,835,988,6,52,4294967295,25.12,1004.92,47.62,7.54,100.69
645,790,840,988,6,52,4294967295,25.12,1004.92,47.64,7.46,100.86
646,792,842,989,5,52,4294967295,25.12,1004.9,47.67,7.33,100.77
647,794,844,989,6,52,4294967295,25.12,1004.91,47.67,7.26,100.69
648,794,843,989,5,51,4294967295,25.12,1004.92,47.67,7.24,100.69
649,795,842,990,6,52,4294967295,25.12,1004.92,47.65,7.24,100.6
650,796,843,990,5,53,4294967295,25.12,1004.93,47.64,7.27,100.6
652,796,844,989,6,53,4294967295,25.12,1004.93,47.62,7.28,100.6
654,797,845,989,6,53,4294967295,25.12,1004.93,47.64,7.24,100.6
657,798,846,990,6,53,4294967295,25.12,1004.93,47.64,7.29,100.6
659,800,849,990,6,53,4294967295,25.12,1004.93,47.61,7.36,100.52
662,801,850,990,6,53,4294967295,25.12,1004.94,47.61,7.43,100.52
664,802,851,992,7,56,4294967295,25.12,1004.94,47.59,7.53,100.52
666,802,854,991,6,53,4294967295,25.12,1004.94,47.56,7.66,100.52
667,803,855,991,6,53,4294967295,25.12,1004.94,47.56,7.65,100.52
668,804,856,992,6,55,4294967295,25.12,1004.94,47.59,7.6,100.52
669,804,856,991,6,53,4294967295,25.12,1004.94,47.57,7.51,100.52
669,804,856,991,6,58,4294967295,25.12,1004.94,47.56,7.49,100.44
668,804,855,992,5,53,4294967295,25.12,1004.95,47.56,7.53,100.44
668,805,856,992,6,53,4294967295,25.12,1004.95,47.58,7.49,100.35
668,805,856,991,6,50,4294967295,25.12,1004.96,47.58,7.45,100.35
