NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
363,725,757,970,8,63,4294967295,25.35,1004.56,46.47,13.06,103.7
361,723,754,969,8,64,4294967295,25.35,1004.56,46.48,13.11,103.7
358,721,751,969,7,64,4294967295,25.35,1004.56,46.52,13.13,103.7
356,719,749,969,7,62,4294967295,25.35,1004.56,46.53,13.12,103.7
355,717,747,968,6,56,4294967295,25.35,1004.56,46.56,13.11,103.79
352,715,745,967,6,57,4294967295,25.35,1004.55,46.58,13.16,103.7
349,714,743,966,7,61,4294967295,25.35,1004.56,46.59,13.18,103.7
347,712,741,966,7,58,4294967295,25.35,1004.56,46.63,13.21,103.7
346,709,739,965,7,61,4294967295,25.35,1004.56,46.64,13.27,103.7
344,708,737,965,7,61,4294967295,25.35,1004.56,46.65,13.23,103.7
343,706,735,964,7,60,4294967295,25.35,1004.56,46.66,13.28,103.7
344,705,732,964,7,61,4294967295,25.35,1004.56,46.65,13.32,103.62
344,703,731,964,7,61,4294967295,25.35,1004.57,46.67,13.39,103.62
343,701,729,963,6,60,4294967295,25.35,1004.57,46.66,13.39,103.62
342,699,727,962,6,61,4294967295,25.35,1004.57,46.66,13.42,103.54
345,698,726,962,6,60,4294967295,25.35,1004.58,46.64,13.38,103.54
349,696,724,961,6,60,4294967295,25.36,1004.58,46.66,13.43,103.45
353,695,723,961,7,63,4294967295,25.36,1004.59,46.64,13.48,103.45
359,694,722,960,6,60,4294967295,25.36,1004.59,46.66,13.39,103.45
365,692,721,960,8,61,4294967295,25.36,1004.59,46.64,13.45,103.45
369,691,721,960,7,61,4294967295,25.36,1004.59,46.65,13.41,103.45
372,690,720,959,7,62,4294967295,25.36,1004.59,46.66,13.38,103.45
376,690,719,959,7,63,4294967295,25.36,1004.59,46.65,13.38,103.37
382,689,719,959,8,63,4294967295,25.36,1004.6,46.65,13.35,103.37
386,687,718,959,8,63,4294967295,25.36,1004.6,46.65,13.35,103.29
390,687,717,959,8,64,4294967295,25.36,1004.61,46.65,13.34,103.2
395,686,718,959,7,61,4294967295,25.36,1004.62,46.65,13.34,103.2
398,686,717,958,7,60,4294967295,25.36,1004.62,46.65,13.3,103.2
403,685,717,957,7,61,4294967295,25.37,1004.62,46.66,13.28,103.29
408,685,717,957,7,61,4294967295,25.37,1004.61,46.64,13.36,103.29
415,685,717,958,7,61,4294967295,25.37,1004.61,46.64,13.34,103.2
421,685,717,958,7,63,4294967295,25.37,1004.62,46.63,13.28,103.12
428,685,718,959,7,62,4294967295,25.37,1004.63,46.63,13.06,103.2
433,685,718,959,7,68,4294967295,25.37,1004.62,46.64,12.96,103.12
438,686,719,959,7,62,4294967295,25.37,1004.63,46.63,12.81,103.12
442,686,718,959,8,62,4294967295,25.37,1004.63,46.63,12.81,103.2
445,686,719,959,8,64,4294967295,25.37,1004.62,46.62,12.73,103.2
449,686,719,959,7,62,4294967295,25.38,1004.62,46.65,12.68,103.29
452,686,719,959,8,62,4294967295,25.38,1004.61,46.64,12.64,103.29
455,688,720,960,7,62,4294967295,25.38,1004.61,46.64,12.58,103.29
460,688,720,960,7,63,4294967295,25.38,1004.61,46.64,12.58,103.29
464,688,720,960,8,62,4294967295,25.38,1004.61,46.64,12.49,103.37
466,689,721,961,8,63,4294967295,25.38,1004.6,46.65,12.46,103.37
472,690,722,961,8,61,4294967295,25.38,1004.6,46.65,12.4,103.29
475,690,723,961,9,62,4294967295,25.38,1004.61,46.64,12.46,103.29
479,691,723,962,8,62,4294967295,25.38,1004.61,46.64,12.4,103.29
482,692,725,962,8,63,4294967295,25.39,1004.61,46.63,12.41,103.29
486,692,726,963,8,69,4294967295,25.39,1004.61,46.64,12.38,103.37
489,694,727,963,8,62,4294967295,25.39,1004.6,46.64,12.34,103.29
494,695,728,963,8,63,4294967295,25.39,1004.61,46.64,12.28,103.29
498,696,729,963,8,68,4294967295,25.39,1004.61,46.62,12.28,103.37
501,697,730,964,8,61,4294967295,25.39,1004.6,46.63,12.28,103.37
503,698,731,963,8,65,4294967295,25.39,1004.6,46.62,12.15,103.37
505,700,731,964,8,61,4294967295,25.39,1004.6,46.64,12.05,103.37
508,700,732,964,8,62,4294967295,25.39,1004.6,46.62,11.97,103.45
511,701,732,964,8,66,4294967295,25.39,1004.59,46.64,11.92,103.45
513,702,734,964,8,60,4294967295,25.39,1004.59,46.62,11.98,103.45
515,703,734,965,9,64,4294967295,25.39,1004.59,46.62,12.02,103.45
517,703,734,964,9,65,4294967295,25.39,1004.59,46.61,11.83,103.62
519,704,735,966,9,64,4294967295,25.39,1004.57,46.62,11.76,103.62
522,705,736,965,8,64,4294967295,25.39,1004.57,46.62,11.7,103.62
