NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
301,673,662,937,8,110,4294967295,25.36,1004.47,46.08,14.15,104.46
301,672,661,936,8,110,4294967295,25.36,1004.47,46.13,14.12,104.54
302,670,659,935,8,110,4294967295,25.36,1004.46,46.17,14.15,104.63
305,668,657,935,7,109,4294967295,25.36,1004.45,46.2,14.14,104.63
305,667,656,935,7,110,4294967295,25.36,1004.45,46.25,14.11,104.71
305,665,655,934,7,112,4294967295,25.37,1004.44,46.28,14.09,104.71
306,664,653,934,8,109,4294967295,25.37,1004.44,46.32,14.09,104.71
308,663,652,933,8,109,4294967295,25.37,1004.44,46.33,14.09,104.71
309,661,651,933,8,101,4294967295,25.37,1004.44,46.36,14.03,104.71
310,660,650,932,8,107,4294967295,25.37,1004.44,46.38,14.06,104.71
312,659,649,932,8,109,4294967295,25.37,1004.44,46.38,13.97,104.71
315,658,647,932,8,109,4294967295,25.37,1004.44,46.4,14.04,104.71
318,657,647,931,7,109,4294967295,25.38,1004.44,46.4,13.93,104.71
319,656,646,931,8,103,4294967295,25.38,1004.44,46.42,13.91,104.71
321,655,645,930,8,108,4294967295,25.38,1004.44,46.44,13.93,104.71
323,654,644,931,7,107,4294967295,25.38,1004.44,46.45,13.9,104.71
325,652,644,929,8,106,4294967295,25.38,1004.44,46.44,13.8,104.79
328,652,643,929,8,107,4294967295,25.39,1004.43,46.44,13.84,104.71
333,651,643,929,8,107,4294967295,25.39,1004.44,46.43,13.89,104.79
339,649,643,929,8,103,4294967295,25.39,1004.43,46.42,13.86,104.79
344,648,642,928,8,107,4294967295,25.4,1004.43,46.42,13.87,104.79
349,648,643,928,8,109,4294967295,25.4,1004.43,46.4,13.93,104.79
353,647,643,927,8,108,4294967295,25.4,1004.43,46.41,13.92,104.79
357,647,643,928,9,106,4294967295,25.4,1004.43,46.39,13.91,104.79
361,646,644,928,8,107,4294967295,25.4,1004.43,46.4,13.86,104.79
362,646,643,928,8,107,4294967295,25.4,1004.43,46.4,13.84,104.79
361,646,641,928,8,106,4294967295,25.41,1004.43,46.4,13.84,104.71
361,646,641,928,8,106,4294967295,25.41,1004.44,46.41,13.86,104.71
369,646,641,928,8,105,4294967295,25.41,1004.44,46.4,13.74,104.71
376,645,642,929,8,102,4294967295,25.41,1004.44,46.41,13.69,104.79
385,646,645,929,8,106,4294967295,25.42,1004.43,46.39,13.68,104.88
394,647,647,929,8,103,4294967295,25.42,1004.42,46.4,13.71,104.88
404,647,650,930,8,105,4294967295,25.42,1004.42,46.4,13.63,104.88
413,648,652,931,8,106,4294967295,25.43,1004.42,46.38,13.58,104.96
420,649,654,931,8,105,4294967295,25.43,1004.41,46.38,13.6,104.88
429,650,657,933,8,106,4294967295,25.43,1004.42,46.37,13.55,104.96
438,651,660,933,8,103,4294967295,25.43,1004.41,46.36,13.52,104.88
448,653,664,934,7,102,4294967295,25.43,1004.42,46.34,13.56,104.88
458,654,668,934,7,102,4294967295,25.44,1004.42,46.33,13.56,104.96
469,655,672,935,8,102,4294967295,25.44,1004.41,46.31,13.5,104.88
478,657,676,935,8,98,4294967295,25.44,1004.42,46.33,13.45,104.79
486,659,680,936,8,102,4294967295,25.44,1004.43,46.32,13.31,104.79
493,661,684,935,7,103,4294967295,25.45,1004.43,46.34,13.28,104.79
500,662,687,936,6,95,4294967295,25.45,1004.43,46.33,13.36,104.79
506,664,690,937,7,99,4294967295,25.45,1004.43,46.33,13.34,104.79
509,665,691,937,7,101,4294967295,25.45,1004.43,46.3,13.33,104.71
510,667,692,937,6,98,4294967295,25.46,1004.44,46.3,13.26,104.79
510,668,693,938,7,99,4294967295,25.46,1004.43,46.3,13.13,104.79
512,670,693,939,7,101,4294967295,25.46,1004.43,46.28,13.09,104.79
513,670,694,939,7,99,4294967295,25.46,1004.43,46.28,13.03,104.79
513,671,695,940,7,102,4294967295,25.46,1004.43,46.28,13.0,104.79
514,672,696,940,7,99,4294967295,25.47,1004.43,46.27,12.89,104.79
514,673,696,940,8,102,4294967295,25.47,1004.43,46.26,12.72,104.71
514,673,696,940,7,102,4294967295,25.47,1004.44,46.27,12.62,104.79
513,673,696,941,7,111,4294967295,25.47,1004.43,46.24,12.64,104.79
512,674,696,942,8,100,4294967295,25.47,1004.43,46.25,12.67,104.71
511,673,695,941,8,101,4294967295,25.48,1004.44,46.24,12.71,104.71
511,673,695,942,7,101,4294967295,25.48,1004.44,46.23,12.64,104.79
511,674,695,942,7,100,4294967295,25.48,1004.43,46.22,12.58,104.79
512,675,695,942,8,101,4294967295,25.48,1004.43,46.24,12.47,104.88
513,675,695,942,8,102,4294967295,25.48,1004.42,46.22,12.47,104.79
518,675,697,942,7,100,4294967295,25.48,1004.43,46.21,12.48,104.79
522,676,698,942,8,98,4294967295,25.48,1004.43,46.19,12.46,104.71
526,676,700,943,7,98,4294967295,25.49,1004.44,46.21,12.41,104.79
531,677,702,943,7,97,4294967295,25.49,1004.43,46.2,12.37,104.71
537,679,705,942,7,97,4294967295,25.49,1004.44,46.19,12.2,104.71
540,679,707,943,7,97,4294967295,25.49,1004.44,46.19,12.11,104.71
542,680,709,944,6,90,4294967295,25.49,1004.44,46.18,12.05,104.63
542,680,710,943,6,94,4294967295,25.49,1004.45,46.17,12.01,104.63
543,682,712,944,6,98,4294967295,25.5,1004.45,46.17,11.95,104.63
545,682,712,943,6,95,4294967295,25.5,1004.45,46.15,11.8,104.71
547,682,714,944,6,93,4294967295,25.5,1004.44,46.16,11.67,104.63
547,683,715,944,6,94,4294967295,25.5,1004.45,46.16,11.55,104.63
548,684,716,944,6,96,4294967295,25.51,1004.45,46.15,11.64,104.63
549,684,718,945,6,96,4294967295,25.51,1004.45,46.14,11.55,104.71
550,686,718,945,6,97,4294967295,25.51,1004.44,46.14,11.6,104.63
550,686,719,946,7,100,4294967295,25.51,1004.45,46.14,11.53,104.71
551,687,719,947,6,92,4294967295,25.51,1004.44,46.14,11.51,104.63
551,689,720,948,7,102,4294967295,25.51,1004.45,46.13,11.51,104.54
551,689,720,948,7,95,4294967295,25.51,1004.46,46.13,11.53,104.54
551,690,722,949,7,103,4294967295,25.51,1004.46,46.13,11.57,104.54
552,691,722,950,7,97,4294967295,25.52,1004.46,46.1,11.43,104.54
554,691,724,951,7,97,4294967295,25.52,1004.46,46.1,11.32,104.54
556,692,726,951,7,96,4294967295,25.52,1004.46,46.1,11.18,104.54
558,693,727,951,7,97,4294967295,25.52,1004.46,46.1,11.08,104.54
560,694,728,952,7,98,4294967295,25.52,1004.46,46.09,11.06,104.63
562,695,730,952,7,96,4294967295,25.52,1004.45,46.09,10.98,104.63
563,695,731,953,7,97,4294967295,25.53,1004.45,46.08,10.74,104.63
564,695,732,953,6,96,4294967295,25.53,1004.45,46.08,10.53,104.63
565,696,733,954,7,96,4294967295,25.53,1004.45,46.07,10.3,104.63
566,697,733,954,6,109,4294967295,25.53,1004.45,46.07,10.05,104.63
568,697,734,954,7,97,4294967295,25.53,1004.45,46.07,9.85,104.63
569,699,734,954,7,96,4294967295,25.53,1004.45,46.09,9.83,104.71
573,700,735,954,7,96,4294967295,25.53,1004.44,46.1,9.91,104.63
577,702,738,955,7,96,4294967295,25.53,1004.45,46.08,10.09,104.63
580,703,739,955,7,94,4294967295,25.53,1004.45,46.07,10.26,104.63
580,705,740,956,7,94,4294967295,25.53,1004.45,46.07,10.34,104.63
581,706,741,957,7,94,4294967295,25.53,1004.45,46.07,10.31,104.71
581,708,742,956,7,95,4294967295,25.53,1004.44,46.08,10.28,104.63
583,709,743,957,7,95,4294967295,25.53,1004.45,46.07,10.21,104.63
586,710,745,957,7,95,4294967295,25.54,1004.45,46.08,10.29,104.71
589,712,747,957,7,88,4294967295,25.54,1004.44,46.05,10.26,104.79
593,714,749,957,7,94,4294967295,25.54,1004.43,46.06,10.33,104.79
596,715,751,958,7,95,4294967295,25.54,1004.43,46.04,10.22,104.71
598,717,754,958,7,94,4294967295,25.54,1004.44,46.06,10.0,104.79
599,717,757,959,7,94,4294967295,25.54,1004.43,46.04,9.84,104.79
601,718,761,959,7,94,4294967295,25.54,1004.43,46.06,9.69,104.79
601,719,764,961,7,93,4294967295,25.54,1004.43,46.07,9.66,104.79
600,719,764,962,7,94,4294967295,25.54,1004.43,46.05,9.57,104.79
600,720,763,962,7,92,4294967295,25.54,1004.43,46.05,9.57,104.88
599,720,762,962,6,94,4294967295,25.54,1004.42,46.06,9.61,104.88
598,721,762,962,7,92,4294967295,25.54,1004.42,46.06,9.64,104.88
597,722,761,962,7,94,4294967295,25.55,1004.42,46.05,9.73,104.96
596,723,761,963,7,88,4294967295,25.55,1004.41,46.03,9.89,104.96
596,724,762,962,7,94,4294967295,25.55,1004.41,46.03,10.06,104.96
599,725,764,964,7,94,4294967295,25.55,1004.41,46.0,10.23,105.04
601,726,766,964,7,93,4294967295,25.55,1004.4,46.01,10.46,104.96
604,728,768,965,7,93,4294967295,25.55,1004.41,45.98,10.57,105.04
605,729,769,965,7,94,4294967295,25.55,1004.4,45.99,10.52,105.04
