Config,Window,Stride,Channels,Data_Processing,Train_Overall,Train_cloves,Train_cumin,Train_nutmeg,Test_Overall,Test_cloves,Test_cumin,Test_nutmeg,Online_Details,Final_Vote_Accuracy,Overfitting_Gap,Abs_Overfitting_Gap
long_overlap,60,30,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],92.71,100.0,85.92,93.33,88.46,100.0,83.33,81.25,"[cumin.real.9511a582c32f.csv] cloves:15, cumin:42, nutmeg:6 → cumin (42 / 63) ✅ | [nutmeg.bdedca695511.csv] cloves:0, cumin:5, nutmeg:13 → nutmeg (13 / 18) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:33, cumin:28, nutmeg:2 → cloves (33 / 63) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:46, cumin:17, nutmeg:0 → cloves (46 / 63) ❌ | [cumin.24c868eadb47.csv] cloves:1, cumin:16, nutmeg:1 → cumin (16 / 18) ✅ | [nutmeg.66ddb6a76271.csv] cloves:0, cumin:1, nutmeg:18 → nutmeg (18 / 19) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:11, cumin:3, nutmeg:4 → cloves (11 / 18) ✅ | [cloves.real.64c1deab910f.csv] cloves:15, cumin:20, nutmeg:1 → cumin (20 / 36) ❌ | [nutmeg.real.5d851bb92ab1.csv] cloves:1, cumin:9, nutmeg:53 → nutmeg (53 / 63) ✅",0.435,4.25,4.25
medium_overlap,30,15,"[0, 1, 2, 3, 4, 5]",['highpass_fft_batch'],96.43,100.0,92.31,97.18,91.3,100.0,79.49,94.44,"[cumin.real.9511a582c32f.csv] cloves:10, cumin:111, nutmeg:7 → cumin (111 / 128) ✅ | [nutmeg.bdedca695511.csv] cloves:0, cumin:28, nutmeg:10 → cumin (28 / 38) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:95, cumin:33, nutmeg:0 → cloves (95 / 128) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:117, nutmeg:11 → cumin (117 / 128) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:34, nutmeg:5 → cumin (34 / 39) ✅ | [nutmeg.66ddb6a76271.csv] cloves:0, cumin:1, nutmeg:40 → nutmeg (40 / 41) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:38, cumin:1, nutmeg:0 → cloves (38 / 39) ✅ | [cloves.real.64c1deab910f.csv] cloves:32, cumin:43, nutmeg:0 → cumin (43 / 75) ❌ | [nutmeg.real.5d851bb92ab1.csv] cloves:34, cumin:88, nutmeg:6 → cumin (88 / 128) ❌",0.372,5.13,5.13
no_overlap_long,100,100,"[0, 1, 2, 3, 4, 5]","['standard_scaler', 'diff_data_like']",62.5,100.0,63.64,20.0,60.0,100.0,80.0,0.0,"[cumin.real.9511a582c32f.csv] cloves:13, cumin:6, nutmeg:0 → cloves (13 / 19) ❌ | [nutmeg.bdedca695511.csv] cloves:1, cumin:4, nutmeg:0 → cumin (4 / 5) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:19, cumin:0, nutmeg:0 → cloves (19 / 19) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:19, nutmeg:0 → cumin (19 / 19) ✅ | [cumin.24c868eadb47.csv] cloves:2, cumin:3, nutmeg:0 → cumin (3 / 5) ✅ | [nutmeg.66ddb6a76271.csv] cloves:3, cumin:1, nutmeg:2 → cloves (3 / 6) ❌ | [cloves.1b9dd5b1eab8.csv] cloves:5, cumin:0, nutmeg:0 → cloves (5 / 5) ✅ | [cloves.real.64c1deab910f.csv] cloves:8, cumin:3, nutmeg:0 → cloves (8 / 11) ✅ | [nutmeg.real.5d851bb92ab1.csv] cloves:0, cumin:0, nutmeg:19 → nutmeg (19 / 19) ✅",0.371,2.5,2.5
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],97.5,100.0,96.33,95.88,79.52,100.0,67.86,69.23,"[cumin.real.9511a582c32f.csv] cloves:24, cumin:64, nutmeg:8 → cumin (64 / 96) ✅ | [nutmeg.bdedca695511.csv] cloves:0, cumin:12, nutmeg:16 → nutmeg (16 / 28) ✅ | [cloves.real.8f94d1b40f0a.csv] cloves:48, cumin:46, nutmeg:2 → cloves (48 / 96) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:31, cumin:41, nutmeg:24 → cumin (41 / 96) ✅ | [cumin.24c868eadb47.csv] cloves:0, cumin:21, nutmeg:8 → cumin (21 / 29) ✅ | [nutmeg.66ddb6a76271.csv] cloves:2, cumin:3, nutmeg:25 → nutmeg (25 / 30) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:23, cumin:3, nutmeg:3 → cloves (23 / 29) ✅ | [cloves.real.64c1deab910f.csv] cloves:9, cumin:45, nutmeg:2 → cumin (45 / 56) ❌ | [nutmeg.real.5d851bb92ab1.csv] cloves:19, cumin:70, nutmeg:7 → cumin (70 / 96) ❌",0.331,17.98,17.98
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5]",['highpass_fft_batch'],92.9,100.0,90.83,87.16,89.66,100.0,83.33,85.19,"[cumin.real.9511a582c32f.csv] cloves:18, cumin:71, nutmeg:8 → cumin (71 / 97) ✅ | [nutmeg.bdedca695511.csv] cloves:0, cumin:23, nutmeg:6 → cumin (23 / 29) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:79, cumin:17, nutmeg:1 → cloves (79 / 97) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:0, nutmeg:97 → nutmeg (97 / 97) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:28, nutmeg:2 → cumin (28 / 30) ✅ | [nutmeg.66ddb6a76271.csv] cloves:2, cumin:2, nutmeg:28 → nutmeg (28 / 32) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:29, cumin:0, nutmeg:1 → cloves (29 / 30) ✅ | [cloves.real.64c1deab910f.csv] cloves:35, cumin:22, nutmeg:0 → cloves (35 / 57) ✅ | [nutmeg.real.5d851bb92ab1.csv] cloves:38, cumin:33, nutmeg:26 → cloves (38 / 97) ❌",0.306,3.24,3.24
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['highpass_fft_batch'],93.47,100.0,94.17,85.19,88.51,100.0,86.67,77.78,"[cumin.real.9511a582c32f.csv] cloves:39, cumin:55, nutmeg:3 → cumin (55 / 97) ✅ | [nutmeg.bdedca695511.csv] cloves:0, cumin:26, nutmeg:3 → cumin (26 / 29) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:79, cumin:18, nutmeg:0 → cloves (79 / 97) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:31, nutmeg:66 → nutmeg (66 / 97) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:30, nutmeg:0 → cumin (30 / 30) ✅ | [nutmeg.66ddb6a76271.csv] cloves:0, cumin:5, nutmeg:27 → nutmeg (27 / 32) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:30, cumin:0, nutmeg:0 → cloves (30 / 30) ✅ | [cloves.real.64c1deab910f.csv] cloves:41, cumin:16, nutmeg:0 → cloves (41 / 57) ✅ | [nutmeg.real.5d851bb92ab1.csv] cloves:15, cumin:79, nutmeg:3 → cumin (79 / 97) ❌",0.284,4.96,4.96
no_overlap_short,20,20,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]","['diff_data_like', 'highpass_fft_batch']",96.56,100.0,97.27,91.92,91.57,100.0,89.29,84.62,"[cumin.real.9511a582c32f.csv] cloves:66, cumin:28, nutmeg:2 → cloves (66 / 96) ❌ | [nutmeg.bdedca695511.csv] cloves:3, cumin:23, nutmeg:2 → cumin (23 / 28) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:92, cumin:4, nutmeg:0 → cloves (92 / 96) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:14, nutmeg:82 → nutmeg (82 / 96) ❌ | [cumin.24c868eadb47.csv] cloves:0, cumin:27, nutmeg:2 → cumin (27 / 29) ✅ | [nutmeg.66ddb6a76271.csv] cloves:4, cumin:10, nutmeg:16 → nutmeg (16 / 30) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:29, cumin:0, nutmeg:0 → cloves (29 / 29) ✅ | [cloves.real.64c1deab910f.csv] cloves:52, cumin:4, nutmeg:0 → cloves (52 / 56) ✅ | [nutmeg.real.5d851bb92ab1.csv] cloves:24, cumin:29, nutmeg:43 → nutmeg (43 / 96) ✅",0.271,4.99,4.99
short_overlap,10,5,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],94.64,100.0,93.46,89.88,82.44,100.0,76.32,69.52,"[cumin.real.9511a582c32f.csv] cloves:121, cumin:220, nutmeg:42 → cumin (220 / 383) ✅ | [nutmeg.bdedca695511.csv] cloves:11, cumin:71, nutmeg:31 → cumin (71 / 113) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:250, cumin:133, nutmeg:0 → cloves (250 / 383) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:228, cumin:36, nutmeg:119 → cloves (228 / 383) ❌ | [cumin.24c868eadb47.csv] cloves:2, cumin:88, nutmeg:25 → cumin (88 / 115) ✅ | [nutmeg.66ddb6a76271.csv] cloves:6, cumin:5, nutmeg:111 → nutmeg (111 / 122) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:88, cumin:4, nutmeg:23 → cloves (88 / 115) ✅ | [cloves.real.64c1deab910f.csv] cloves:114, cumin:110, nutmeg:0 → cloves (114 / 224) ✅ | [nutmeg.real.5d851bb92ab1.csv] cloves:219, cumin:148, nutmeg:16 → cloves (219 / 383) ❌",0.265,12.2,12.2
long_overlap,60,30,"[0, 1, 2, 3, 4, 5]",['diff_data_like'],95.31,100.0,95.52,90.91,84.62,100.0,88.89,62.5,"[cumin.real.9511a582c32f.csv] cloves:10, cumin:45, nutmeg:8 → cumin (45 / 63) ✅ | [nutmeg.bdedca695511.csv] cloves:0, cumin:17, nutmeg:1 → cumin (17 / 18) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:33, cumin:27, nutmeg:3 → cloves (33 / 63) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:0, cumin:63, nutmeg:0 → cumin (63 / 63) ✅ | [cumin.24c868eadb47.csv] cloves:1, cumin:17, nutmeg:0 → cumin (17 / 18) ✅ | [nutmeg.66ddb6a76271.csv] cloves:0, cumin:0, nutmeg:19 → nutmeg (19 / 19) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:10, cumin:0, nutmeg:8 → cloves (10 / 18) ✅ | [cloves.real.64c1deab910f.csv] cloves:10, cumin:17, nutmeg:9 → cumin (17 / 36) ❌ | [nutmeg.real.5d851bb92ab1.csv] cloves:1, cumin:62, nutmeg:0 → cumin (62 / 63) ❌",0.26,10.69,10.69
short_overlap,10,5,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]",['diff_data_like'],96.21,100.0,95.75,92.4,85.12,100.0,83.33,70.48,"[cumin.real.9511a582c32f.csv] cloves:168, cumin:184, nutmeg:31 → cumin (184 / 383) ✅ | [nutmeg.bdedca695511.csv] cloves:21, cumin:67, nutmeg:25 → cumin (67 / 113) ❌ | [cloves.real.8f94d1b40f0a.csv] cloves:316, cumin:61, nutmeg:6 → cloves (316 / 383) ✅ | [cumin.real.ce4fed0b0313.csv] cloves:275, cumin:38, nutmeg:70 → cloves (275 / 383) ❌ | [cumin.24c868eadb47.csv] cloves:5, cumin:97, nutmeg:13 → cumin (97 / 115) ✅ | [nutmeg.66ddb6a76271.csv] cloves:14, cumin:32, nutmeg:76 → nutmeg (76 / 122) ✅ | [cloves.1b9dd5b1eab8.csv] cloves:89, cumin:25, nutmeg:1 → cloves (89 / 115) ✅ | [cloves.real.64c1deab910f.csv] cloves:159, cumin:61, nutmeg:4 → cloves (159 / 224) ✅ | [nutmeg.real.5d851bb92ab1.csv] cloves:330, cumin:52, nutmeg:1 → cloves (330 / 383) ❌",0.231,11.09,11.09
