NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
174,301,407,818,3,25,4294967295,24.74,1010.12,46.1,50.18,57.23
173,301,406,817,3,26,4294967295,24.74,1010.12,46.11,50.78,57.14
172,300,405,816,3,25,4294967295,24.74,1010.13,46.12,50.21,57.06
172,300,405,817,3,24,4294967295,24.74,1010.14,46.11,50.57,57.06
172,299,403,816,3,25,4294967295,24.74,1010.14,46.14,50.63,57.06
171,298,403,816,4,25,4294967295,24.75,1010.14,46.13,51.25,56.98
169,298,402,816,3,25,4294967295,24.75,1010.15,46.14,50.88,57.06
169,297,401,816,3,25,4294967295,24.75,1010.14,46.14,51.03,57.06
168,297,400,816,3,24,4294967295,24.75,1010.14,46.14,51.19,57.14
169,296,399,815,3,24,4294967295,24.74,1010.13,46.14,51.41,57.06
168,295,398,815,4,24,4294967295,24.74,1010.14,46.14,51.53,57.06
168,294,398,815,3,24,4294967295,24.74,1010.14,46.15,51.72,57.06
166,294,397,815,3,24,4294967295,24.74,1010.14,46.17,51.79,57.06
165,294,396,815,4,24,4294967295,24.74,1010.14,46.14,51.91,56.98
164,293,395,815,4,24,4294967295,24.74,1010.15,46.15,51.98,57.06
165,293,395,815,3,23,4294967295,24.74,1010.14,46.17,52.04,56.98
165,292,394,815,3,24,4294967295,24.74,1010.15,46.16,52.27,56.98
163,292,394,815,3,23,4294967295,24.74,1010.15,46.17,52.33,57.06
163,291,392,815,3,24,4294967295,24.74,1010.14,46.19,52.33,56.98
164,290,392,815,3,24,4294967295,24.74,1010.15,46.18,52.53,57.06
163,290,391,815,4,23,4294967295,24.74,1010.14,46.18,52.73,56.98
162,289,391,815,3,23,4294967295,24.74,1010.15,46.17,52.89,57.06
161,289,390,814,3,24,4294967295,24.74,1010.14,46.2,53.1,57.06
163,288,390,814,3,24,4294967295,24.74,1010.14,46.19,53.53,57.06
163,287,389,814,3,24,4294967295,24.75,1010.14,46.19,52.93,57.06
162,287,388,814,3,24,4294967295,24.75,1010.14,46.19,53.67,57.06
161,286,387,815,3,22,4294967295,24.75,1010.14,46.18,53.3,57.06
157,281,381,810,3,23,4294967295,24.75,1010.14,46.17,53.33,57.06
157,283,383,813,4,23,4294967295,24.75,1010.14,46.17,53.57,57.06
161,287,387,818,3,24,4294967295,24.75,1010.14,46.18,53.6,57.06
163,287,387,818,3,24,4294967295,24.75,1010.14,46.17,53.71,57.06
165,287,387,820,4,23,4294967295,24.75,1010.14,46.19,53.91,57.14
