NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
405,254,299,626,10.2842,9.3912,0.0003,27.2900,1016.3900,33.6600,167.5000,5.0612
406,254,300,626,10.2036,9.5746,0.0003,27.3100,1016.3700,33.6540,168.6810,5.2272
406,255,300,626,9.9846,9.6209,0.0003,27.3300,1016.3700,33.6360,169.7060,5.2272
407,256,301,627,9.9256,9.5630,0.0003,27.3500,1016.3500,33.6150,170.9180,5.3932
406,256,301,628,9.8669,9.5399,0.0003,27.3700,1016.3500,33.5940,170.9180,5.3932
406,255,302,628,10.3045,9.9387,0.0002,27.3800,1016.3700,33.5870,170.7440,5.2272
408,256,301,627,10.4267,9.0555,0.0003,27.3900,1016.3700,33.5690,170.5700,5.2272
407,256,302,628,10.4471,9.6441,0.0003,27.4100,1016.3500,33.5490,172.1480,5.3932
408,256,301,628,10.6539,9.6093,0.0003,27.4200,1016.3700,33.5260,171.6190,5.2272
407,256,302,628,10.5708,9.5746,0.0003,27.4300,1016.3500,33.5060,171.9710,5.3932
410,258,303,630,9.5587,9.2109,0.0003,27.4300,1016.4100,33.4950,170.9180,4.8956
410,257,304,631,9.9256,9.5977,0.0004,26.9500,1016.3500,33.4880,105.2800,5.3932
411,258,304,630,9.8669,9.5399,0.0003,26.7400,1016.3500,33.5390,121.2890,5.3932
410,257,304,631,10.1235,9.5399,0.0003,26.6900,1016.3300,33.5950,133.8930,5.5592
412,258,305,631,10.2438,9.4825,0.0003,26.7200,1016.3500,33.6430,142.0700,5.3932
411,258,305,631,10.3858,9.6325,0.0003,26.7700,1016.3900,33.6720,148.2300,5.0612
411,257,305,631,11.0995,9.6093,0.0005,26.8500,1016.3700,33.6970,152.6890,5.2272
412,258,305,632,10.4062,9.6209,0.0003,26.9200,1016.3700,33.7190,155.8140,5.2272
413,259,305,631,10.7166,9.5284,0.0003,26.9900,1016.3500,33.7170,157.4250,5.3932
412,259,305,632,10.1235,9.5861,0.0003,27.0500,1016.3900,33.7130,160.7490,5.0612
412,259,306,632,10.1435,9.1551,0.0003,27.1100,1016.3500,33.7260,162.3060,5.3932
413,259,306,632,9.9256,9.6791,0.0003,27.1600,1016.3500,33.7170,164.0550,5.3932
413,259,306,633,9.7697,9.5977,0.0003,27.2000,1016.3500,33.7180,166.0060,5.3932
413,259,307,633,9.5587,9.8199,0.0003,27.2400,1016.3700,33.7020,165.8420,5.2272
414,260,307,633,9.6925,9.4940,0.0003,27.2700,1016.3900,33.7040,167.1660,5.0612
415,260,306,634,9.7891,9.5746,0.0003,27.3000,1016.3700,33.6780,167.3330,5.2272
414,259,307,633,10.1835,9.5169,0.0003,27.3300,1016.3500,33.6580,167.3330,5.3932
414,259,307,633,10.3858,9.5515,0.0003,27.3500,1016.3700,33.6490,169.0210,5.2272
415,260,307,634,9.8864,9.0997,0.0004,27.3700,1016.3700,33.6220,168.5110,5.2272
415,260,308,635,10.6330,9.5284,0.0003,27.3900,1016.3700,33.6100,169.3630,5.2272
416,260,308,635,10.8429,9.6558,0.0003,27.4000,1016.3500,33.5780,170.7440,5.3932
416,260,308,635,10.7166,9.0886,0.0003,27.4200,1016.3500,33.5720,170.7440,5.3932
417,261,308,635,10.1435,9.5515,0.0003,27.4300,1016.3900,33.5630,171.6190,5.0612
417,260,308,634,9.8474,9.7845,0.0003,27.4400,1016.3700,33.5350,171.0930,5.2272
417,261,309,635,10.0439,9.5054,0.0003,27.4500,1016.3900,33.5100,171.7950,5.0612
417,261,309,635,9.8085,9.6441,0.0003,27.4600,1016.3900,33.4990,171.4430,5.0612
420,263,310,637,9.4453,9.2669,0.0003,27.4700,1016.3900,33.4730,172.6800,5.0612
420,262,311,637,10.4062,9.5054,0.0003,26.9800,1016.3500,33.4600,105.2140,5.3932
420,262,311,637,10.2438,9.6209,0.0003,26.7700,1016.3900,33.5190,121.2890,5.0612
420,263,311,638,10.5708,9.5284,0.0003,26.7200,1016.3500,33.5740,134.3220,5.3932
421,263,311,638,10.1435,9.2444,0.0002,26.7500,1016.3500,33.6190,141.4700,5.3932
421,264,312,638,10.0837,9.5515,0.0003,26.8000,1016.3700,33.6450,147.0590,5.2272
421,264,312,638,9.9256,9.5515,0.0003,26.8700,1016.3700,33.6790,152.1340,5.2272
422,264,312,638,9.7503,9.5169,0.0003,26.9500,1016.3500,33.6760,155.3800,5.3932
421,263,313,638,9.6925,9.5515,0.0003,27.0200,1016.3900,33.6960,159.3720,5.0612
422,263,313,638,9.4077,9.5746,0.0003,27.0800,1016.3700,33.6980,160.4410,5.2272
422,265,312,638,9.2035,9.5746,0.0003,27.1400,1016.3700,33.7070,162.9380,5.2272
423,265,313,639,9.4641,9.6907,0.0003,27.1900,1016.3300,33.7020,164.2160,5.5592
422,264,313,640,9.7503,9.8673,0.0003,27.2300,1016.3900,33.6960,164.8620,5.0612
