NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
73,82,162,763,4,23,0,25.12,1010.27,46.6,195.54,55.98
73,82,161,764,4,22,0,25.12,1010.27,46.6,195.43,55.98
73,82,161,764,4,26,0,25.12,1010.27,46.6,196.24,55.98
73,82,161,764,4,23,0,25.12,1010.27,46.6,195.66,55.98
73,82,160,764,4,23,0,25.12,1010.27,46.6,195.54,55.98
72,82,160,764,4,23,0,25.12,1010.27,46.6,195.31,55.98
73,81,161,764,4,23,0,25.12,1010.27,46.6,195.89,55.98
72,81,160,764,4,23,0,25.12,1010.27,46.59,196.71,55.98
72,82,159,764,4,23,0,25.12,1010.27,46.6,196.82,55.98
72,82,159,764,4,26,0,25.12,1010.27,46.59,195.89,55.89
72,82,159,764,4,23,0,25.12,1010.28,46.59,196.35,55.89
72,81,159,764,4,23,0,25.12,1010.28,46.59,196.35,55.89
72,82,160,764,4,23,0,25.12,1010.28,46.6,195.19,55.81
71,82,159,764,4,23,0,25.12,1010.29,46.59,196.82,55.89
72,82,159,764,4,23,0,25.12,1010.28,46.59,196.71,55.89
73,82,160,765,4,23,0,25.12,1010.28,46.59,196.12,55.89
73,82,161,765,4,23,0,25.12,1010.28,46.58,196.24,55.98
73,82,161,765,4,23,0,25.12,1010.27,46.6,196.35,55.98
73,83,161,765,4,22,0,25.12,1010.27,46.6,195.77,56.06
73,82,162,765,4,23,0,25.12,1010.26,46.57,194.39,56.06
73,83,162,765,4,23,0,25.12,1010.26,46.57,195.66,56.06
74,82,162,765,4,23,0,25.12,1010.26,46.59,195.19,55.98
73,83,161,766,4,22,0,25.12,1010.27,46.59,195.54,56.06
73,83,162,766,4,23,0,25.12,1010.26,46.58,194.85,56.06
73,83,162,767,4,23,0,25.12,1010.26,46.58,194.51,56.06
74,83,163,767,4,23,0,25.12,1010.26,46.57,194.28,56.06
73,84,163,768,4,23,0,25.12,1010.26,46.57,193.82,56.14
75,84,164,768,4,23,0,25.12,1010.25,46.58,194.05,56.06
75,85,165,769,4,23,0,25.12,1010.26,46.57,193.93,56.06
76,84,165,769,4,21,0,25.12,1010.26,46.57,192.8,56.14
76,85,167,769,4,23,0,25.11,1010.25,46.57,192.02,56.14
78,86,168,769,4,23,0,25.11,1010.25,46.58,191.8,56.14
78,86,170,770,4,21,0,25.11,1010.25,46.58,190.69,56.14
79,86,172,771,4,23,0,25.11,1010.25,46.57,190.47,56.14
81,87,174,771,4,23,0,25.11,1010.25,46.57,189.71,56.23
82,88,176,772,4,23,0,25.11,1010.24,46.59,188.73,56.23
83,89,178,773,4,22,0,25.11,1010.24,46.58,187.34,56.14
84,90,181,773,4,22,0,25.11,1010.25,46.58,186.81,56.14
87,92,184,774,4,21,0,25.11,1010.25,46.58,186.18,56.14
89,94,188,775,4,22,0,25.11,1010.25,46.58,185.34,56.23
92,97,193,775,4,22,0,25.1,1010.24,46.58,184.96,56.23
96,100,200,777,4,20,0,25.1,1010.24,46.58,182.94,56.14
102,103,208,778,4,22,0,25.1,1010.25,46.58,182.15,56.14
106,107,216,778,4,23,0,25.1,1010.25,46.58,178.86,56.14
108,109,223,779,4,22,0,25.1,1010.25,46.59,177.53,56.14
111,112,228,780,4,22,0,25.1,1010.25,46.59,177.72,56.14
113,114,232,782,4,22,0,25.1,1010.25,46.6,176.05,56.23
115,116,234,783,4,22,0,25.1,1010.24,46.6,175.31,56.23
118,118,239,783,4,22,0,25.1,1010.24,46.58,173.86,56.31
121,120,244,783,4,22,0,25.1,1010.23,46.6,174.04,56.23
123,122,249,785,4,22,0,25.1,1010.24,46.59,173.5,56.31
126,124,254,785,4,22,0,25.1,1010.23,46.58,173.15,56.31
127,125,257,786,4,22,0,25.1,1010.23,46.58,173.86,56.31
129,127,260,787,4,22,0,25.1,1010.23,46.58,173.5,56.31
130,128,262,787,4,22,0,25.1,1010.23,46.58,170.86,56.31
131,129,264,788,4,22,0,25.1,1010.23,46.58,171.56,56.31
135,131,268,789,4,22,0,25.1,1010.23,46.6,170.51,56.31
138,133,275,789,4,22,0,25.09,1010.23,46.59,169.82,56.31
140,134,279,790,4,22,0,25.09,1010.23,46.59,167.62,56.31
142,136,283,791,4,22,0,25.09,1010.23,46.58,166.62,56.31
146,138,287,791,3,22,0,25.09,1010.23,46.6,166.29,56.31
152,140,295,792,4,22,0,25.09,1010.23,46.59,165.64,56.31
161,143,306,793,4,22,0,25.09,1010.23,46.6,163.54,56.39
169,147,320,794,3,22,0,25.09,1010.22,46.59,162.6,56.39
178,151,335,794,4,22,0,25.09,1010.22,46.6,160.88,56.39
187,155,350,795,4,22,0,25.09,1010.22,46.61,160.12,56.31
195,159,365,796,4,22,0,25.09,1010.23,46.59,157.86,56.31
201,163,377,797,4,22,0,25.09,1010.23,46.6,156.25,56.31
207,168,386,798,4,22,0,25.09,1010.23,46.61,155.24,56.31
211,172,395,799,4,22,0,25.09,1010.23,46.61,153.82,56.31
219,176,404,800,4,22,0,25.09,1010.23,46.61,152.7,56.31
225,180,413,801,4,23,0,25.09,1010.23,46.62,152.29,56.31
229,184,421,803,4,22,0,25.09,1010.23,46.6,152.29,56.31
234,188,426,803,4,22,0,25.09,1010.23,46.6,151.06,56.23
236,191,431,804,4,22,0,25.09,1010.24,46.61,150.65,56.23
239,194,434,805,4,22,0,25.09,1010.24,46.61,149.71,56.23
241,197,437,806,3,22,0,25.09,1010.24,46.6,149.31,56.39
244,199,441,806,4,22,0,25.09,1010.22,46.61,148.78,56.39
246,201,443,807,4,22,0,25.09,1010.22,46.6,148.26,56.39
245,202,445,808,4,22,0,25.09,1010.22,46.59,147.22,56.31
245,203,445,809,4,22,0,25.09,1010.23,46.6,146.32,56.39
247,205,445,809,4,22,0,25.09,1010.22,46.61,145.56,56.31
247,206,445,810,4,21,0,25.09,1010.23,46.59,145.06,56.39
247,207,446,810,4,22,0,25.09,1010.22,46.6,144.68,56.31
246,208,445,811,4,21,0,25.09,1010.23,46.59,143.94,56.31
246,209,443,811,4,22,0,25.09,1010.23,46.61,143.33,56.23
248,210,444,812,4,22,0,25.09,1010.24,46.61,142.12,56.23
248,211,446,812,4,22,0,25.09,1010.24,46.62,140.69,56.23
248,213,446,812,4,22,0,25.09,1010.24,46.61,138.83,56.23
250,214,448,812,4,22,0,25.08,1010.24,46.61,137.92,56.31
253,215,450,813,4,22,0,25.09,1010.23,46.61,136.8,56.31
257,217,454,813,4,22,0,25.09,1010.23,46.61,135.47,56.31
259,219,459,813,4,22,0,25.09,1010.23,46.61,133.86,56.23
262,221,463,814,4,22,0,25.08,1010.24,46.61,133.01,56.14
263,222,467,814,4,22,0,25.08,1010.25,46.61,131.66,56.14
264,224,468,815,4,22,0,25.08,1010.25,46.61,130.03,56.06
265,225,470,816,4,22,0,25.08,1010.26,46.61,127.85,56.14
265,225,470,816,4,22,0,25.08,1010.25,46.61,125.75,56.14
265,227,471,816,4,22,0,25.08,1010.25,46.61,123.17,56.23
262,227,470,816,4,22,0,25.08,1010.24,46.61,121.13,56.14
264,228,470,817,5,22,0,25.08,1010.25,46.61,119.15,56.14
266,229,471,817,4,22,0,25.08,1010.25,46.61,117.49,56.14
268,231,474,817,4,22,0,25.08,1010.25,46.62,115.63,56.14
269,231,476,818,4,22,0,25.08,1010.25,46.61,114.29,56.06
267,232,476,818,4,23,0,25.08,1010.26,46.62,112.38,56.14
267,234,475,818,4,22,0,25.08,1010.25,46.62,111.05,56.06
267,234,474,818,4,22,0,25.08,1010.26,46.62,109.74,56.14
268,236,475,818,4,22,0,25.08,1010.25,46.62,108.61,56.23
270,237,477,819,4,22,0,25.08,1010.24,46.62,107.84,56.23
268,238,477,820,4,22,0,25.08,1010.24,46.61,106.61,56.23
268,239,476,819,5,22,0,25.08,1010.24,46.61,105.74,56.23
266,239,475,820,3,22,0,25.08,1010.24,46.62,104.36,56.14
266,239,474,820,4,22,0,25.08,1010.25,46.62,102.45,56.14
268,241,475,820,4,22,0,25.08,1010.25,46.62,100.73,56.06
269,242,477,821,4,22,0,25.08,1010.26,46.63,100.13,56.14
271,243,479,821,3,22,0,25.08,1010.25,46.62,99.84,56.06
274,245,482,821,4,22,0,25.08,1010.26,46.61,99.54,56.14
276,247,485,822,4,22,0,25.08,1010.25,46.63,98.78,56.14
279,248,490,822,5,22,0,25.08,1010.25,46.62,97.35,56.14
282,251,494,822,4,22,0,25.08,1010.25,46.6,96.46,56.14
284,253,497,822,4,21,0,25.08,1010.25,46.62,95.15,56.06
286,255,500,823,4,22,2,25.08,1010.26,46.62,94.4,56.06
289,258,503,823,4,21,3,25.08,1010.26,46.61,93.56,56.06
294,261,508,824,4,21,0,25.08,1010.26,46.61,95.39,56.06
296,264,512,826,4,23,8,25.08,1010.26,46.61,94.85,56.14
298,267,515,826,4,22,115,25.08,1010.25,46.62,94.43,56.14
301,269,518,826,4,22,4294967295,25.08,1010.25,46.62,92.45,56.14
300,270,520,827,4,22,4294967295,25.08,1010.25,46.61,90.76,56.14
301,271,520,828,4,22,0,25.08,1010.25,46.62,89.21,56.14
302,273,521,828,4,22,4294967295,25.08,1010.25,46.62,87.91,56.14
303,275,523,828,4,25,4294967295,25.08,1010.25,46.61,86.64,56.06
306,277,525,829,4,22,4294967295,25.08,1010.26,46.62,85.5,56.14
309,279,529,829,4,22,4294967295,25.08,1010.25,46.62,84.63,56.14
309,281,533,829,4,22,4294967295,25.08,1010.25,46.61,84.21,56.14
309,283,533,830,4,22,4294967295,25.08,1010.25,46.62,83.79,56.23
307,283,532,830,4,22,4294967295,25.08,1010.24,46.61,83.87,56.14
306,284,530,831,4,25,4294967295,25.08,1010.25,46.62,83.87,56.23
305,284,528,831,4,22,4294967295,25.08,1010.24,46.6,83.37,56.23
302,284,526,831,5,22,4294967295,25.08,1010.24,46.62,83.05,56.14
300,284,523,831,4,22,4294967295,25.08,1010.25,46.6,82.23,56.14
299,284,521,832,4,22,4294967295,25.08,1010.25,46.62,81.51,56.14
297,284,521,832,3,22,4294967295,25.08,1010.25,46.61,80.04,56.14
297,284,519,831,4,22,4294967295,25.08,1010.25,46.61,78.69,56.14
298,284,520,832,4,22,4294967295,25.08,1010.25,46.62,77.46,56.14
300,284,522,832,4,21,4294967295,25.08,1010.25,46.61,76.33,56.14
301,286,523,832,4,22,4294967295,25.08,1010.25,46.61,75.71,56.23
302,287,525,832,4,22,4294967295,25.08,1010.24,46.61,74.77,56.14
301,288,525,833,4,22,4294967295,25.08,1010.25,46.6,74.11,56.14
302,288,525,833,4,22,4294967295,25.08,1010.25,46.61,73.79,56.14
302,289,526,833,4,23,4294967295,25.08,1010.25,46.6,73.15,56.23
302,290,526,833,4,22,4294967295,25.08,1010.24,46.59,72.26,56.23
301,291,526,833,4,22,4294967295,25.08,1010.24,46.61,71.41,56.14
303,292,527,834,4,22,4294967295,25.08,1010.25,46.59,70.68,56.14
305,294,529,834,4,22,4294967295,25.08,1010.25,46.59,69.81,56.14
310,295,533,834,4,21,4294967295,25.08,1010.25,46.59,69.0,56.14
310,297,536,834,4,22,4294967295,25.08,1010.25,46.59,68.22,56.14
312,299,538,834,4,22,4294967295,25.08,1010.25,46.59,67.08,56.14
316,300,542,835,4,22,4294967295,25.08,1010.25,46.59,66.07,56.14
316,303,544,835,4,25,4294967295,25.08,1010.25,46.6,65.1,56.14
319,305,547,835,3,22,4294967295,25.08,1010.25,46.58,64.16,56.23
322,307,549,835,4,22,4294967295,25.08,1010.24,46.59,63.87,56.23
325,310,554,836,4,22,4294967295,25.08,1010.24,46.59,63.62,56.23
328,312,558,837,4,21,4294967295,25.08,1010.24,46.59,63.29,56.23
330,314,560,837,4,22,4294967295,25.08,1010.24,46.58,63.1,56.31
331,316,562,838,4,22,4294967295,25.08,1010.23,46.59,63.0,56.31
333,318,564,837,4,22,4294967295,25.08,1010.23,46.59,63.05,56.31
336,321,568,837,4,22,4294967295,25.08,1010.23,46.57,63.1,56.39
338,324,571,839,4,22,4294967295,25.08,1010.22,46.57,62.91,56.31
338,326,572,839,4,22,4294967295,25.08,1010.23,46.57,63.29,56.31
337,327,571,840,4,22,4294967295,25.08,1010.23,46.57,63.1,56.31
332,327,568,839,4,22,4294967295,25.08,1010.23,46.56,62.77,56.31
330,328,565,840,4,21,4294967295,25.08,1010.23,46.57,62.49,56.31
330,328,564,841,5,22,4294967295,25.08,1010.23,46.57,61.98,56.23
333,329,565,841,4,22,4294967295,25.08,1010.24,46.57,61.35,56.31
337,330,568,840,4,22,4294967295,25.08,1010.23,46.57,60.51,56.23
341,333,572,841,4,22,4294967295,25.08,1010.24,46.57,59.74,56.23
343,335,576,841,4,23,4294967295,25.08,1010.24,46.57,59.52,56.23
348,338,581,841,4,22,4294967295,25.08,1010.24,46.58,59.19,56.23
351,340,585,842,4,22,4294967295,25.08,1010.24,46.57,59.36,56.23
353,343,589,843,4,22,4294967295,25.08,1010.24,46.57,59.31,56.31
355,345,592,843,4,22,4294967295,25.08,1010.23,46.57,58.78,56.31
355,347,593,843,5,22,4294967295,25.09,1010.23,46.56,58.25,56.31
355,349,594,844,4,22,4294967295,25.08,1010.23,46.56,58.12,56.23
354,350,592,845,4,22,4294967295,25.08,1010.24,46.56,58.12,56.23
352,351,591,844,3,22,4294967295,25.08,1010.24,46.56,57.92,56.23
354,352,590,845,4,22,4294967295,25.08,1010.24,46.56,57.61,56.23
