NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
76,121,166,751,2,21,4294967295,25.53,1004.36,45.72,76.96,105.46
76,121,166,750,2,23,4294967295,25.53,1004.35,45.77,76.68,105.46
76,121,165,750,2,21,4294967295,25.53,1004.35,45.78,76.75,105.38
75,121,165,750,2,21,4294967295,25.53,1004.36,45.81,76.68,105.46
76,121,165,751,2,21,4294967295,25.53,1004.35,45.82,76.54,105.46
76,121,165,751,2,21,4294967295,25.53,1004.35,45.85,76.54,105.46
76,121,165,751,2,22,4294967295,25.53,1004.35,45.86,76.26,105.3
76,121,165,751,2,21,4294967295,25.53,1004.37,45.85,76.54,105.3
76,121,165,751,2,22,4294967295,25.53,1004.37,45.87,76.33,105.3
75,121,165,751,2,21,4294967295,25.53,1004.37,45.87,76.54,105.3
75,121,165,751,2,21,4294967295,25.54,1004.37,45.88,76.47,105.3
75,121,164,752,2,21,4294967295,25.54,1004.37,45.87,76.47,105.3
75,121,165,752,2,21,4294967295,25.54,1004.37,45.88,76.33,105.38
76,120,165,752,2,21,4294967295,25.54,1004.36,45.88,76.33,105.38
75,121,164,752,2,21,4294967295,25.54,1004.36,45.88,76.33,105.3
75,121,164,752,2,19,4294967295,25.54,1004.37,45.88,76.54,105.3
75,121,164,752,2,21,4294967295,25.54,1004.37,45.9,76.26,105.3
75,121,164,752,2,21,4294967295,25.54,1004.37,45.9,76.4,105.3
76,121,163,752,2,21,4294967295,25.54,1004.37,45.89,76.33,105.3
75,120,164,752,2,21,4294967295,25.54,1004.37,45.88,76.13,105.3
76,121,163,753,2,21,4294967295,25.54,1004.37,45.88,76.13,105.21
75,120,164,753,2,21,4294967295,25.54,1004.38,45.87,76.13,105.3
75,120,164,753,2,21,4294967295,25.54,1004.37,45.87,76.13,105.3
75,120,164,753,2,21,4294967295,25.54,1004.37,45.86,76.13,105.3
75,120,164,754,2,21,4294967295,25.54,1004.37,45.85,76.2,105.3
76,120,164,754,2,21,4294967295,25.55,1004.37,45.85,76.06,105.3
75,120,164,755,2,21,4294967295,25.55,1004.37,45.84,75.99,105.3
76,120,164,754,2,21,4294967295,25.55,1004.37,45.85,76.13,105.3
76,120,164,755,2,21,4294967295,25.55,1004.37,45.83,75.92,105.3
76,120,164,755,2,21,4294967295,25.55,1004.37,45.84,76.26,105.38
76,120,164,755,2,22,4294967295,25.55,1004.36,45.82,76.33,105.46
77,120,163,755,2,21,4294967295,25.55,1004.35,45.82,76.06,105.46
77,120,164,756,2,21,4294967295,25.55,1004.35,45.83,76.2,105.38
77,120,164,757,2,21,4294967295,25.55,1004.36,45.83,75.99,105.38
78,121,165,758,2,22,4294967295,25.55,1004.36,45.83,76.26,105.38
78,120,165,758,2,21,4294967295,25.55,1004.36,45.84,76.13,105.38
78,121,165,759,2,23,4294967295,25.55,1004.36,45.84,76.13,105.38
79,121,165,759,2,21,4294967295,25.55,1004.36,45.83,76.26,105.3
80,121,166,760,2,21,4294967295,25.56,1004.37,45.84,76.13,105.38
81,121,166,760,2,21,4294967295,25.56,1004.36,45.83,76.2,105.38
81,122,167,761,2,21,4294967295,25.56,1004.36,45.84,76.06,105.3
82,122,167,762,2,20,4294967295,25.56,1004.37,45.84,76.06,105.3
83,122,168,762,2,21,4294967295,25.56,1004.37,45.86,76.06,105.3
85,123,168,764,2,21,4294967295,25.56,1004.37,45.87,75.85,105.3
85,123,169,765,2,21,4294967295,25.56,1004.37,45.85,75.85,105.3
88,124,170,765,2,21,4294967295,25.56,1004.37,45.87,75.78,105.3
91,125,172,768,2,21,4294967295,25.56,1004.37,45.87,75.71,105.3
94,127,174,770,2,21,4294967295,25.56,1004.37,45.87,75.85,105.3
97,128,176,771,2,22,4294967295,25.56,1004.37,45.87,75.78,105.3
99,129,177,772,2,21,4294967295,25.56,1004.37,45.87,75.85,105.38
101,130,179,774,2,21,4294967295,25.56,1004.36,45.87,75.85,105.46
101,131,180,774,2,21,4294967295,25.56,1004.35,45.89,75.71,105.46
102,132,181,775,2,21,4294967295,25.57,1004.35,45.87,75.71,105.46
102,132,181,774,2,21,4294967295,25.57,1004.35,45.87,75.71,105.38
103,133,182,775,2,21,4294967295,25.57,1004.36,45.88,75.65,105.38
103,133,182,775,2,21,4294967295,25.57,1004.36,45.87,75.71,105.38
104,133,183,776,2,22,4294967295,25.57,1004.36,45.87,75.58,105.38
104,134,183,776,2,22,4294967295,25.57,1004.36,45.88,75.58,105.38
105,134,183,776,2,22,4294967295,25.57,1004.36,45.87,75.71,105.46
105,135,184,776,2,22,4294967295,25.57,1004.35,45.86,75.85,105.46
106,135,185,777,2,22,4294967295,25.57,1004.35,45.85,75.71,105.46
107,136,185,777,2,22,4294967295,25.57,1004.35,45.86,75.85,105.46
108,136,187,778,2,22,4294967295,25.57,1004.35,45.86,75.65,105.46
110,137,188,779,2,22,4294967295,25.57,1004.35,45.86,75.71,105.46
111,137,189,780,2,22,4294967295,25.57,1004.35,45.88,75.58,105.46
113,138,190,781,3,22,4294967295,25.57,1004.35,45.86,75.65,105.46
114,139,191,781,2,22,4294967295,25.57,1004.35,45.87,75.71,105.46
116,139,193,783,2,22,4294967295,25.57,1004.35,45.86,75.65,105.55
117,140,194,783,3,21,4294967295,25.57,1004.34,45.85,75.85,105.55
117,140,195,783,2,22,4294967295,25.57,1004.34,45.86,75.44,105.55
118,141,196,784,2,22,4294967295,25.57,1004.34,45.86,75.17,105.46
