NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
155,200,311,781,2,26,4294967295,25.56,1004.26,45.53,81.67,106.13
155,200,311,781,2,27,4294967295,25.56,1004.27,45.54,81.99,106.13
153,200,310,781,2,25,4294967295,25.56,1004.27,45.57,81.59,106.13
153,199,309,780,2,25,4294967295,25.56,1004.27,45.61,81.67,106.05
151,199,307,780,2,25,4294967295,25.56,1004.28,45.64,81.83,106.05
150,198,307,780,2,24,4294967295,25.56,1004.28,45.65,81.59,105.97
149,197,305,779,2,26,4294967295,25.56,1004.29,45.7,81.75,105.97
148,197,304,779,2,26,4294967295,25.56,1004.29,45.7,81.99,106.05
147,197,303,779,2,25,4294967295,25.56,1004.28,45.72,82.07,105.97
147,197,303,778,2,25,4294967295,25.56,1004.29,45.74,81.75,106.05
146,196,302,779,2,25,4294967295,25.57,1004.28,45.74,82.07,106.05
145,195,301,779,2,26,4294967295,25.57,1004.28,45.75,81.75,106.05
145,195,300,778,2,26,4294967295,25.57,1004.28,45.76,81.59,106.13
144,195,299,778,2,26,4294967295,25.57,1004.27,45.75,81.91,106.13
144,194,298,778,2,25,4294967295,25.57,1004.27,45.75,81.99,106.13
143,193,297,777,2,25,4294967295,25.57,1004.27,45.75,81.91,106.13
142,193,296,777,2,28,4294967295,25.57,1004.27,45.77,81.91,106.13
141,194,296,777,2,25,4294967295,25.57,1004.27,45.76,81.91,106.13
141,193,295,777,2,25,4294967295,25.57,1004.27,45.77,81.91,106.13
140,193,294,777,2,25,4294967295,25.58,1004.27,45.77,81.83,106.13
140,192,293,777,2,25,4294967295,25.58,1004.27,45.77,81.91,106.22
139,192,293,776,2,26,4294967295,25.58,1004.26,45.77,81.99,106.13
139,191,292,776,2,26,4294967295,25.58,1004.27,45.76,81.91,106.13
138,191,291,776,2,25,4294967295,25.58,1004.27,45.77,82.07,106.22
138,191,291,776,2,26,4294967295,25.58,1004.26,45.74,82.23,106.22
137,190,290,776,2,26,4294967295,25.58,1004.26,45.74,81.99,106.13
136,190,289,776,2,26,4294967295,25.58,1004.27,45.76,82.07,106.13
136,190,289,776,2,26,4294967295,25.59,1004.27,45.74,82.07,106.13
136,189,288,776,2,24,4294967295,25.59,1004.27,45.76,82.15,106.13
136,189,288,777,2,26,4294967295,25.59,1004.27,45.75,81.99,106.05
135,188,287,776,2,26,4294967295,25.59,1004.28,45.74,81.75,106.22
135,189,286,776,2,25,4294967295,25.59,1004.26,45.75,81.91,106.22
135,188,286,776,2,26,4294967295,25.59,1004.26,45.73,82.15,106.22
135,188,285,776,2,25,4294967295,25.59,1004.26,45.74,81.99,106.22
134,188,285,777,2,25,4294967295,25.59,1004.26,45.76,82.07,106.22
134,188,284,776,2,25,4294967295,25.59,1004.26,45.76,81.99,106.13
134,187,284,776,2,25,4294967295,25.6,1004.27,45.74,81.75,106.13
134,187,284,777,2,25,4294967295,25.6,1004.27,45.74,81.91,106.22
133,187,283,777,2,26,4294967295,25.6,1004.26,45.73,82.31,106.22
133,187,282,776,2,25,4294967295,25.6,1004.26,45.71,81.91,106.13
134,187,282,777,2,25,4294967295,25.6,1004.27,45.71,82.23,106.05
133,187,282,776,2,26,4294967295,25.6,1004.28,45.71,82.23,106.05
133,186,282,777,2,27,4294967295,25.61,1004.28,45.71,82.15,106.05
133,186,281,776,2,26,4294967295,25.61,1004.28,45.71,82.07,105.97
133,186,281,777,2,25,4294967295,25.61,1004.29,45.71,82.07,105.97
133,186,281,777,2,25,4294967295,25.61,1004.29,45.72,81.83,105.97
133,186,280,777,2,25,4294967295,25.61,1004.29,45.7,81.99,105.97
133,186,280,777,2,25,4294967295,25.61,1004.29,45.7,81.75,105.97
133,185,280,777,2,25,4294967295,25.61,1004.29,45.69,82.07,105.97
133,185,279,777,2,25,4294967295,25.61,1004.29,45.68,81.83,105.97
133,185,279,777,2,25,4294967295,25.62,1004.29,45.69,82.23,105.97
134,185,279,777,2,25,4294967295,25.62,1004.29,45.67,81.99,106.05
133,185,279,777,2,25,4294967295,25.62,1004.28,45.66,82.07,105.97
134,185,279,777,2,25,4294967295,25.62,1004.29,45.67,81.99,106.05
134,185,278,777,2,25,4294967295,25.62,1004.28,45.66,82.31,105.97
134,185,278,778,2,25,4294967295,25.62,1004.29,45.65,82.07,105.88
134,185,278,777,2,25,4294967295,25.62,1004.3,45.63,82.07,105.88
134,185,278,778,3,25,4294967295,25.62,1004.3,45.63,82.15,105.88
134,184,278,777,2,25,4294967295,25.62,1004.3,45.61,82.23,105.97
134,184,277,777,2,25,4294967295,25.62,1004.29,45.61,82.07,105.88
134,184,278,778,2,25,4294967295,25.63,1004.3,45.61,82.23,105.88
134,184,278,778,2,25,4294967295,25.63,1004.3,45.61,82.31,105.8
134,184,278,778,2,23,4294967295,25.63,1004.31,45.61,82.15,105.88
134,184,278,777,2,25,4294967295,25.63,1004.3,45.61,82.23,105.88
135,183,277,778,2,25,4294967295,25.63,1004.3,45.61,82.07,105.88
135,184,277,779,2,25,4294967295,25.63,1004.3,45.6,82.31,105.88
135,184,277,779,2,25,4294967295,25.63,1004.3,45.58,82.15,105.88
136,183,277,778,2,25,4294967295,25.63,1004.3,45.6,82.15,105.88
136,184,277,778,2,26,4294967295,25.63,1004.3,45.6,82.07,105.88
136,184,277,779,2,26,4294967295,25.63,1004.3,45.61,82.07,105.88
136,183,277,779,2,25,4294967295,25.64,1004.3,45.6,82.07,105.8
136,184,277,780,2,25,4294967295,25.64,1004.31,45.63,82.23,105.8
137,184,277,780,2,25,4294967295,25.64,1004.31,45.62,81.91,105.8
137,184,277,779,2,25,4294967295,25.64,1004.31,45.62,81.75,105.88
137,184,277,780,2,25,4294967295,25.64,1004.3,45.61,81.99,105.88
138,184,277,780,2,25,4294967295,25.64,1004.3,45.62,81.99,105.8
139,184,277,780,2,25,4294967295,25.64,1004.31,45.61,81.99,105.8
139,184,277,780,2,25,4294967295,25.64,1004.31,45.6,81.91,105.88
139,183,277,780,2,25,4294967295,25.64,1004.3,45.61,81.75,105.88
140,183,278,780,2,25,4294967295,25.64,1004.3,45.59,81.91,105.88
140,184,278,780,2,25,4294967295,25.64,1004.3,45.6,81.83,105.8
140,184,278,781,2,25,4294967295,25.64,1004.31,45.59,82.07,105.8
140,184,278,781,2,25,4294967295,25.65,1004.31,45.58,81.83,105.88
140,184,278,780,2,25,4294967295,25.65,1004.3,45.57,81.91,105.88
140,184,278,780,2,25,4294967295,25.65,1004.3,45.59,81.75,105.8
