NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
105,86,212,763,11,42,0,24.91,1021.77,39.85,271.95,-39.58
105,86,212,763,11,41,0,24.91,1021.78,39.85,272.85,-39.49
104,87,211,762,11,41,0,24.91,1021.77,39.87,272.4,-39.49
104,86,211,763,11,40,0,24.91,1021.77,39.87,271.06,-39.49
103,87,210,763,10,42,0,24.9,1021.77,39.87,272.18,-39.41
103,87,210,763,11,41,0,24.9,1021.76,39.87,271.06,-39.41
103,87,209,763,10,40,0,24.9,1021.76,39.87,271.28,-39.49
103,87,209,763,10,40,0,24.9,1021.77,39.87,271.73,-39.49
103,87,209,762,11,40,0,24.9,1021.77,39.87,271.73,-39.49
102,86,208,763,9,40,0,24.9,1021.77,39.87,270.62,-39.49
103,86,207,762,11,40,0,24.9,1021.77,39.87,273.75,-39.49
102,86,207,762,11,40,0,24.9,1021.77,39.87,273.3,-39.49
102,86,207,762,9,40,0,24.9,1021.77,39.85,273.08,-39.58
102,86,206,763,10,40,0,24.9,1021.78,39.83,273.75,-39.58
101,86,206,763,11,40,0,24.9,1021.78,39.85,272.85,-39.58
102,86,205,762,10,38,0,24.89,1021.78,39.84,272.85,-39.58
102,86,205,763,11,40,0,24.89,1021.78,39.84,271.51,-39.49
101,86,205,763,10,39,0,24.89,1021.77,39.85,272.4,-39.49
101,86,203,764,11,38,0,24.89,1021.77,39.85,271.51,-39.49
101,86,203,764,11,39,0,24.89,1021.77,39.83,272.4,-39.58
100,86,204,764,11,40,0,24.89,1021.78,39.86,273.08,-39.49
101,86,203,764,11,40,0,24.89,1021.77,39.85,271.06,-39.49
101,86,203,765,11,39,0,24.89,1021.77,39.85,272.85,-39.58
100,86,202,764,11,40,0,24.88,1021.78,39.85,273.75,-39.58
99,86,202,764,10,40,0,24.88,1021.78,39.86,272.85,-39.58
100,86,201,765,11,38,0,24.88,1021.78,39.85,272.4,-39.58
100,86,202,765,11,40,0,24.88,1021.78,39.85,271.95,-39.58
99,86,201,764,11,40,0,24.88,1021.78,39.87,271.95,-39.49
99,86,201,764,11,40,0,24.88,1021.77,39.86,273.75,-39.49
100,85,201,763,11,40,0,24.88,1021.77,39.88,272.18,-39.49
99,86,200,764,10,40,0,24.88,1021.77,39.89,272.4,-39.49
98,86,200,764,11,40,0,24.87,1021.77,39.88,272.85,-39.49
100,86,200,764,11,40,0,24.87,1021.77,39.9,272.4,-39.41
99,86,200,764,11,39,0,24.87,1021.76,39.89,273.98,-39.41
99,86,200,764,11,39,0,24.87,1021.76,39.9,271.95,-39.49
99,86,199,764,11,40,0,24.87,1021.77,39.92,273.08,-39.49
99,86,199,764,13,39,0,24.87,1021.77,39.92,272.63,-39.49
99,85,199,765,11,40,0,24.87,1021.77,39.91,273.98,-39.49
99,86,199,764,11,39,0,24.87,1021.77,39.92,272.4,-39.49
98,86,198,764,10,40,0,24.87,1021.77,39.93,273.53,-39.41
99,86,198,765,11,40,0,24.87,1021.76,39.93,272.85,-39.49
98,85,198,764,11,40,0,24.87,1021.77,39.93,273.75,-39.58
98,86,198,764,11,40,0,24.87,1021.78,39.95,272.85,-39.49
98,86,198,764,11,40,0,24.86,1021.77,39.96,272.18,-39.49
98,86,198,764,11,40,0,24.86,1021.77,39.96,272.85,-39.49
99,85,197,765,11,40,0,24.86,1021.77,39.97,271.73,-39.49
98,86,198,764,11,40,0,24.86,1021.77,39.97,273.75,-39.41
99,86,197,764,11,40,0,24.86,1021.76,39.98,274.21,-39.49
98,86,198,765,11,40,0,24.86,1021.77,39.98,272.85,-39.49
98,86,198,765,11,40,0,24.86,1021.77,40.0,272.4,-39.49
98,86,197,765,12,40,0,24.86,1021.77,40.01,273.75,-39.58
98,86,197,765,11,40,0,24.86,1021.78,40.01,273.3,-39.49
98,86,197,765,11,40,0,24.86,1021.77,40.01,273.08,-39.49
98,86,197,766,11,40,0,24.85,1021.77,40.03,271.95,-39.58
98,86,197,765,12,40,0,24.85,1021.78,40.04,273.98,-39.49
98,86,196,765,12,40,0,24.85,1021.77,40.04,272.4,-39.49
98,85,197,765,11,40,0,24.85,1021.77,40.05,272.4,-39.49
98,86,196,765,12,40,0,24.85,1021.77,40.05,272.18,-39.58
97,86,196,766,11,39,0,24.85,1021.78,40.05,272.4,-39.58
98,86,197,765,13,40,0,24.85,1021.78,40.05,272.18,-39.49
98,85,196,765,12,40,0,24.85,1021.77,40.06,271.73,-39.49
97,86,196,766,12,40,0,24.85,1021.77,40.05,272.18,-39.49
97,86,196,766,11,41,0,24.85,1021.77,40.05,271.95,-39.49
97,86,196,765,12,40,0,24.84,1021.77,40.07,273.75,-39.49
98,85,196,766,12,40,0,24.84,1021.77,40.06,270.62,-39.49
98,85,196,766,12,40,0,24.84,1021.77,40.08,273.75,-39.49
98,85,196,766,11,38,0,24.84,1021.77,40.08,273.08,-39.49
98,85,195,766,12,40,0,24.84,1021.77,40.07,270.84,-39.49
98,86,196,766,12,40,0,24.84,1021.77,40.09,271.51,-39.41
98,86,196,766,12,40,0,24.84,1021.76,40.09,271.28,-39.49
97,85,196,766,13,41,0,24.84,1021.77,40.08,272.18,-39.41
97,86,196,767,12,40,0,24.83,1021.76,40.09,273.75,-39.49
97,86,195,768,13,37,0,24.77,1021.77,40.19,265.4,-39.49
98,86,196,768,13,40,0,24.76,1021.77,40.26,265.62,-39.58
98,86,196,768,12,40,0,24.76,1021.78,40.3,265.83,-39.58
98,86,196,768,13,39,0,24.77,1021.78,40.29,265.83,-39.58
97,86,196,769,13,38,0,24.77,1021.78,40.28,266.26,-39.49
98,86,196,769,13,40,0,24.78,1021.77,40.28,266.9,-39.41
98,86,196,769,12,39,0,24.79,1021.76,40.27,266.26,-39.41
98,86,196,769,14,39,0,24.79,1021.76,40.25,267.12,-39.49
98,85,195,769,13,40,0,24.79,1021.77,40.25,267.12,-39.49
98,86,196,769,13,41,0,24.8,1021.77,40.23,267.33,-39.58
98,86,196,769,12,39,0,24.8,1021.78,40.24,268.42,-39.58
99,86,196,769,12,39,0,24.8,1021.78,40.22,268.42,-39.49
98,86,196,769,15,39,0,24.8,1021.77,40.21,267.99,-39.49
99,86,196,769,13,40,0,24.8,1021.77,40.21,268.2,-39.49
99,86,196,769,13,40,0,24.8,1021.77,40.2,269.51,-39.49
98,86,197,769,13,40,0,24.81,1021.77,40.18,269.3,-39.49
98,86,197,769,13,40,0,24.81,1021.77,40.18,267.99,-39.49
98,86,196,769,13,40,0,24.8,1021.77,40.17,268.64,-39.58
99,86,197,769,12,39,0,24.81,1021.78,40.17,268.64,-39.66
99,86,197,770,12,38,0,24.81,1021.79,40.16,268.86,-39.58
99,86,197,770,11,38,0,24.81,1021.78,40.14,269.08,-39.49
99,87,197,771,11,39,0,24.81,1021.77,40.14,270.84,-39.49
99,86,197,770,11,39,0,24.81,1021.77,40.14,270.62,-39.66
99,86,197,771,11,38,0,24.81,1021.79,40.13,269.51,-39.58
99,87,198,771,11,40,0,24.81,1021.78,40.12,268.86,-39.66
99,86,198,772,11,38,0,24.81,1021.79,40.12,269.95,-39.58
100,86,198,772,12,41,0,24.82,1021.78,40.12,269.08,-39.58
