NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
375,742,422,354,73.0616,13.0253,0.0056,26.9800,1014.3400,35.0780,44.3100,22.0879
374,742,422,352,73.5330,12.1016,0.0056,27.0400,1014.3600,35.0910,45.8110,21.9221
374,742,422,352,63.2787,11.9886,0.0066,27.0900,1014.3600,35.1190,46.5740,21.9221
373,741,422,351,56.0921,12.2013,0.0069,27.1500,1014.3400,35.1340,47.2560,22.0879
374,741,422,351,48.6150,12.2729,0.0058,27.2000,1014.3400,35.1490,47.6050,22.0879
373,741,420,350,44.6714,12.2729,0.0067,27.2500,1014.3600,35.1430,48.0690,21.9221
373,741,422,350,44.3749,12.2586,0.0074,27.2900,1014.3400,35.1430,48.6270,22.0879
373,741,421,350,42.7762,12.1016,0.0047,27.3300,1014.3400,35.1470,48.6560,22.0879
372,740,420,350,49.7523,12.2729,0.0058,27.3600,1014.3600,35.1520,48.9400,21.9221
372,740,420,349,52.7908,12.2013,0.0075,27.3900,1014.3400,35.1370,49.0830,22.0879
371,739,420,349,61.8564,12.1585,0.0063,27.4100,1014.3600,35.1350,49.1120,21.9221
371,739,420,348,71.0896,12.2586,0.0049,27.4300,1014.4000,35.1140,49.4600,21.5890
371,739,418,348,70.1791,12.1585,0.0070,27.4500,1014.3600,35.1000,49.3150,21.9221
370,739,418,347,73.2969,12.2729,0.0056,27.4600,1014.3600,35.0950,49.5190,21.9221
370,738,419,348,57.2034,12.3017,0.0054,27.4800,1014.3600,35.0860,49.6360,21.9221
369,739,418,346,54.9110,12.2013,0.0069,27.4900,1014.3600,35.0830,49.5770,21.9221
369,738,418,345,44.8950,12.1728,0.0075,27.5000,1014.3400,35.0670,49.9320,22.0879
369,737,417,345,38.8762,12.3594,0.0061,27.5100,1014.3600,35.0510,49.7840,21.9221
369,738,417,345,38.2911,12.3161,0.0087,27.5200,1014.3400,35.0350,49.9020,22.0879
369,737,416,345,35.9077,12.3450,0.0277,27.5300,1014.3600,35.0060,49.8430,21.9221
368,736,416,344,43.7144,12.3883,0.0074,27.5400,1014.3400,34.9850,50.0510,22.0879
365,734,413,342,54.3737,12.1016,0.0093,27.5400,1014.3400,34.9850,50.3830,22.0879
364,734,413,340,52.5312,12.3883,0.0082,27.1400,1014.3200,34.9830,29.8550,22.2541
364,734,412,341,42.5623,12.8297,0.0092,26.9700,1014.3400,35.0180,36.2600,22.0879
363,733,412,339,37.0819,12.2442,0.0093,26.9200,1014.3200,35.0620,40.2270,22.2541
363,733,412,340,35.7861,12.2299,0.0115,26.9400,1014.3200,35.0940,42.5980,22.2541
363,733,412,339,34.5315,12.2156,0.0098,26.9900,1014.3200,35.1410,44.4040,22.2541
363,732,411,338,42.2080,12.2729,0.0098,27.0400,1014.3400,35.1550,46.1640,22.0879
362,732,410,338,48.3744,12.2729,0.0074,27.1000,1014.3400,35.1620,46.8870,22.0879
362,732,410,338,58.6212,12.2729,0.0114,27.1600,1014.3400,35.1940,47.3890,22.0879
362,732,410,337,71.3190,12.2586,0.0054,27.2100,1014.3400,35.1830,47.9320,22.0879
361,731,410,338,71.3190,12.1870,0.0081,27.2500,1014.3800,35.2010,48.1520,21.7553
361,731,410,336,73.6513,12.3883,0.0068,27.2900,1014.3800,35.2060,48.8540,21.7553
361,730,409,336,55.9089,12.3883,0.0082,27.3300,1014.3800,35.1760,49.1120,21.7553
360,731,409,336,50.4964,12.3305,0.0306,27.3600,1014.3600,35.1860,49.3440,21.9221
