NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
109,235,100,100,914.7563,10.7286,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
110,235,101,101,884.1428,10.8440,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
110,235,100,101,811.6200,10.7926,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
110,235,100,101,922.2103,10.9995,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
110,235,101,101,849.1122,10.7159,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
110,235,101,100,840.9266,10.5639,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
111,236,101,101,826.1351,10.7286,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
110,236,101,101,812.9277,10.3394,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
111,236,102,101,853.2365,10.4262,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
113,237,101,101,853.2365,9.8791,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
114,238,102,100,835.5157,10.0466,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
114,237,101,101,826.1351,10.2533,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
114,237,101,101,862.9446,11.0912,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
114,237,101,102,913.2739,10.0346,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
114,237,102,101,916.2419,10.1313,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
114,237,102,101,908.8397,10.0587,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
115,238,102,102,884.1428,10.2043,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
115,238,103,101,952.6813,10.4262,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
115,239,103,102,889.8896,10.2043,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
115,239,102,101,884.1428,10.2901,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
115,239,102,101,857.3827,10.4262,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
116,239,103,101,840.9266,10.2655,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
116,239,102,101,839.5700,10.3765,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
116,239,103,101,843.6456,10.3889,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
116,239,103,101,816.8660,12.3883,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
116,239,103,102,867.1404,10.1921,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
116,239,103,101,860.1585,10.3642,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
117,239,103,101,851.8598,10.3642,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
117,239,103,102,865.7396,10.3271,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
117,239,103,102,854.6168,10.2655,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
118,240,104,102,895.6750,10.2901,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
117,240,104,101,917.7300,10.0346,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
118,239,104,102,869.9501,9.9745,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
118,240,104,102,850.4845,9.8673,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
118,240,104,102,831.4811,9.8673,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
119,241,105,103,803.8164,9.8791,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
120,241,104,102,832.8235,9.8436,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
120,242,105,103,832.8235,9.6791,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
121,241,104,102,847.7419,9.8910,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
121,241,105,103,845.0087,10.0587,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
121,242,104,102,836.8645,9.8554,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
121,242,105,103,900.0406,10.0587,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
121,242,105,102,892.7770,10.0587,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
122,242,105,103,850.4845,10.1556,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
121,242,105,102,879.8595,9.8673,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
122,242,105,103,836.8645,9.1662,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
122,242,105,102,897.1273,9.6325,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
122,242,105,102,881.2848,9.7845,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
122,243,105,103,904.4285,9.6674,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
122,242,105,102,929.7296,9.7258,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
123,243,106,102,940.3660,9.6674,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
123,243,105,102,929.7296,9.8081,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
123,243,105,102,944.9639,9.7258,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
123,244,106,103,935.7920,9.8554,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
123,243,106,103,919.2209,10.1556,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
123,243,106,103,944.9639,10.2778,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
124,243,106,103,884.1428,9.8436,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
123,244,106,103,853.2365,10.0707,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
123,244,106,103,812.9277,9.7258,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
123,243,105,103,814.2383,9.7963,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
125,243,106,103,846.3739,10.1799,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
126,245,107,103,834.1683,9.9387,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
126,246,107,103,846.3739,10.1434,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
126,246,107,103,845.0087,9.9745,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
126,245,107,103,1218.6210,10.4138,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
127,245,107,103,1218.6210,9.8436,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
127,245,107,103,1218.6210,10.5639,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
126,245,106,103,1123.9008,10.8183,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
126,246,107,103,1293.6854,10.8054,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
127,245,106,103,1216.6036,10.2901,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
128,246,107,103,1057.6296,11.0126,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
127,245,107,103,928.2203,10.9345,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
127,246,107,103,937.3139,10.6270,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
127,246,107,103,949.5863,10.6143,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
128,246,107,103,944.9639,11.1967,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
128,246,106,103,992.2861,10.9735,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
128,247,107,103,878.4367,10.6650,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
129,247,108,104,854.6168,10.2655,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
128,246,108,104,960.4651,9.8199,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
128,246,108,104,882.7123,10.5765,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
129,247,107,103,887.0104,10.2778,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
129,247,108,104,872.7693,10.2901,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
129,247,108,104,828.8038,10.0949,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
128,247,108,104,831.4811,9.9745,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
130,247,108,104,892.7770,11.2365,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
130,247,108,104,850.4845,10.3518,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
129,246,108,104,864.3402,10.2165,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
131,249,109,104,785.9151,11.0126,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
131,248,108,104,732.3481,9.6791,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
132,248,108,104,747.7615,9.6441,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
132,249,109,104,802.5229,9.8436,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
131,249,109,104,871.3580,9.9626,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
131,249,109,104,797.3742,9.8081,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
132,248,109,104,840.9266,9.7728,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
132,249,109,103,843.6456,9.7845,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
133,249,109,104,826.1351,9.7493,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
133,249,109,104,832.8235,9.7258,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
133,249,109,104,901.5009,9.7024,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
133,250,110,104,742.9823,9.7493,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
133,250,109,104,747.7615,9.7375,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
133,249,109,104,758.6326,9.5515,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
133,250,109,104,810.3136,9.1329,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
134,249,110,104,822.1495,9.7375,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
133,250,109,104,834.1683,9.5977,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
133,250,110,104,819.5036,9.5284,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
134,250,110,104,811.6200,9.7141,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
134,251,110,104,815.5515,9.6441,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
134,249,109,104,857.3827,9.7375,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
134,250,110,104,894.2241,9.6441,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
134,251,110,104,904.4285,9.5054,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
134,251,110,105,892.7770,9.5746,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
134,251,110,104,957.3433,9.5746,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
135,250,111,104,1087.5417,9.5399,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
135,251,111,104,922.2103,9.7728,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
136,251,111,104,987.4431,9.5861,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
136,252,111,104,1005.3300,10.2655,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
136,251,111,104,1006.9726,9.4482,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
137,252,111,105,1075.1163,9.4940,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
137,252,112,104,1118.3641,9.4825,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
137,252,111,104,1155.8328,9.4139,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
137,252,111,105,1071.5950,9.5284,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
137,252,112,104,1101.9310,9.0335,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
138,252,111,104,1062.8442,10.2655,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
137,252,111,104,962.0302,9.5861,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
138,253,111,105,922.2103,9.5746,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
138,252,111,104,877.0157,9.5746,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
137,252,112,105,974.6480,9.3912,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
137,253,112,104,982.6236,9.5399,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
138,253,111,105,1033.6586,9.7845,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
138,253,111,104,1105.5604,9.5054,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
138,253,112,104,1330.8577,9.4482,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
137,253,113,105,1190.7102,9.5861,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
139,253,111,105,1098.3153,9.5861,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
138,253,112,105,1125.7529,9.5399,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
139,253,113,105,1112.8578,9.5515,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
139,253,113,105,1150.1273,9.6325,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
139,253,112,104,1059.3643,9.1107,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
139,253,113,105,1138.8079,9.5515,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
140,253,113,105,1194.6545,9.5284,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
140,254,113,105,989.0541,10.9215,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
140,255,113,105,977.8294,9.4825,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
140,255,113,105,955.7866,9.7610,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
141,255,113,105,900.0406,9.8199,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
141,255,113,105,940.3660,9.5399,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
141,255,113,105,962.0302,9.7728,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
140,255,113,105,995.5305,9.7610,0.0002,34.0300,689.8300,100.0000,808.3700,3156.5579
141,255,114,105,969.8957,9.7728,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
141,255,114,105,931.2412,9.6558,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
142,256,114,105,845.0087,9.9029,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
142,256,114,105,793.5349,9.7258,0.0001,34.0300,689.8300,100.0000,808.3700,3156.5579
