NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
267,368,180,104,483.4186,4.5613,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
267,368,180,105,484.1790,4.7193,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
266,368,180,105,483.4186,4.5240,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
267,368,180,103,475.8809,4.3955,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
266,368,180,104,484.1790,4.3413,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
267,368,181,105,481.1443,4.5178,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
267,368,180,104,489.5375,4.5863,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
267,368,180,104,492.6268,4.3114,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
267,367,181,104,490.3081,4.6746,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
268,367,181,105,486.4682,4.6366,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
268,368,181,105,476.6290,4.2640,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
268,368,181,105,478.8811,4.5613,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
268,367,181,104,477.3784,4.5551,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
268,368,181,105,475.1339,4.5426,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
269,368,181,104,483.4186,4.5426,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
268,368,181,104,464.0726,4.2699,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
269,368,181,105,477.3784,4.5551,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
269,368,182,104,482.6593,4.5302,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
270,367,182,105,481.1443,4.4932,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
271,368,182,104,481.1443,5.1233,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
271,368,183,105,485.7036,4.5551,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
271,368,183,105,491.8526,4.5302,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
271,367,183,105,491.0795,4.5613,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
273,367,183,105,491.8526,4.4993,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
273,368,182,105,494.9570,4.3593,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
272,368,183,104,496.5173,4.5364,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
276,368,185,105,491.8526,4.3293,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
277,367,185,105,499.6520,4.1703,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
278,367,185,105,499.6520,4.4137,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
278,367,186,104,497.2989,4.4932,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
278,367,186,104,481.9011,4.4076,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
279,367,185,105,484.9407,4.4137,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
280,368,186,106,486.4682,4.1241,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
280,367,187,106,490.3081,4.3593,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
280,368,187,105,482.6593,4.3234,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
281,367,187,105,475.8809,4.3774,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
282,367,187,105,483.4186,4.4319,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
282,367,187,106,473.6435,4.2581,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
283,368,188,106,473.6435,4.4015,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
283,367,187,105,470.6768,4.3593,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
285,368,188,106,501.2272,4.7129,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
285,368,189,106,461.8924,4.3955,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
286,368,189,106,478.1294,4.3413,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
287,367,189,106,489.5375,4.4625,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
287,368,189,106,479.6344,4.4563,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
287,368,190,107,466.2633,4.4686,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
288,368,190,107,527.1432,4.8816,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
289,368,190,106,513.2069,4.5988,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
290,368,189,107,503.5999,4.5988,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
291,368,189,107,524.6560,4.7129,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
291,368,190,107,503.5999,4.6303,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
293,369,191,107,497.2989,4.5863,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
300,370,193,109,444.8269,4.0726,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
301,370,194,109,469.9384,4.3894,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
302,370,194,109,475.8809,4.3955,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
303,371,195,108,473.6435,4.2581,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
304,371,195,109,469.9384,4.2817,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
304,371,195,109,459.0019,4.2640,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
305,371,195,110,478.8811,4.2699,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
306,371,195,110,497.2989,4.0442,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
307,371,196,110,473.6435,4.2463,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
307,371,196,109,471.4168,4.2876,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
308,371,197,109,453.9882,4.0840,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
309,372,197,110,467.7297,4.3293,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
309,372,197,109,464.8015,4.3713,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
310,372,198,109,474.3882,4.2936,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
311,372,197,110,469.9384,4.2876,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
312,372,198,110,457.5636,4.3114,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
