NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
246,509,268,113,40.2735,12.2156,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
247,510,268,113,39.8697,12.3883,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
248,510,268,114,41.5772,13.0102,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
248,509,268,114,42.2787,12.1016,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
250,510,268,113,38.9418,12.8596,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
263,510,269,114,32.9207,11.2498,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
265,511,270,116,32.6962,11.1306,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
266,511,270,115,31.9762,11.1570,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
267,511,271,116,33.6025,10.7542,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
268,511,271,116,30.0565,11.1835,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
269,512,272,116,30.7903,10.9735,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
269,512,272,116,32.8083,11.0912,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
270,512,272,115,32.9770,10.8569,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
271,512,272,116,30.1603,10.9995,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
272,512,273,115,33.9482,10.6904,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
274,512,273,115,32.8644,10.7286,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
274,512,273,116,35.3033,11.1967,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
275,512,273,116,36.1520,11.2232,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
276,511,273,116,35.9686,11.1835,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
277,512,274,116,36.2134,11.2764,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
277,512,273,116,36.2748,11.5322,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
278,513,274,117,36.5833,11.0912,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
278,512,274,116,36.4596,11.1967,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
278,512,274,117,36.2748,10.7798,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
279,512,274,116,35.6043,10.8311,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
279,512,275,117,35.9686,10.8956,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
280,512,274,116,33.8326,10.8956,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
280,512,274,117,35.8468,10.8956,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
280,513,275,117,36.3363,10.8440,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
280,512,275,116,36.8319,10.8054,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
281,513,275,116,36.7696,11.6277,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
282,513,275,118,38.5501,10.8827,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
283,514,276,117,37.5233,10.8440,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
284,514,276,118,37.9694,11.1043,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
283,513,276,118,37.7139,10.6777,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
285,514,276,118,37.5867,10.6904,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
286,513,277,118,36.3363,10.7159,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
287,514,276,118,38.4204,10.8311,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
287,514,277,118,38.2911,11.8765,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
289,514,277,119,37.6503,10.3765,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
291,514,277,119,34.7082,9.8791,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
292,515,278,118,37.0193,10.2655,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
294,514,278,118,36.9567,10.3518,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
294,514,278,118,36.9567,10.3147,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
296,514,278,119,37.5233,10.3518,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
297,515,279,119,40.2735,10.4511,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
298,515,279,119,38.2911,10.3394,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
299,515,278,119,38.4204,10.3394,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
299,515,279,120,37.1447,10.1556,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
301,515,279,119,37.4600,10.2043,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
303,515,279,120,37.2705,10.2410,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
303,516,280,120,37.2705,10.2533,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
305,516,280,120,37.3336,10.2288,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
306,516,280,120,38.0978,10.1191,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
307,516,280,120,36.2748,10.0105,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
308,516,280,121,37.8415,10.2410,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
309,517,282,120,38.0978,10.2778,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
316,518,283,123,38.5501,10.4138,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
316,519,283,122,38.8762,10.0949,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
317,518,283,122,38.1621,9.9985,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
317,519,283,122,38.6803,10.2165,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
318,519,284,123,38.6152,10.2043,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
319,518,283,122,39.8697,10.1677,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
320,519,285,123,38.6152,10.1677,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
320,519,285,123,39.8028,10.1556,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
320,519,285,123,38.9418,10.2288,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
321,520,285,124,40.0712,10.2778,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
322,520,284,124,40.4090,9.5630,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
322,520,285,123,40.2735,10.2901,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
