NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
227,461,545,839,4,26,4294967295,25.72,1020.7,37.49,73.85,-30.65
225,460,543,839,3,24,4294967295,25.71,1020.7,37.51,74.57,-30.65
223,458,541,839,3,25,4294967295,25.71,1020.7,37.53,74.84,-30.73
222,456,538,838,4,28,4294967295,25.7,1020.71,37.55,74.9,-30.65
220,455,536,838,4,24,4294967295,25.69,1020.7,37.56,75.38,-30.65
219,453,534,838,4,24,4294967295,25.69,1020.7,37.59,75.99,-30.65
217,452,532,837,4,23,4294967295,25.68,1020.7,37.62,76.4,-30.73
216,451,530,836,4,24,4294967295,25.68,1020.71,37.62,76.54,-30.65
215,448,529,836,3,23,4294967295,25.68,1020.7,37.63,76.89,-30.65
213,447,527,835,4,25,4294967295,25.68,1020.7,37.63,77.53,-30.65
212,446,525,836,3,24,4294967295,25.67,1020.7,37.65,77.82,-30.65
210,445,523,835,4,25,4294967295,25.67,1020.7,37.65,78.18,-30.65
209,443,521,835,3,29,4294967295,25.67,1020.7,37.67,78.32,-30.65
208,442,520,835,4,24,4294967295,25.67,1020.7,37.67,78.69,-30.73
207,440,518,835,4,24,4294967295,25.67,1020.71,37.67,79.36,-30.65
206,439,517,835,4,24,4294967295,25.67,1020.7,37.68,79.51,-30.56
206,437,515,834,4,24,4294967295,25.67,1020.69,37.68,79.74,-30.65
205,437,514,833,3,24,4294967295,25.67,1020.7,37.68,79.89,-30.65
204,435,513,834,4,23,4294967295,25.67,1020.7,37.7,80.42,-30.65
205,434,511,832,4,25,4294967295,25.66,1020.7,37.7,80.19,-30.56
204,433,510,832,4,25,4294967295,25.66,1020.69,37.69,80.81,-30.56
205,433,509,832,4,25,4294967295,25.66,1020.69,37.71,81.28,-30.56
206,431,509,831,4,25,4294967295,25.66,1020.69,37.71,81.44,-30.56
207,430,509,832,4,26,4294967295,25.66,1020.69,37.7,81.28,-30.56
207,429,509,831,4,26,4294967295,25.66,1020.69,37.71,81.51,-30.56
206,429,508,831,4,26,4294967295,25.66,1020.69,37.72,81.67,-30.56
