NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
199,424,505,827,5,31,4294967295,25.7,1020.73,37.61,79.81,-30.81
198,422,503,827,4,32,4294967295,25.7,1020.72,37.63,80.04,-30.89
197,421,501,827,4,32,4294967295,25.7,1020.73,37.63,80.42,-30.89
196,420,500,827,4,31,4294967295,25.7,1020.73,37.64,80.97,-30.89
195,419,498,826,4,33,4294967295,25.7,1020.73,37.64,80.89,-30.89
195,417,496,826,4,30,4294967295,25.7,1020.73,37.65,81.28,-30.89
194,416,494,826,4,30,4294967295,25.7,1020.73,37.66,81.91,-30.81
192,415,494,826,4,31,4294967295,25.7,1020.72,37.65,82.07,-30.81
192,413,491,826,4,31,4294967295,25.69,1020.72,37.65,82.47,-30.81
190,412,490,825,4,31,4294967295,25.69,1020.72,37.67,82.96,-30.81
189,411,489,825,4,32,4294967295,25.69,1020.72,37.67,83.21,-30.81
188,410,487,824,4,32,4294967295,25.69,1020.72,37.66,83.54,-30.81
188,408,486,825,4,31,4294967295,25.69,1020.72,37.66,83.87,-30.89
187,407,484,825,4,32,4294967295,25.69,1020.73,37.66,84.38,-30.89
186,406,483,824,4,32,4294967295,25.69,1020.73,37.66,84.46,-30.89
185,405,481,825,4,33,4294967295,25.69,1020.73,37.68,85.06,-30.89
185,404,480,824,4,32,4294967295,25.69,1020.73,37.67,84.89,-30.81
183,403,479,824,5,31,4294967295,25.69,1020.72,37.68,85.67,-30.81
183,402,478,823,4,31,4294967295,25.69,1020.72,37.67,85.5,-30.81
183,401,477,823,4,33,4294967295,25.69,1020.72,37.67,85.93,-30.81
181,400,476,823,5,33,4294967295,25.69,1020.72,37.67,86.2,-30.81
181,398,474,823,4,31,4294967295,25.69,1020.72,37.67,86.55,-30.89
181,398,473,823,4,32,4294967295,25.69,1020.73,37.67,86.82,-30.89
181,397,472,823,4,32,4294967295,25.69,1020.73,37.67,87.0,-30.98
