NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
152,242,338,791,7,57,4294967295,25.53,1004.58,45.81,25.19,103.45
151,241,337,790,7,51,4294967295,25.54,1004.59,45.87,25.0,103.45
151,241,336,791,7,52,4294967295,25.54,1004.59,45.92,25.04,103.37
149,241,336,791,7,51,4294967295,25.54,1004.6,45.98,24.91,103.37
149,241,335,791,7,51,4294967295,25.54,1004.6,46.01,24.88,103.29
148,240,333,790,6,49,4294967295,25.54,1004.61,46.05,24.98,103.29
148,240,333,790,8,50,4294967295,25.54,1004.61,46.09,24.88,103.29
148,239,333,791,7,50,4294967295,25.54,1004.61,46.11,24.91,103.29
147,239,332,791,7,50,4294967295,25.54,1004.61,46.1,24.95,103.2
146,239,332,791,7,50,4294967295,25.54,1004.62,46.12,24.88,103.2
146,238,331,790,7,50,4294967295,25.54,1004.62,46.13,24.94,103.12
146,238,330,791,7,50,4294967295,25.54,1004.63,46.15,24.88,103.12
145,237,329,791,7,49,4294967295,25.54,1004.63,46.18,24.95,103.2
145,237,328,790,7,50,4294967295,25.54,1004.62,46.2,24.82,103.12
144,236,328,790,8,52,4294967295,25.54,1004.63,46.21,24.76,103.03
143,237,328,790,8,50,4294967295,25.54,1004.64,46.21,24.82,103.03
143,236,327,790,7,50,4294967295,25.55,1004.64,46.2,24.97,103.03
143,236,327,791,7,49,4294967295,25.55,1004.64,46.2,24.89,103.12
142,235,325,790,8,47,4294967295,25.55,1004.63,46.2,24.81,103.12
142,235,325,790,8,51,4294967295,25.55,1004.63,46.19,24.97,103.2
141,235,325,790,8,51,4294967295,25.55,1004.62,46.17,24.85,103.2
141,235,324,790,8,51,4294967295,25.55,1004.62,46.17,24.91,103.12
141,234,323,790,8,50,4294967295,25.55,1004.63,46.17,24.79,103.2
140,234,323,790,7,50,4294967295,25.55,1004.62,46.17,24.91,103.2
140,234,323,790,7,50,4294967295,25.55,1004.62,46.16,24.88,103.2
140,234,322,790,8,50,4294967295,25.55,1004.62,46.16,24.88,103.29
139,234,322,790,8,50,4294967295,25.55,1004.61,46.15,24.69,103.29
139,233,321,790,8,50,4294967295,25.55,1004.61,46.17,24.81,103.37
139,233,321,790,8,49,4294967295,25.55,1004.6,46.18,24.81,103.37
139,233,320,790,7,48,4294967295,25.55,1004.6,46.19,24.89,103.37
138,233,320,790,7,50,4294967295,25.55,1004.6,46.17,24.98,103.45
138,232,319,790,8,50,4294967295,25.56,1004.59,46.17,24.98,103.45
138,232,319,790,8,50,4294967295,25.56,1004.59,46.18,24.82,103.45
138,232,318,789,8,50,4294967295,25.56,1004.59,46.18,24.91,103.54
138,232,318,789,8,50,4294967295,25.56,1004.58,46.18,24.92,103.62
138,232,318,789,7,50,4294967295,25.56,1004.57,46.2,24.94,103.62
