NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
214,383,452,830,9,51,4294967295,25.36,1004.51,46.02,19.03,104.12
212,381,451,830,9,51,4294967295,25.36,1004.51,46.03,19.05,104.12
211,381,449,830,8,53,4294967295,25.36,1004.51,46.07,19.05,104.12
210,380,448,829,9,58,4294967295,25.36,1004.51,46.08,19.02,104.12
208,379,447,829,9,51,4294967295,25.36,1004.51,46.09,19.1,104.12
207,378,446,829,8,51,4294967295,25.36,1004.51,46.12,19.05,104.12
206,377,445,829,9,50,4294967295,25.36,1004.51,46.14,18.98,104.12
204,377,443,828,10,52,4294967295,25.36,1004.51,46.16,19.07,104.21
203,377,441,828,8,51,4294967295,25.36,1004.5,46.17,19.12,104.12
201,375,441,828,9,51,4294967295,25.36,1004.51,46.16,19.05,104.12
201,375,440,828,9,51,4294967295,25.36,1004.51,46.17,18.95,104.12
200,374,439,827,9,51,4294967295,25.36,1004.51,46.19,19.03,104.04
199,374,438,827,9,51,4294967295,25.36,1004.52,46.19,19.05,104.04
198,373,437,828,9,48,4294967295,25.36,1004.52,46.19,18.95,103.96
197,373,436,828,9,52,4294967295,25.36,1004.53,46.19,19.02,103.87
197,372,436,827,9,52,4294967295,25.36,1004.54,46.19,19.02,103.87
195,371,434,827,10,51,4294967295,25.36,1004.54,46.2,18.95,103.87
195,370,434,827,9,52,4294967295,25.36,1004.54,46.19,19.02,103.87
194,370,433,827,9,51,4294967295,25.36,1004.54,46.19,18.97,103.87
194,369,432,827,9,51,4294967295,25.36,1004.54,46.19,19.0,103.87
193,369,431,826,9,51,4294967295,25.37,1004.54,46.22,19.07,103.87
192,368,430,826,9,51,4294967295,25.37,1004.54,46.21,19.0,103.87
192,367,429,826,9,52,4294967295,25.37,1004.54,46.21,18.91,103.87
191,367,428,826,9,50,4294967295,25.37,1004.54,46.21,19.02,103.87
190,366,428,826,10,51,4294967295,25.37,1004.54,46.21,19.02,103.96
190,366,427,825,9,51,4294967295,25.37,1004.53,46.2,18.98,103.87
190,366,427,825,8,52,4294967295,25.37,1004.54,46.19,19.05,103.96
189,365,426,825,8,53,4294967295,25.37,1004.53,46.19,18.98,103.96
189,364,426,826,9,52,4294967295,25.37,1004.53,46.21,19.03,103.96
189,364,424,826,9,55,4294967295,25.37,1004.53,46.19,18.95,104.04
188,363,424,825,9,51,4294967295,25.37,1004.52,46.2,19.05,104.04
188,364,424,825,10,52,4294967295,25.37,1004.52,46.19,19.05,104.04
188,363,422,825,9,56,4294967295,25.37,1004.52,46.19,19.0,104.21
187,362,422,825,9,52,4294967295,25.37,1004.5,46.19,18.98,104.21
187,362,422,825,9,51,4294967295,25.37,1004.5,46.21,19.19,104.21
187,362,422,824,10,52,4294967295,25.38,1004.5,46.2,19.09,104.21
187,361,421,824,9,52,4294967295,25.38,1004.5,46.21,18.98,104.21
186,361,420,824,10,53,4294967295,25.38,1004.5,46.21,19.07,104.37
186,360,420,825,9,52,4294967295,25.38,1004.48,46.21,19.09,104.46
186,360,419,824,10,53,4294967295,25.38,1004.47,46.21,19.02,104.46
186,360,419,824,9,52,4294967295,25.38,1004.47,46.19,19.09,104.46
186,359,418,825,9,52,4294967295,25.38,1004.47,46.21,19.02,104.46
