NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
137,217,309,783,10,48,4294967295,25.54,1004.47,45.89,29.38,104.54
136,217,308,783,10,53,4294967295,25.54,1004.46,45.92,29.32,104.54
135,217,307,783,10,51,4294967295,25.54,1004.46,45.96,29.38,104.54
135,217,307,782,11,51,4294967295,25.54,1004.46,46.01,29.3,104.63
135,217,307,782,7,45,4294967295,25.53,1004.45,46.08,29.38,104.63
135,216,306,783,6,45,4294967295,25.53,1004.45,46.1,29.36,104.63
135,216,306,782,7,43,4294967295,25.54,1004.45,46.13,29.22,104.63
134,216,305,783,6,44,4294967295,25.54,1004.45,46.18,29.1,104.54
134,215,305,783,6,45,4294967295,25.54,1004.46,46.2,29.12,104.54
134,215,304,783,6,43,4294967295,25.54,1004.46,46.2,28.98,104.63
134,215,304,782,6,44,4294967295,25.54,1004.45,46.21,28.98,104.63
133,215,304,782,7,45,4294967295,25.55,1004.45,46.21,28.92,104.63
133,214,303,782,6,44,4294967295,25.55,1004.45,46.19,28.86,104.63
133,214,302,782,6,44,4294967295,25.55,1004.45,46.21,28.98,104.63
132,214,302,782,6,44,4294967295,25.55,1004.45,46.22,29.0,104.54
133,214,301,783,6,44,4294967295,25.55,1004.46,46.23,28.88,104.63
132,213,301,782,6,45,4294967295,25.55,1004.45,46.23,28.98,104.71
132,213,300,782,6,44,4294967295,25.55,1004.44,46.22,28.8,104.79
132,213,300,783,6,43,4294967295,25.55,1004.43,46.21,28.78,104.71
131,213,299,782,5,45,4294967295,25.55,1004.44,46.19,28.86,104.71
131,212,298,782,6,44,4294967295,25.56,1004.44,46.17,28.84,104.71
131,211,298,782,5,46,4294967295,25.56,1004.44,46.17,28.88,104.63
131,212,298,782,6,45,4294967295,25.56,1004.45,46.18,28.78,104.54
130,211,298,782,6,45,4294967295,25.56,1004.46,46.17,28.8,104.63
130,211,297,782,5,46,4294967295,25.56,1004.45,46.16,28.8,104.63
130,211,296,782,6,46,4294967295,25.56,1004.45,46.17,28.7,104.54
130,211,297,781,6,47,4294967295,25.56,1004.46,46.15,28.74,104.54
129,211,296,782,6,45,4294967295,25.56,1004.46,46.16,28.78,104.54
130,211,295,782,6,46,4294967295,25.56,1004.46,46.14,28.68,104.54
129,210,296,782,7,46,4294967295,25.57,1004.46,46.15,28.8,104.54
129,210,295,782,6,46,4294967295,25.57,1004.46,46.14,28.6,104.54
129,210,295,782,6,45,4294967295,25.57,1004.46,46.14,28.74,104.54
129,210,294,782,6,45,4294967295,25.57,1004.46,46.14,28.86,104.46
129,210,294,782,6,46,4294967295,25.57,1004.47,46.14,28.68,104.54
