NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
83,125,54,79,105.0566,5.9692,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
83,125,55,79,104.2300,6.4085,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
83,126,54,79,104.7251,5.8997,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
83,126,54,78,104.0654,5.9228,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
83,125,54,79,101.6266,5.9151,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
83,125,54,78,103.7370,5.9847,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
84,126,54,79,103.7370,5.8844,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
83,125,54,79,104.3947,5.9228,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
82,126,54,79,107.0661,5.9614,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
83,125,54,79,103.9010,5.8844,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
82,126,54,79,105.7223,5.8920,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
82,125,54,79,105.7223,5.8767,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
82,126,54,79,107.0661,5.8920,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
82,125,54,79,102.9204,5.5112,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
82,125,54,79,108.0846,5.9228,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
81,126,53,79,105.7223,5.8767,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
82,126,54,79,99.5573,5.9228,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
82,126,54,79,106.3922,5.9074,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
81,125,54,79,108.2554,5.9151,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
82,126,54,79,107.7441,5.8844,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
81,126,53,79,133.0075,5.8461,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
81,125,54,78,107.4046,5.8233,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
81,126,54,79,107.5742,5.9305,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
81,126,53,79,108.0846,5.7628,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
81,126,54,79,108.0846,6.6000,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
81,126,54,79,107.9142,5.9228,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
81,126,54,79,106.7286,5.8691,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
81,125,53,79,107.5742,5.9769,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
81,125,54,79,108.7688,5.8538,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
81,126,54,79,105.7223,5.8691,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
81,126,54,79,108.9405,5.8844,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
80,126,53,79,106.8973,5.8844,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
80,126,54,79,107.4046,5.5112,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
81,125,54,79,104.5598,6.1101,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
80,125,54,79,106.5603,5.8461,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
80,125,54,80,106.3922,5.8997,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
79,126,54,79,105.5555,5.9228,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
80,126,54,79,106.2243,6.0159,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
80,126,53,79,116.3922,5.9382,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
80,125,54,80,98.7722,5.8997,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
80,126,54,79,117.3113,5.9074,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
80,126,54,79,105.2226,5.9151,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
79,125,54,79,105.7223,5.9151,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
79,126,54,80,106.3922,5.8844,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
80,126,54,79,105.3889,5.9382,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
78,125,54,79,105.7223,5.7552,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
79,126,54,79,105.5555,5.6507,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
79,126,54,79,104.7251,5.8233,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
78,125,53,80,104.8907,5.8920,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
79,126,54,80,106.3922,5.9305,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
79,126,54,80,106.8973,5.6581,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
78,126,54,79,106.8973,5.8157,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
78,126,54,80,107.2352,5.8920,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
79,126,54,79,107.7441,5.8767,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
79,126,53,80,106.2243,5.8844,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
79,126,54,79,108.4262,5.9074,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
78,125,54,79,107.4046,5.8767,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
79,126,54,79,108.2554,5.8767,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
78,126,54,79,106.3922,5.8844,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
78,126,53,79,107.7441,5.8997,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
78,126,54,79,109.1125,5.8997,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
78,126,54,79,108.4262,5.9460,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
78,126,53,79,105.5555,5.9228,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
