NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
74,124,53,77,61.5556,8.6346,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
75,124,52,78,60.9579,8.2103,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
75,124,52,77,58.2399,8.6241,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
75,124,52,77,61.6557,8.5924,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
75,124,53,78,61.5556,8.5609,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
75,124,52,78,61.5556,9.3798,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
75,124,52,78,62.0578,8.6241,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
75,124,53,79,61.7560,8.5609,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
75,124,53,78,61.8564,8.5504,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
75,124,52,78,61.6557,8.6983,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
75,124,53,77,61.5556,8.6135,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
75,124,52,78,61.5556,8.1095,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
75,124,52,78,61.2561,8.5819,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
75,125,52,78,61.4556,8.6241,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
75,123,53,77,61.5556,8.7089,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
75,123,53,78,62.4622,8.6664,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
75,124,52,78,63.2787,10.6143,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
76,124,53,78,61.3557,8.6241,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
76,124,52,78,61.1565,8.5399,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
76,124,53,78,59.1974,8.6135,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
75,125,53,78,61.2561,8.5924,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
76,124,52,78,61.6557,8.4047,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
75,123,53,78,61.3557,8.5924,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
76,125,53,79,61.5556,8.5294,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
76,124,52,79,61.1565,8.6135,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
76,124,52,79,62.0578,8.5504,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
76,125,52,78,60.7599,8.4877,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
76,125,53,79,61.5556,8.5924,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
77,125,53,79,60.6612,9.3232,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
76,124,53,79,61.6557,8.5085,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
76,124,52,78,60.9579,8.6241,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
76,124,52,78,61.3557,8.5294,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
76,124,52,78,61.3557,8.5294,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
76,125,53,78,69.9531,8.2407,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
76,125,53,78,61.6557,8.4981,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
76,124,52,79,66.5375,8.5819,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
76,125,52,78,60.7599,8.5294,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
75,124,53,79,61.1565,8.4877,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
76,124,53,79,61.9570,8.4047,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
76,125,53,79,60.9579,8.6241,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
76,124,52,78,61.1565,8.4773,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
76,125,53,79,61.2561,8.4565,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
76,125,52,79,59.4875,8.3634,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
76,125,53,78,61.4556,9.3458,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
76,125,53,78,62.7672,8.6770,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
76,125,53,79,60.8589,8.4981,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
75,124,53,79,61.8564,8.6346,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
76,125,52,79,60.9579,8.4877,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
76,125,53,79,66.3226,8.6664,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
76,125,53,79,60.9579,8.6876,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
75,125,52,79,60.0717,8.4461,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
75,125,53,78,60.5626,8.5294,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
75,125,53,78,59.0048,8.6770,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
75,125,53,79,59.0048,8.5190,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
76,125,53,79,59.6816,8.5609,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
75,125,53,79,59.6816,8.6452,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
75,125,52,79,60.8589,8.6029,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
76,125,52,79,59.5845,8.4357,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
75,125,53,79,59.5845,8.4877,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
76,124,53,79,56.2760,8.5190,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
76,125,52,79,61.0571,8.5504,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
76,125,53,78,61.7560,8.6029,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
76,125,53,79,60.1696,8.5924,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
75,125,53,79,56.5527,8.5190,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
76,124,52,79,61.0571,8.7945,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
75,125,53,80,58.8127,8.4981,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
75,125,53,79,57.0167,8.5190,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
76,126,52,79,59.3907,8.6135,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
75,126,53,79,60.0717,9.3119,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
75,125,53,79,59.6816,8.5504,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
75,124,53,80,60.4641,8.5294,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
76,125,53,79,60.2676,8.4357,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
75,124,53,79,59.6816,8.5504,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
75,125,52,79,60.2676,8.5399,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
75,125,53,79,60.1696,8.5399,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
76,125,53,79,59.2940,8.5714,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
75,125,53,79,59.8764,9.7141,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
75,125,52,80,59.4875,8.4669,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
75,125,53,78,60.8589,8.5190,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
76,126,53,79,60.8589,8.4357,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
75,125,53,80,60.5626,8.5819,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
75,125,53,80,59.4875,8.5294,0.0000,34.0300,689.8300,100.0000,808.3700,3156.5579
