NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
233,367,166,114,209.6829,2.4495,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
234,367,165,114,211.9760,2.4572,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
234,367,165,114,213.2976,2.4457,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
233,367,166,114,212.6358,2.4843,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
233,368,165,114,212.6358,2.4882,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
233,367,166,114,209.6829,2.5788,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
234,368,165,115,211.9760,2.5352,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
234,368,166,115,213.6291,2.5194,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
234,368,165,115,213.6291,2.5352,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
235,368,166,116,212.6358,2.4804,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
234,368,167,114,212.3056,2.5155,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
234,368,166,115,216.9741,2.5233,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
235,368,167,115,216.9741,2.4998,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
235,368,166,116,217.6491,2.4882,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
236,368,166,116,216.9741,2.4495,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
237,370,167,116,221.4002,2.4649,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
237,369,167,116,223.4735,2.4804,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
237,369,167,116,221.4002,2.4921,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
237,370,167,116,221.7443,2.4998,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
237,369,167,116,219.6873,2.5155,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
237,370,167,116,221.0565,2.4921,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
237,370,166,116,224.5170,2.3141,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
238,370,167,116,217.3112,2.3178,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
237,371,168,116,216.9741,2.4959,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
237,370,168,117,217.9875,2.4921,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
238,370,168,116,220.0289,2.4921,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
238,371,167,116,213.9613,2.4765,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
238,371,167,116,219.3462,2.4765,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
239,371,166,116,217.6491,2.4418,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
239,370,168,116,217.6491,2.5077,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
238,371,168,116,223.8207,2.4921,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
239,371,168,117,221.0565,2.4959,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
239,371,168,117,220.0289,2.4843,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
239,370,168,117,221.4002,2.4921,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
239,371,167,117,222.0891,2.4649,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
239,371,168,117,219.0057,2.4534,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
239,372,168,117,214.2941,2.4921,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
239,371,168,118,217.9875,2.4765,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
239,372,168,117,217.3112,2.5077,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
240,371,168,117,224.1687,2.3511,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
240,373,168,118,221.0565,2.5194,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
241,373,168,116,220.7136,2.4959,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
241,373,168,118,218.6659,2.6761,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
241,373,169,118,217.9875,2.4882,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
241,373,169,117,211.9760,2.5273,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
241,373,168,117,217.3112,2.4998,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
242,373,169,117,219.6873,2.4649,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
241,373,168,118,218.6659,2.5788,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
241,374,169,117,217.3112,2.4843,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
242,373,168,117,217.3112,2.4688,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
242,374,169,118,215.6299,2.4688,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
242,373,168,118,218.3264,2.4882,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
243,373,168,118,217.9875,2.5116,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
