NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
165,298,126,92,923.7092,4.1703,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
166,299,126,92,1184.8191,4.3653,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
166,298,126,92,1496.5813,4.3834,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
166,298,127,92,1432.5476,4.3055,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
166,299,126,92,1111.0292,4.5117,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
166,299,126,92,1028.5979,4.4686,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
166,298,126,92,1161.5674,4.5364,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
166,299,126,92,1210.5742,4.4809,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
166,299,126,92,1190.7102,4.4625,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
165,299,126,93,1519.4666,4.4502,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
165,299,126,93,720.7198,4.6051,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
165,299,126,92,751.3668,4.5551,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
165,299,126,93,721.8737,4.3293,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
165,299,126,93,789.7157,4.1414,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
166,300,127,93,740.6052,4.5178,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
165,300,126,93,789.7157,4.6366,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
165,300,127,92,661.1978,4.6114,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
166,300,126,92,761.0708,4.5551,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
165,300,127,93,716.1227,4.5551,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
166,301,126,93,718.4174,4.5240,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
166,301,127,92,741.7934,4.5489,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
166,301,126,93,753.7803,4.5551,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
166,301,127,93,764.7442,4.5613,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
166,301,127,93,783.3931,4.5240,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
166,300,127,93,807.7082,4.5240,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
168,302,127,94,851.8598,4.3473,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
168,303,127,94,745.3680,4.4137,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
168,303,126,95,750.1630,4.2699,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
168,303,126,95,679.3574,4.3593,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
168,303,127,95,675.0378,4.1183,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
169,303,126,94,727.6729,4.4137,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
169,302,126,95,777.1241,4.4137,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
168,303,127,95,777.1241,4.4686,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
169,302,127,95,797.3742,4.4076,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
169,303,127,94,757.4167,4.4197,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
169,304,127,94,718.4174,4.3593,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
170,303,126,94,630.3819,4.8162,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
171,303,126,94,651.7899,4.4015,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
170,303,127,95,713.8366,4.4137,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
171,303,127,95,721.8737,4.3413,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
171,304,127,94,767.2029,4.3653,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
170,303,127,95,764.7442,4.6746,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
171,304,127,95,797.3742,4.8685,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
170,304,127,94,767.2029,4.3353,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
171,304,128,94,748.9615,4.3174,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
171,304,127,95,779.6249,4.4258,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
171,304,127,95,840.9266,4.3473,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
172,304,127,95,828.8038,4.4380,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
172,304,128,95,836.8645,4.3834,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
173,304,128,95,842.2847,4.3293,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
173,304,127,94,792.2596,4.2995,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
178,305,128,95,845.0087,4.2522,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
179,306,128,96,846.3739,4.5551,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
