NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
95,372,145,117,9.9846,7.9308,inf,27.4300,1014.4200,33.8880,48.1240,21.4232
95,371,145,116,10.8007,7.8427,inf,27.5100,1014.4200,33.9210,49.3440,21.4232
95,372,145,117,10.7586,7.8720,inf,27.5900,1014.3800,33.9260,50.5960,21.7553
95,372,146,116,10.3451,7.9112,inf,27.6600,1014.4200,33.9350,51.2140,21.4232
95,371,145,116,10.6539,7.8233,inf,27.7300,1014.4200,33.9340,51.7210,21.4232
95,371,145,117,10.6330,7.8038,inf,27.7900,1014.4200,33.9290,51.8810,21.4232
96,371,145,117,10.5501,7.7748,inf,27.8400,1014.4000,33.9240,52.1720,21.5890
96,371,145,116,10.4677,7.7748,inf,27.8900,1014.4400,33.9160,52.5320,21.2570
96,371,145,116,10.5501,7.7748,inf,27.9300,1014.4400,33.8960,52.5320,21.2570
96,370,145,116,10.6539,7.7941,inf,27.9700,1014.4400,33.8860,52.8630,21.2570
96,371,144,117,10.6956,7.8330,inf,28.0000,1014.4200,33.8640,52.8970,21.4232
96,370,145,117,10.7166,7.6881,inf,28.0300,1014.4200,33.8480,53.1310,21.4232
96,371,145,117,10.8007,7.8330,inf,28.0500,1014.4200,33.8220,53.1650,21.4232
96,370,144,117,10.8641,7.5929,inf,28.0700,1014.4200,33.8040,53.3340,21.4232
96,371,144,117,10.9279,7.6977,inf,28.0900,1014.4200,33.7830,53.1990,21.4232
97,371,144,117,10.4882,7.8525,inf,28.1100,1014.4400,33.7600,53.5390,21.2570
96,370,145,118,10.7166,7.8038,inf,28.1300,1014.4600,33.7470,53.3000,21.0902
97,370,145,117,10.3451,7.6309,inf,28.1400,1014.4200,33.7210,53.6080,21.4232
97,370,143,117,10.5088,7.6786,inf,28.1600,1014.4400,33.7000,53.3680,21.2570
97,370,144,118,10.3654,7.6881,inf,28.1700,1014.4400,33.6770,53.4710,21.2570
97,369,145,116,10.4471,7.6118,inf,28.1800,1014.4200,33.6450,53.4370,21.4232
97,368,144,118,10.4677,7.8525,inf,28.1900,1014.4200,33.6330,53.8490,21.4232
98,369,143,117,10.6956,7.4331,inf,27.6900,1014.4200,33.5870,33.7500,21.4232
97,369,144,117,11.0134,7.2125,inf,27.4800,1014.4000,33.6430,40.3820,21.5890
97,368,143,117,10.9492,7.5080,inf,27.4400,1014.4200,33.6940,43.8000,21.4232
97,368,144,117,10.5708,7.5080,inf,27.4600,1014.4000,33.7380,46.2660,21.5890
