NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
332,463,241,132,419.7794,3.1910,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
332,463,242,132,419.7794,3.1582,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
333,463,242,133,417.1598,3.2431,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
332,463,242,132,385.7959,3.3345,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
334,464,242,134,421.7552,3.1675,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
333,463,242,133,417.1598,3.1769,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
335,465,242,135,417.1598,3.1910,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
335,466,243,134,419.7794,3.0842,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
334,466,244,135,425.7354,3.1164,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
336,466,244,135,422.4158,3.0071,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
335,467,243,135,417.1598,3.2051,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
336,467,243,135,425.7354,3.1910,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
337,466,243,135,396.1790,3.5798,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
336,467,244,135,420.4370,3.1816,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
336,467,244,136,440.6629,3.6367,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
336,467,244,136,427.7400,3.1722,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
338,468,244,135,421.0955,3.1863,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
337,468,244,136,416.5078,3.1816,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
336,468,244,136,423.0775,3.1489,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
338,469,244,136,412.6161,3.2765,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
338,469,244,136,427.0708,3.1769,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
337,468,245,136,419.1229,3.1816,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
338,469,244,137,388.8204,3.2958,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
339,469,245,137,421.0955,3.1769,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
339,469,245,137,400.5372,3.1535,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
338,470,245,138,417.1598,3.1582,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
339,469,245,137,425.7354,3.1489,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
339,470,245,137,425.7354,3.1629,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
340,470,246,137,431.1021,3.1722,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
338,470,246,138,427.7400,3.1164,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
338,471,245,138,426.4025,3.1442,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
339,471,246,138,419.1229,3.0432,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
