NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
291,469,222,123,152.3911,15.2553,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
291,469,221,124,150.9703,15.3779,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
290,469,223,124,150.2647,15.3955,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
290,469,223,124,150.2647,15.4132,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
290,470,222,124,150.4995,14.5376,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
291,469,223,124,151.4424,15.3955,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
291,470,222,124,152.3911,14.9610,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
290,468,223,124,151.9161,15.2204,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
290,469,223,124,150.4995,15.0298,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
290,470,223,124,149.3289,14.9438,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
290,470,223,125,150.2647,15.0815,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
291,469,222,124,149.3289,14.3713,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
290,469,222,124,156.9774,14.6382,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
290,470,221,123,150.7347,16.2993,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
290,469,222,124,148.8631,14.9438,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
290,470,223,124,155.7576,14.8243,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
290,470,222,125,147.9360,14.9096,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
291,469,223,125,150.9703,14.2395,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
290,469,223,124,145.1879,14.1903,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
290,469,222,125,152.3911,14.8925,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
290,469,222,125,151.9161,15.0125,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
290,469,222,125,152.6292,14.7733,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
291,470,222,125,150.9703,14.9610,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
291,469,222,125,153.8251,15.1335,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
291,470,223,125,156.2444,15.4308,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
291,469,223,125,165.7823,16.4670,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
291,470,223,125,166.2998,16.2807,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
291,469,223,126,162.9641,15.7694,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
290,469,222,126,161.1952,15.8596,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
291,469,222,125,159.6941,15.4308,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
291,470,223,126,153.8251,15.5015,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
291,470,222,126,154.3060,14.9782,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
292,470,223,125,154.3060,15.0470,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
291,470,222,125,156.9774,15.2204,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
291,470,223,125,154.5470,15.2204,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
