NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
292,427,181,146,575.9009,23.4767,0.0006,34.0300,689.8300,100.0000,808.3700,3156.5579
294,427,181,146,577.7270,23.3986,0.0007,34.0300,689.8300,100.0000,808.3700,3156.5579
292,428,182,145,583.2409,23.2432,0.0007,34.0300,689.8300,100.0000,808.3700,3156.5579
293,427,183,146,586.9475,24.8422,0.0006,34.0300,689.8300,100.0000,808.3700,3156.5579
293,428,182,146,600.1147,23.1916,0.0006,34.0300,689.8300,100.0000,808.3700,3156.5579
294,428,183,146,583.2409,23.3467,0.0007,34.0300,689.8300,100.0000,808.3700,3156.5579
295,428,183,145,609.7086,23.2174,0.0007,34.0300,689.8300,100.0000,808.3700,3156.5579
294,428,183,145,616.5195,23.1145,0.0007,34.0300,689.8300,100.0000,808.3700,3156.5579
295,429,184,146,610.6769,23.1659,0.0007,34.0300,689.8300,100.0000,808.3700,3156.5579
294,429,183,146,602.0206,23.3726,0.0007,34.0300,689.8300,100.0000,808.3700,3156.5579
295,429,184,146,599.1640,23.5811,0.0007,34.0300,689.8300,100.0000,808.3700,3156.5579
295,428,184,145,596.3213,23.0376,0.0007,34.0300,689.8300,100.0000,808.3700,3156.5579
295,429,184,146,610.6769,23.1402,0.0006,34.0300,689.8300,100.0000,808.3700,3156.5579
296,429,185,145,608.7419,23.0888,0.0007,34.0300,689.8300,100.0000,808.3700,3156.5579
296,430,184,146,608.7419,23.1659,0.0007,34.0300,689.8300,100.0000,808.3700,3156.5579
297,431,186,145,497.2989,23.1916,0.0005,34.0300,689.8300,100.0000,808.3700,3156.5579
299,431,185,145,494.9570,23.0376,0.0005,34.0300,689.8300,100.0000,808.3700,3156.5579
298,430,186,145,517.2660,22.8845,0.0005,34.0300,689.8300,100.0000,808.3700,3156.5579
299,431,187,144,505.1880,23.0632,0.0005,34.0300,689.8300,100.0000,808.3700,3156.5579
298,431,186,145,506.7815,24.4059,0.0005,34.0300,689.8300,100.0000,808.3700,3156.5579
299,431,187,145,508.3798,22.9864,0.0007,34.0300,689.8300,100.0000,808.3700,3156.5579
299,432,187,145,504.3935,23.0120,0.0006,34.0300,689.8300,100.0000,808.3700,3156.5579
299,432,187,145,508.3798,22.9864,0.0005,34.0300,689.8300,100.0000,808.3700,3156.5579
299,432,188,145,516.4512,23.2949,0.0006,34.0300,689.8300,100.0000,808.3700,3156.5579
300,432,188,144,533.8371,22.9099,0.0006,34.0300,689.8300,100.0000,808.3700,3156.5579
299,432,189,145,538.0659,22.6566,0.0007,34.0300,689.8300,100.0000,808.3700,3156.5579
300,432,189,144,536.3703,22.9609,0.0005,34.0300,689.8300,100.0000,808.3700,3156.5579
300,432,189,144,533.8371,22.8590,0.0005,34.0300,689.8300,100.0000,808.3700,3156.5579
301,433,189,143,562.3976,22.6063,0.0005,34.0300,689.8300,100.0000,808.3700,3156.5579
300,433,188,145,554.4540,22.8845,0.0004,34.0300,689.8300,100.0000,808.3700,3156.5579
301,433,188,144,557.9702,22.7829,0.0004,34.0300,689.8300,100.0000,808.3700,3156.5579
301,432,189,145,560.6224,22.6818,0.0004,34.0300,689.8300,100.0000,808.3700,3156.5579
301,432,189,143,567.7588,22.7070,0.0005,34.0300,689.8300,100.0000,808.3700,3156.5579
301,432,189,144,563.2877,22.8590,0.0004,34.0300,689.8300,100.0000,808.3700,3156.5579
301,433,190,143,562.3976,22.6314,0.0005,34.0300,689.8300,100.0000,808.3700,3156.5579
301,433,189,144,571.3629,22.9099,0.0003,34.0300,689.8300,100.0000,808.3700,3156.5579
301,433,189,144,579.5591,22.8083,0.0004,34.0300,689.8300,100.0000,808.3700,3156.5579
301,433,190,143,571.3629,22.6314,0.0004,34.0300,689.8300,100.0000,808.3700,3156.5579
301,433,189,144,585.0912,22.7070,0.0004,34.0300,689.8300,100.0000,808.3700,3156.5579
302,433,191,144,534.6801,22.7829,0.0004,34.0300,689.8300,100.0000,808.3700,3156.5579
302,434,191,144,510.7876,22.8083,0.0004,34.0300,689.8300,100.0000,808.3700,3156.5579
303,435,192,144,510.7876,22.4809,0.0005,34.0300,689.8300,100.0000,808.3700,3156.5579
303,435,192,144,511.5926,22.6063,0.0006,34.0300,689.8300,100.0000,808.3700,3156.5579
303,435,191,144,512.3989,22.4309,0.0006,34.0300,689.8300,100.0000,808.3700,3156.5579
303,435,193,144,513.2069,23.0888,0.0005,34.0300,689.8300,100.0000,808.3700,3156.5579
304,434,193,143,515.6384,22.5811,0.0005,34.0300,689.8300,100.0000,808.3700,3156.5579
303,436,193,144,518.8984,22.5309,0.0005,34.0300,689.8300,100.0000,808.3700,3156.5579
304,435,193,144,519.7173,22.3561,0.0005,34.0300,689.8300,100.0000,808.3700,3156.5579
304,436,193,144,513.2069,22.9099,0.0006,34.0300,689.8300,100.0000,808.3700,3156.5579
304,436,193,143,515.6384,22.1826,0.0006,34.0300,689.8300,100.0000,808.3700,3156.5579
303,436,194,143,521.3580,22.2320,0.0005,34.0300,689.8300,100.0000,808.3700,3156.5579
305,436,193,143,518.8984,22.0594,0.0005,34.0300,689.8300,100.0000,808.3700,3156.5579
304,436,193,143,509.9834,22.2568,0.0005,34.0300,689.8300,100.0000,808.3700,3156.5579
304,437,194,144,518.0815,22.1826,0.0005,34.0300,689.8300,100.0000,808.3700,3156.5579
304,436,194,143,522.1806,23.5811,0.0007,34.0300,689.8300,100.0000,808.3700,3156.5579
304,437,194,143,524.6560,21.8393,0.0005,34.0300,689.8300,100.0000,808.3700,3156.5579
305,437,193,143,518.0815,22.4309,0.0005,34.0300,689.8300,100.0000,808.3700,3156.5579
305,437,194,143,522.1806,22.1086,0.0005,34.0300,689.8300,100.0000,808.3700,3156.5579
304,436,194,143,532.9960,22.1826,0.0005,34.0300,689.8300,100.0000,808.3700,3156.5579
306,436,194,143,519.7173,22.3064,0.0005,34.0300,689.8300,100.0000,808.3700,3156.5579
305,437,195,144,519.7173,22.5309,0.0005,34.0300,689.8300,100.0000,808.3700,3156.5579
305,438,194,143,525.4837,23.1659,0.0005,34.0300,689.8300,100.0000,808.3700,3156.5579
306,437,195,144,528.8088,22.1579,0.0005,34.0300,689.8300,100.0000,808.3700,3156.5579
305,438,195,143,532.1557,22.1579,0.0006,34.0300,689.8300,100.0000,808.3700,3156.5579
305,437,196,143,533.8371,23.5811,0.0005,34.0300,689.8300,100.0000,808.3700,3156.5579
306,438,196,144,530.4796,21.8393,0.0005,34.0300,689.8300,100.0000,808.3700,3156.5579
306,438,196,144,538.0659,22.0840,0.0005,34.0300,689.8300,100.0000,808.3700,3156.5579
308,439,197,144,552.7050,22.1086,0.0006,34.0300,689.8300,100.0000,808.3700,3156.5579
308,439,197,144,543.1857,22.0349,0.0005,34.0300,689.8300,100.0000,808.3700,3156.5579
308,438,197,144,550.0914,22.2073,0.0005,34.0300,689.8300,100.0000,808.3700,3156.5579
308,439,198,144,550.9612,21.8881,0.0005,34.0300,689.8300,100.0000,808.3700,3156.5579
307,439,197,144,554.4540,21.8881,0.0005,34.0300,689.8300,100.0000,808.3700,3156.5579
308,440,198,144,560.6224,21.7422,0.0005,34.0300,689.8300,100.0000,808.3700,3156.5579
