NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
118,342,136,129,391.2576,29.9005,0.0118,34.0300,689.8300,100.0000,808.3700,3156.5579
118,343,136,129,424.4042,29.8676,0.0180,34.0300,689.8300,100.0000,808.3700,3156.5579
118,343,137,129,418.4678,29.5409,0.0076,34.0300,689.8300,100.0000,808.3700,3156.5579
119,343,136,129,412.6161,30.1979,0.0169,34.0300,689.8300,100.0000,808.3700,3156.5579
122,346,138,132,390.6470,31.5204,0.0178,34.0300,689.8300,100.0000,808.3700,3156.5579
123,346,138,132,380.4121,29.4112,0.0178,34.0300,689.8300,100.0000,808.3700,3156.5579
123,346,138,132,394.9426,29.7365,0.0188,34.0300,689.8300,100.0000,808.3700,3156.5579
123,346,138,132,404.3119,29.4436,0.0154,34.0300,689.8300,100.0000,808.3700,3156.5579
123,347,138,132,396.1790,29.6386,0.0163,34.0300,689.8300,100.0000,808.3700,3156.5579
124,347,139,132,399.9114,29.7693,0.0142,34.0300,689.8300,100.0000,808.3700,3156.5579
124,346,138,133,408.7618,29.8676,0.0075,34.0300,689.8300,100.0000,808.3700,3156.5579
124,347,138,132,417.1598,29.7365,0.0122,34.0300,689.8300,100.0000,808.3700,3156.5579
124,347,139,131,410.0424,30.2311,0.0127,34.0300,689.8300,100.0000,808.3700,3156.5579
125,347,139,132,420.4370,29.8348,0.0126,34.0300,689.8300,100.0000,808.3700,3156.5579
124,346,139,132,418.4678,29.8676,0.0360,34.0300,689.8300,100.0000,808.3700,3156.5579
124,347,139,132,419.1229,29.4436,0.0210,34.0300,689.8300,100.0000,808.3700,3156.5579
125,347,138,132,415.8565,29.0893,0.0126,34.0300,689.8300,100.0000,808.3700,3156.5579
125,347,138,132,429.0818,29.5409,0.0145,34.0300,689.8300,100.0000,808.3700,3156.5579
125,347,139,132,432.4550,29.8020,0.0120,34.0300,689.8300,100.0000,808.3700,3156.5579
125,348,139,131,425.0695,29.4436,0.0157,34.0300,689.8300,100.0000,808.3700,3156.5579
126,348,139,132,444.8269,31.0734,0.0145,34.0300,689.8300,100.0000,808.3700,3156.5579
126,348,139,132,439.2839,29.0573,0.0106,34.0300,689.8300,100.0000,808.3700,3156.5579
126,348,139,132,431.7781,29.6060,0.0111,34.0300,689.8300,100.0000,808.3700,3156.5579
126,348,140,132,421.7552,29.6060,0.0135,34.0300,689.8300,100.0000,808.3700,3156.5579
127,348,139,131,421.7552,29.6060,0.0127,34.0300,689.8300,100.0000,808.3700,3156.5579
127,348,140,132,424.4042,29.7693,0.0132,34.0300,689.8300,100.0000,808.3700,3156.5579
127,348,140,132,427.0708,29.5084,0.0147,34.0300,689.8300,100.0000,808.3700,3156.5579
127,349,140,132,417.8134,29.1855,0.0101,34.0300,689.8300,100.0000,808.3700,3156.5579
128,349,139,132,414.5575,29.4112,0.0089,34.0300,689.8300,100.0000,808.3700,3156.5579
127,350,140,133,413.9092,29.3465,0.0134,34.0300,689.8300,100.0000,808.3700,3156.5579
130,351,141,134,431.1021,28.8978,0.0163,34.0300,689.8300,100.0000,808.3700,3156.5579
130,352,141,134,398.0410,29.3788,0.0135,34.0300,689.8300,100.0000,808.3700,3156.5579
130,351,141,133,417.8134,29.3788,0.0152,34.0300,689.8300,100.0000,808.3700,3156.5579
131,352,141,134,415.8565,29.7038,0.0162,34.0300,689.8300,100.0000,808.3700,3156.5579
131,352,141,134,417.1598,29.7038,0.0111,34.0300,689.8300,100.0000,808.3700,3156.5579
131,353,142,134,398.0410,29.5409,0.0152,34.0300,689.8300,100.0000,808.3700,3156.5579
130,353,141,134,409.4017,28.7075,0.0057,34.0300,689.8300,100.0000,808.3700,3156.5579
132,353,141,135,399.9114,29.3788,0.0132,34.0300,689.8300,100.0000,808.3700,3156.5579
132,353,142,135,399.9114,31.1417,0.0162,34.0300,689.8300,100.0000,808.3700,3156.5579
132,353,142,135,401.7915,29.5409,0.0145,34.0300,689.8300,100.0000,808.3700,3156.5579
132,354,142,134,391.8693,29.3465,0.0176,34.0300,689.8300,100.0000,808.3700,3156.5579
133,353,142,134,406.2131,29.2820,0.0115,34.0300,689.8300,100.0000,808.3700,3156.5579
133,354,141,134,404.3119,29.9664,0.0415,34.0300,689.8300,100.0000,808.3700,3156.5579
133,354,142,135,388.2137,29.3142,0.0093,34.0300,689.8300,100.0000,808.3700,3156.5579
133,354,142,134,408.7618,29.2498,0.0145,34.0300,689.8300,100.0000,808.3700,3156.5579
133,355,143,135,412.6161,29.3465,0.0138,34.0300,689.8300,100.0000,808.3700,3156.5579
134,355,142,135,411.9710,29.2820,0.0158,34.0300,689.8300,100.0000,808.3700,3156.5579
134,355,143,135,363.5812,30.7338,0.0174,34.0300,689.8300,100.0000,808.3700,3156.5579
134,355,142,134,355.7301,29.6712,0.0163,34.0300,689.8300,100.0000,808.3700,3156.5579
135,354,142,135,394.3262,29.4760,0.0093,34.0300,689.8300,100.0000,808.3700,3156.5579
135,356,142,135,386.3990,29.0253,0.0115,34.0300,689.8300,100.0000,808.3700,3156.5579
135,355,143,136,401.7915,29.4112,0.0139,34.0300,689.8300,100.0000,808.3700,3156.5579
135,356,143,135,390.0371,29.3465,0.0080,34.0300,689.8300,100.0000,808.3700,3156.5579
136,356,144,136,376.8660,29.3142,0.0132,34.0300,689.8300,100.0000,808.3700,3156.5579
136,356,144,136,402.4200,29.6060,0.0115,34.0300,689.8300,100.0000,808.3700,3156.5579
137,356,143,136,385.1939,29.5084,0.0143,34.0300,689.8300,100.0000,808.3700,3156.5579
138,358,145,137,385.1939,29.6386,0.0125,34.0300,689.8300,100.0000,808.3700,3156.5579
139,358,145,137,378.6349,29.7693,0.0130,34.0300,689.8300,100.0000,808.3700,3156.5579
140,358,145,137,366.4276,28.6759,0.0110,34.0300,689.8300,100.0000,808.3700,3156.5579
139,359,145,137,378.0443,29.3465,0.0135,34.0300,689.8300,100.0000,808.3700,3156.5579
139,359,145,137,407.4853,29.3142,0.0119,34.0300,689.8300,100.0000,808.3700,3156.5579
141,359,145,138,393.7103,29.4436,0.0136,34.0300,689.8300,100.0000,808.3700,3156.5579
140,360,145,137,381.0064,29.4436,0.0146,34.0300,689.8300,100.0000,808.3700,3156.5579
141,360,145,137,380.4121,29.0573,0.0136,34.0300,689.8300,100.0000,808.3700,3156.5579
141,360,146,137,379.2263,28.4244,0.0140,34.0300,689.8300,100.0000,808.3700,3156.5579
142,360,145,138,381.6019,29.0253,0.0096,34.0300,689.8300,100.0000,808.3700,3156.5579
141,361,146,138,388.8204,29.3788,0.0149,34.0300,689.8300,100.0000,808.3700,3156.5579
142,361,146,138,396.7986,29.0573,0.0145,34.0300,689.8300,100.0000,808.3700,3156.5579
142,361,146,138,391.2576,28.8660,0.0132,34.0300,689.8300,100.0000,808.3700,3156.5579
142,361,146,138,390.0371,28.8978,0.0138,34.0300,689.8300,100.0000,808.3700,3156.5579
143,361,146,138,393.7103,28.7075,0.0087,34.0300,689.8300,100.0000,808.3700,3156.5579
143,361,146,138,387.6079,28.8978,0.0120,34.0300,689.8300,100.0000,808.3700,3156.5579
143,361,146,138,391.8693,29.1534,0.0109,34.0300,689.8300,100.0000,808.3700,3156.5579
143,362,146,139,385.7959,29.1213,0.0113,34.0300,689.8300,100.0000,808.3700,3156.5579
144,362,147,139,375.6912,28.9615,0.0132,34.0300,689.8300,100.0000,808.3700,3156.5579
144,362,147,139,387.0028,29.1855,0.0098,34.0300,689.8300,100.0000,808.3700,3156.5579
144,362,147,139,387.0028,29.4436,0.0119,34.0300,689.8300,100.0000,808.3700,3156.5579
145,362,147,139,393.7103,29.3142,0.0082,34.0300,689.8300,100.0000,808.3700,3156.5579
145,362,146,139,413.2622,28.9296,0.0138,34.0300,689.8300,100.0000,808.3700,3156.5579
145,363,147,139,391.2576,28.9615,0.0157,34.0300,689.8300,100.0000,808.3700,3156.5579
145,363,147,140,379.8189,29.1855,0.0112,34.0300,689.8300,100.0000,808.3700,3156.5579
