NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
181,493,231,150,309.2121,34.0378,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
182,494,231,150,314.5492,30.3978,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
182,494,230,151,312.5977,30.4982,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
182,493,231,150,305.3883,30.5990,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
183,494,230,151,308.7316,31.1417,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
183,494,231,151,319.9796,30.6326,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
184,494,230,151,310.1757,29.5409,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
184,494,231,152,309.6935,29.8348,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
184,494,231,152,311.6265,28.5184,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
185,494,231,153,311.1421,29.9005,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
185,494,231,152,313.0844,29.9664,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
185,494,231,153,309.6935,30.1647,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
185,494,231,153,317.0057,30.2311,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
186,495,230,153,312.1118,28.0820,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
186,495,231,153,311.6265,29.4760,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
187,495,231,154,312.1118,29.3142,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
186,495,231,154,320.4780,28.9934,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
187,495,231,154,315.0390,27.7742,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
188,495,230,155,317.9941,29.5734,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
188,494,231,155,316.5130,30.2311,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
189,495,231,155,315.0390,29.2176,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
189,496,231,156,318.4893,29.8020,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
189,495,230,155,313.0844,29.1213,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
190,495,231,156,304.4398,29.4112,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
189,495,230,156,313.0844,28.3618,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
190,496,230,156,321.4772,29.0893,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
193,496,230,157,322.4793,29.9334,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
194,496,230,159,307.7726,28.8025,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
194,497,231,159,306.8166,29.9993,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
195,497,231,159,310.1757,29.5084,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
195,497,231,159,314.5492,29.7693,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
195,497,230,160,311.1421,29.4436,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
196,497,231,159,306.3398,29.9993,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
196,497,231,159,293.7444,30.7676,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
196,497,231,159,299.7421,30.4647,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
197,498,230,160,307.2943,30.5653,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
197,498,231,160,298.8114,29.1855,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
197,498,231,160,300.6758,30.1979,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
198,498,231,161,305.3883,30.4647,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
198,497,230,161,296.9586,30.2977,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
199,498,231,162,292.8324,30.7676,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
198,498,230,161,292.8324,30.3978,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
199,499,231,161,297.8835,30.2644,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
199,498,231,162,297.8835,30.9711,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
200,499,230,162,300.2086,30.5653,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
