NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
183,401,208,103,675.0378,13.8987,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
184,401,208,103,661.1978,13.9147,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
185,402,208,103,606.8139,13.9308,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
186,402,208,103,613.5905,13.9308,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
186,402,209,103,617.4990,14.0114,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
187,402,209,103,619.4631,13.8666,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
188,402,209,103,649.7190,13.8186,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
188,402,209,103,653.8685,13.8826,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
190,402,209,104,648.6859,13.9308,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
190,401,209,103,620.4473,13.9630,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
198,401,211,104,638.4493,14.4044,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
199,402,211,103,602.9764,14.0600,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
200,401,211,103,603.9330,13.9791,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
200,400,212,103,595.3770,13.9953,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
202,400,211,103,602.0206,13.9953,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
202,401,211,103,591.6151,14.6046,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
202,400,212,103,621.4330,13.8826,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
203,400,212,103,597.2676,13.9308,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
204,401,212,104,595.3770,13.8987,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
205,400,212,102,594.4341,14.4542,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
204,400,213,103,593.4929,14.2395,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
205,400,212,103,598.2147,13.8346,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
205,400,212,103,593.4929,13.8666,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
206,400,213,103,596.3213,13.8346,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
207,399,212,103,586.9475,13.1165,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
206,400,213,103,602.0206,14.8073,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
207,399,213,103,608.7419,13.7389,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
206,399,214,103,602.9764,13.6755,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
208,399,213,103,599.1640,13.5181,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
208,400,214,103,603.9330,13.6124,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
208,399,214,103,630.3819,13.5652,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
207,399,214,103,600.1147,13.4400,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
208,398,214,103,597.2676,13.4556,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
207,399,214,103,600.1147,13.6914,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
208,399,214,103,609.7086,12.7403,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
208,399,215,103,598.2147,12.3883,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
208,399,215,103,587.8780,12.3883,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
209,399,216,105,588.8098,12.3883,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
209,400,216,104,581.3969,12.3883,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
209,400,215,104,592.5535,13.6597,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
209,399,217,104,586.0185,12.3883,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
208,399,216,105,584.1652,12.3883,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
208,399,216,105,585.0912,12.3883,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
208,399,217,104,586.0185,12.3883,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
209,400,217,104,585.0912,13.1012,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
208,400,217,104,582.3182,12.3883,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
208,400,217,105,578.6421,12.3883,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
208,400,217,104,577.7270,12.8746,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
208,400,217,105,587.8780,13.1165,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
208,400,217,104,583.2409,13.0708,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
208,400,217,105,582.3182,13.0708,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
208,400,216,104,575.9009,13.1929,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
208,400,218,106,579.5591,13.1776,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
209,400,218,105,574.9905,13.0860,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
208,399,218,106,574.9905,12.7255,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
208,400,218,106,561.5090,12.3883,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
209,400,218,105,573.1739,12.7403,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
210,400,218,105,573.1739,13.0102,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
210,400,218,105,572.2674,13.1317,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
209,400,219,105,570.4598,12.7999,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
210,401,219,106,569.5581,13.0708,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
211,400,219,106,565.0717,12.7701,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
214,402,219,106,563.2877,13.2389,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
214,402,219,107,561.5090,13.1929,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
215,402,220,107,562.3976,13.2851,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
215,402,220,107,563.2877,13.3779,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
215,402,220,107,563.2877,13.2082,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
215,401,220,107,563.2877,12.4319,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
217,402,219,107,563.2877,13.2082,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
216,402,220,107,562.3976,13.5966,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
217,402,220,107,591.6151,13.2851,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
217,403,220,108,563.2877,13.4556,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
217,403,220,107,557.9702,13.2697,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
