NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
243,294,137,98,279.0575,4.2463,0.0220,34.0300,689.8300,100.0000,808.3700,3156.5579
244,294,137,99,289.6632,3.8607,0.0212,34.0300,689.8300,100.0000,808.3700,3156.5579
244,295,137,98,285.1957,4.5489,0.0360,34.0300,689.8300,100.0000,808.3700,3156.5579
244,295,138,99,260.2142,4.7257,0.0537,34.0300,689.8300,100.0000,808.3700,3156.5579
245,295,138,98,256.6016,4.2876,0.0251,34.0300,689.8300,100.0000,808.3700,3156.5579
246,295,138,98,273.4771,4.1994,0.0217,34.0300,689.8300,100.0000,808.3700,3156.5579
246,296,138,98,282.5485,4.7902,0.0350,34.0300,689.8300,100.0000,808.3700,3156.5579
247,296,137,99,282.9880,4.8032,0.0446,34.0300,689.8300,100.0000,808.3700,3156.5579
248,295,138,99,271.7826,4.7708,0.0701,34.0300,689.8300,100.0000,808.3700,3156.5579
249,296,138,99,263.0590,4.3055,0.0208,34.0300,689.8300,100.0000,808.3700,3156.5579
249,296,138,99,278.6243,4.5178,0.0291,34.0300,689.8300,100.0000,808.3700,3156.5579
249,297,139,99,280.3616,4.2817,0.0427,34.0300,689.8300,100.0000,808.3700,3156.5579
250,297,138,99,261.0237,4.3533,0.0323,34.0300,689.8300,100.0000,808.3700,3156.5579
251,297,138,99,291.4701,4.8554,0.0537,34.0300,689.8300,100.0000,808.3700,3156.5579
252,298,139,100,273.9025,4.7193,0.0370,34.0300,689.8300,100.0000,808.3700,3156.5579
253,298,139,100,262.6507,4.4380,0.0280,34.0300,689.8300,100.0000,808.3700,3156.5579
254,298,139,101,288.7640,4.4809,0.0205,34.0300,689.8300,100.0000,808.3700,3156.5579
255,299,139,100,261.4295,4.5364,0.0563,34.0300,689.8300,100.0000,808.3700,3156.5579
256,299,139,100,256.2034,4.3473,0.0260,34.0300,689.8300,100.0000,808.3700,3156.5579
256,299,139,101,267.1776,4.6810,0.0677,34.0300,689.8300,100.0000,808.3700,3156.5579
257,300,140,101,253.0395,4.3834,0.0336,34.0300,689.8300,100.0000,808.3700,3156.5579
258,300,140,101,261.4295,4.2699,0.0295,34.0300,689.8300,100.0000,808.3700,3156.5579
259,300,140,101,253.8267,4.3353,0.0280,34.0300,689.8300,100.0000,808.3700,3156.5579
259,301,140,101,274.7548,4.4932,0.0341,34.0300,689.8300,100.0000,808.3700,3156.5579
260,300,141,101,252.6469,5.0756,0.0825,34.0300,689.8300,100.0000,808.3700,3156.5579
261,301,141,102,261.8360,4.7321,0.0245,34.0300,689.8300,100.0000,808.3700,3156.5579
269,304,143,103,263.8776,4.5489,0.3227,34.0300,689.8300,100.0000,808.3700,3156.5579
270,304,143,104,264.6987,4.4993,0.0266,34.0300,689.8300,100.0000,808.3700,3156.5579
271,305,143,103,252.2547,4.3174,0.0295,34.0300,689.8300,100.0000,808.3700,3156.5579
272,304,143,103,270.5190,4.5302,0.0336,34.0300,689.8300,100.0000,808.3700,3156.5579
273,305,143,103,253.0395,4.3055,0.0205,34.0300,689.8300,100.0000,808.3700,3156.5579
274,305,144,104,247.5967,4.2817,0.1000,34.0300,689.8300,100.0000,808.3700,3156.5579
274,306,144,104,259.8102,4.1994,0.0117,34.0300,689.8300,100.0000,808.3700,3156.5579
275,306,144,103,247.5967,4.3174,0.0223,34.0300,689.8300,100.0000,808.3700,3156.5579
275,307,144,104,251.8632,4.4993,0.0573,34.0300,689.8300,100.0000,808.3700,3156.5579
276,307,145,103,255.8057,4.3894,0.0266,34.0300,689.8300,100.0000,808.3700,3156.5579
278,306,145,104,250.3032,4.2111,0.0248,34.0300,689.8300,100.0000,808.3700,3156.5579
277,307,145,104,251.8632,4.4197,0.0409,34.0300,689.8300,100.0000,808.3700,3156.5579
279,307,145,104,268.8429,4.4441,0.0215,34.0300,689.8300,100.0000,808.3700,3156.5579
280,307,145,104,240.0238,4.2169,0.0188,34.0300,689.8300,100.0000,808.3700,3156.5579
280,308,145,104,242.6478,4.4441,0.0474,34.0300,689.8300,100.0000,808.3700,3156.5579
280,307,145,104,253.0395,4.3834,0.0182,34.0300,689.8300,100.0000,808.3700,3156.5579
282,308,146,104,242.2710,4.1761,0.0180,34.0300,689.8300,100.0000,808.3700,3156.5579
283,309,146,105,242.6478,4.1819,0.0188,34.0300,689.8300,100.0000,808.3700,3156.5579
283,309,147,104,251.0821,4.2169,0.0162,34.0300,689.8300,100.0000,808.3700,3156.5579
284,309,147,105,246.4458,4.2404,0.0112,34.0300,689.8300,100.0000,808.3700,3156.5579
285,310,147,104,250.3032,4.3055,0.0327,34.0300,689.8300,100.0000,808.3700,3156.5579
286,309,147,105,255.0123,4.2936,0.0273,34.0300,689.8300,100.0000,808.3700,3156.5579
286,310,148,105,261.0237,4.5613,0.0440,34.0300,689.8300,100.0000,808.3700,3156.5579
287,310,148,105,249.1396,4.1877,0.0154,34.0300,689.8300,100.0000,808.3700,3156.5579
288,311,147,105,228.3862,4.1471,0.0143,34.0300,689.8300,100.0000,808.3700,3156.5579
289,311,147,106,234.8614,4.1529,0.0155,34.0300,689.8300,100.0000,808.3700,3156.5579
296,313,151,106,225.9165,3.8607,0.0192,34.0300,689.8300,100.0000,808.3700,3156.5579
296,314,151,107,238.9081,3.8716,0.0092,34.0300,689.8300,100.0000,808.3700,3156.5579
297,315,151,106,219.0057,3.8064,0.0086,34.0300,689.8300,100.0000,808.3700,3156.5579
297,314,151,106,210.3356,3.6419,0.0091,34.0300,689.8300,100.0000,808.3700,3156.5579
298,315,151,106,222.0891,4.2936,0.0085,34.0300,689.8300,100.0000,808.3700,3156.5579
299,315,151,107,220.0289,3.8280,0.0063,34.0300,689.8300,100.0000,808.3700,3156.5579
298,315,151,106,221.7443,3.8226,0.0086,34.0300,689.8300,100.0000,808.3700,3156.5579
300,315,152,106,220.7136,3.5490,0.0080,34.0300,689.8300,100.0000,808.3700,3156.5579
300,316,152,107,221.7443,3.8226,0.0090,34.0300,689.8300,100.0000,808.3700,3156.5579
299,316,153,106,222.4344,3.8443,0.0084,34.0300,689.8300,100.0000,808.3700,3156.5579
300,317,153,107,222.0891,3.8280,0.0063,34.0300,689.8300,100.0000,808.3700,3156.5579
300,316,153,107,220.3709,3.8443,0.0089,34.0300,689.8300,100.0000,808.3700,3156.5579
301,317,153,107,224.1687,3.4982,0.0078,34.0300,689.8300,100.0000,808.3700,3156.5579
302,317,154,107,222.4344,3.7956,0.0082,34.0300,689.8300,100.0000,808.3700,3156.5579
302,316,153,107,222.0891,3.8172,0.0089,34.0300,689.8300,100.0000,808.3700,3156.5579
302,317,154,107,223.4735,3.8280,0.0077,34.0300,689.8300,100.0000,808.3700,3156.5579
302,317,154,107,236.3249,3.7688,0.0077,34.0300,689.8300,100.0000,808.3700,3156.5579
303,318,154,107,215.9651,3.7581,0.0081,34.0300,689.8300,100.0000,808.3700,3156.5579
303,318,154,107,212.6358,3.8064,0.0063,34.0300,689.8300,100.0000,808.3700,3156.5579
303,318,154,107,213.6291,3.7795,0.0073,34.0300,689.8300,100.0000,808.3700,3156.5579
304,318,155,107,206.4498,3.7527,0.0069,34.0300,689.8300,100.0000,808.3700,3156.5579
305,319,155,107,214.9608,3.7956,0.0072,34.0300,689.8300,100.0000,808.3700,3156.5579
305,319,154,107,219.3462,3.7956,0.0070,34.0300,689.8300,100.0000,808.3700,3156.5579
305,319,155,107,216.9741,3.7688,0.0056,34.0300,689.8300,100.0000,808.3700,3156.5579
306,319,156,107,216.6371,3.7634,0.0070,34.0300,689.8300,100.0000,808.3700,3156.5579
306,319,156,107,210.3356,3.7956,0.0063,34.0300,689.8300,100.0000,808.3700,3156.5579
311,321,159,107,222.0891,3.8335,0.0077,34.0300,689.8300,100.0000,808.3700,3156.5579
311,321,158,108,223.8207,3.8389,0.0070,34.0300,689.8300,100.0000,808.3700,3156.5579
312,322,158,107,218.3264,3.5592,0.0075,34.0300,689.8300,100.0000,808.3700,3156.5579
312,322,159,107,224.1687,3.8226,0.0074,34.0300,689.8300,100.0000,808.3700,3156.5579
313,322,159,108,224.1687,4.1298,0.0072,34.0300,689.8300,100.0000,808.3700,3156.5579
313,322,159,107,221.7443,3.9655,0.0075,34.0300,689.8300,100.0000,808.3700,3156.5579
314,322,159,108,224.1687,3.8389,0.0059,34.0300,689.8300,100.0000,808.3700,3156.5579
315,323,160,108,223.4735,3.8226,0.0071,34.0300,689.8300,100.0000,808.3700,3156.5579
315,322,160,108,213.2976,3.9101,0.0063,34.0300,689.8300,100.0000,808.3700,3156.5579
316,323,160,108,222.0891,3.8064,0.0073,34.0300,689.8300,100.0000,808.3700,3156.5579
316,323,161,108,224.1687,3.8826,0.0074,34.0300,689.8300,100.0000,808.3700,3156.5579
316,324,160,108,223.1265,3.8064,0.0071,34.0300,689.8300,100.0000,808.3700,3156.5579
317,324,161,108,222.0891,3.8936,0.0076,34.0300,689.8300,100.0000,808.3700,3156.5579
316,324,162,108,217.9875,4.2052,0.0089,34.0300,689.8300,100.0000,808.3700,3156.5579
317,324,161,108,224.5170,3.8607,0.0046,34.0300,689.8300,100.0000,808.3700,3156.5579
318,324,162,107,223.4735,3.8716,0.0074,34.0300,689.8300,100.0000,808.3700,3156.5579
318,324,162,109,222.4344,3.6681,0.0077,34.0300,689.8300,100.0000,808.3700,3156.5579
319,325,162,109,223.4735,3.9101,0.0071,34.0300,689.8300,100.0000,808.3700,3156.5579
319,325,163,108,217.6491,3.8826,0.0073,34.0300,689.8300,100.0000,808.3700,3156.5579
320,325,163,108,225.5658,3.8990,0.0060,34.0300,689.8300,100.0000,808.3700,3156.5579
320,325,163,109,226.6194,3.9156,0.0070,34.0300,689.8300,100.0000,808.3700,3156.5579
321,326,163,109,225.9165,3.9823,0.0072,34.0300,689.8300,100.0000,808.3700,3156.5579
322,326,164,109,225.5658,3.9767,0.0072,34.0300,689.8300,100.0000,808.3700,3156.5579
322,326,164,109,243.4026,4.1587,0.0074,34.0300,689.8300,100.0000,808.3700,3156.5579
322,326,164,109,225.9165,3.9767,0.0087,34.0300,689.8300,100.0000,808.3700,3156.5579
323,327,164,109,216.3009,3.9767,0.0080,34.0300,689.8300,100.0000,808.3700,3156.5579
327,329,167,109,229.4528,3.9767,0.0083,34.0300,689.8300,100.0000,808.3700,3156.5579
328,329,167,109,228.3862,3.9599,0.0080,34.0300,689.8300,100.0000,808.3700,3156.5579
328,329,167,110,229.0969,3.9879,0.0080,34.0300,689.8300,100.0000,808.3700,3156.5579
329,329,167,109,221.0565,4.3593,0.0080,34.0300,689.8300,100.0000,808.3700,3156.5579
329,330,168,110,222.7801,3.9879,0.0080,34.0300,689.8300,100.0000,808.3700,3156.5579
329,330,168,110,222.4344,3.9935,0.0075,34.0300,689.8300,100.0000,808.3700,3156.5579
330,330,168,110,217.9875,3.9823,0.0075,34.0300,689.8300,100.0000,808.3700,3156.5579
329,330,169,110,227.6777,3.9823,0.0117,34.0300,689.8300,100.0000,808.3700,3156.5579
330,331,169,110,228.7412,3.9433,0.0080,34.0300,689.8300,100.0000,808.3700,3156.5579
330,331,169,109,228.0317,4.0726,0.0083,34.0300,689.8300,100.0000,808.3700,3156.5579
331,331,170,110,228.7412,3.8064,0.0081,34.0300,689.8300,100.0000,808.3700,3156.5579
332,331,169,110,225.2159,3.9711,0.0084,34.0300,689.8300,100.0000,808.3700,3156.5579
331,331,170,110,226.2677,4.0329,0.0071,34.0300,689.8300,100.0000,808.3700,3156.5579
332,332,170,110,228.0317,4.3473,0.0085,34.0300,689.8300,100.0000,808.3700,3156.5579
332,332,171,110,233.0444,4.0498,0.0087,34.0300,689.8300,100.0000,808.3700,3156.5579
333,332,171,110,234.8614,3.9991,0.0074,34.0300,689.8300,100.0000,808.3700,3156.5579
333,332,171,110,232.6828,4.1011,0.0086,34.0300,689.8300,100.0000,808.3700,3156.5579
334,332,172,110,222.0891,4.1183,0.0098,34.0300,689.8300,100.0000,808.3700,3156.5579
334,332,172,111,231.6012,3.8552,0.0094,34.0300,689.8300,100.0000,808.3700,3156.5579
335,332,172,110,226.2677,3.9711,0.0071,34.0300,689.8300,100.0000,808.3700,3156.5579
335,332,172,110,240.3970,3.9599,0.0083,34.0300,689.8300,100.0000,808.3700,3156.5579
336,333,172,111,233.0444,4.1183,0.0075,34.0300,689.8300,100.0000,808.3700,3156.5579
336,333,173,110,232.3217,4.1241,0.0086,34.0300,689.8300,100.0000,808.3700,3156.5579
336,334,173,111,234.1328,4.5988,0.0085,34.0300,689.8300,100.0000,808.3700,3156.5579
335,334,174,111,230.8829,4.1414,0.0080,34.0300,689.8300,100.0000,808.3700,3156.5579
337,334,173,111,229.4528,4.5613,0.0080,34.0300,689.8300,100.0000,808.3700,3156.5579
341,337,176,112,228.3862,4.1761,0.0090,34.0300,689.8300,100.0000,808.3700,3156.5579
341,337,177,112,229.4528,4.0897,0.0100,34.0300,689.8300,100.0000,808.3700,3156.5579
342,337,177,112,229.0969,3.9377,0.0093,34.0300,689.8300,100.0000,808.3700,3156.5579
343,338,177,112,233.7696,4.0783,0.0092,34.0300,689.8300,100.0000,808.3700,3156.5579
343,338,177,111,230.5245,4.1587,0.0109,34.0300,689.8300,100.0000,808.3700,3156.5579
343,338,178,112,229.0969,4.0897,0.0097,34.0300,689.8300,100.0000,808.3700,3156.5579
344,339,178,112,230.1666,4.1645,0.0106,34.0300,689.8300,100.0000,808.3700,3156.5579
344,339,179,113,228.3862,4.1183,0.0100,34.0300,689.8300,100.0000,808.3700,3156.5579
345,339,179,112,231.2417,4.1356,0.0094,34.0300,689.8300,100.0000,808.3700,3156.5579
344,340,179,112,205.4896,4.0103,0.0111,34.0300,689.8300,100.0000,808.3700,3156.5579
346,340,179,113,228.0317,4.1703,0.0065,34.0300,689.8300,100.0000,808.3700,3156.5579
346,341,179,112,228.7412,4.1761,0.0101,34.0300,689.8300,100.0000,808.3700,3156.5579
346,340,180,113,228.0317,3.7795,0.0107,34.0300,689.8300,100.0000,808.3700,3156.5579
347,341,179,113,227.3243,4.1819,0.0091,34.0300,689.8300,100.0000,808.3700,3156.5579
347,341,180,113,228.7412,4.0047,0.0097,34.0300,689.8300,100.0000,808.3700,3156.5579
348,342,180,113,229.8095,4.1761,0.0078,34.0300,689.8300,100.0000,808.3700,3156.5579
348,342,181,114,249.9149,4.1936,0.0074,34.0300,689.8300,100.0000,808.3700,3156.5579
349,342,181,113,229.0969,4.1529,0.0097,34.0300,689.8300,100.0000,808.3700,3156.5579
349,342,182,114,229.8095,4.3713,0.0105,34.0300,689.8300,100.0000,808.3700,3156.5579
349,343,182,113,230.8829,4.1761,0.0105,34.0300,689.8300,100.0000,808.3700,3156.5579
349,343,182,114,229.4528,4.1703,0.0160,34.0300,689.8300,100.0000,808.3700,3156.5579
350,343,183,114,234.8614,4.1529,0.0105,34.0300,689.8300,100.0000,808.3700,3156.5579
350,344,183,114,230.5245,4.1819,0.0118,34.0300,689.8300,100.0000,808.3700,3156.5579
351,344,183,114,234.8614,4.1587,0.0111,34.0300,689.8300,100.0000,808.3700,3156.5579
351,344,183,114,228.0317,4.1587,0.0127,34.0300,689.8300,100.0000,808.3700,3156.5579
351,344,183,114,231.6012,4.6114,0.0124,34.0300,689.8300,100.0000,808.3700,3156.5579
355,347,187,115,219.0057,4.0442,0.0112,34.0300,689.8300,100.0000,808.3700,3156.5579
355,347,187,115,229.4528,4.3234,0.0142,34.0300,689.8300,100.0000,808.3700,3156.5579
355,348,187,115,222.4344,4.2404,0.0147,34.0300,689.8300,100.0000,808.3700,3156.5579
356,349,187,116,230.8829,4.2758,0.0152,34.0300,689.8300,100.0000,808.3700,3156.5579
356,349,188,115,231.2417,4.2876,0.0132,34.0300,689.8300,100.0000,808.3700,3156.5579
357,348,188,115,230.8829,3.9655,0.0345,34.0300,689.8300,100.0000,808.3700,3156.5579
357,349,188,116,231.6012,4.2640,0.0186,34.0300,689.8300,100.0000,808.3700,3156.5579
357,349,188,116,240.3970,4.2640,0.0162,34.0300,689.8300,100.0000,808.3700,3156.5579
357,350,189,116,232.3217,4.2640,0.0178,34.0300,689.8300,100.0000,808.3700,3156.5579
358,350,188,116,231.2417,4.2936,0.0143,34.0300,689.8300,100.0000,808.3700,3156.5579
358,351,189,117,233.7696,4.8816,0.0306,34.0300,689.8300,100.0000,808.3700,3156.5579
359,351,190,117,232.6828,4.3174,0.0152,34.0300,689.8300,100.0000,808.3700,3156.5579
358,351,189,116,233.0444,4.2995,0.0176,34.0300,689.8300,100.0000,808.3700,3156.5579
359,351,190,117,231.6012,4.2876,0.0230,34.0300,689.8300,100.0000,808.3700,3156.5579
359,352,190,116,228.0317,4.2522,0.0162,34.0300,689.8300,100.0000,808.3700,3156.5579
360,352,191,117,231.6012,4.3293,0.0182,34.0300,689.8300,100.0000,808.3700,3156.5579
360,353,191,117,234.1328,4.3713,0.0319,34.0300,689.8300,100.0000,808.3700,3156.5579
360,353,192,116,232.6828,4.3413,0.0180,34.0300,689.8300,100.0000,808.3700,3156.5579
360,353,191,117,236.3249,4.3834,0.0178,34.0300,689.8300,100.0000,808.3700,3156.5579
360,353,191,117,242.2710,4.3234,0.0230,34.0300,689.8300,100.0000,808.3700,3156.5579
361,354,192,117,235.5920,4.2758,0.0190,34.0300,689.8300,100.0000,808.3700,3156.5579
361,355,192,118,240.3970,4.3713,0.0192,34.0300,689.8300,100.0000,808.3700,3156.5579
362,355,193,118,240.7707,4.3234,0.0225,34.0300,689.8300,100.0000,808.3700,3156.5579
362,355,193,118,236.6922,4.3353,0.0228,34.0300,689.8300,100.0000,808.3700,3156.5579
362,355,193,118,250.6924,4.4076,0.0220,34.0300,689.8300,100.0000,808.3700,3156.5579
363,355,194,118,238.5374,4.4076,0.0245,34.0300,689.8300,100.0000,808.3700,3156.5579
364,358,196,119,250.6924,4.5489,0.0375,34.0300,689.8300,100.0000,808.3700,3156.5579
