NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
319,422,230,118,339.4821,3.2431,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
318,422,231,118,340.0113,3.2861,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
318,422,230,117,344.8123,3.3687,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
318,422,230,118,345.3500,3.3103,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
318,422,231,118,352.4181,3.2910,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
318,421,230,118,355.1756,3.3835,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
318,422,230,117,348.0514,3.2910,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
318,422,231,117,346.9684,3.3054,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
317,421,229,118,342.6702,3.3006,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
316,422,230,118,344.8123,3.2910,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
316,422,229,117,348.5941,3.3006,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
316,420,230,117,343.2044,3.3248,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
316,421,229,117,342.6702,3.2669,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
316,422,230,118,350.2277,3.4630,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
316,420,230,117,345.3500,3.3786,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
315,420,229,117,355.1756,3.3933,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
314,420,230,116,344.8123,3.4630,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
315,421,229,117,354.0702,3.4480,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
315,421,230,117,356.8409,3.4881,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
315,420,229,117,357.3975,3.5083,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
315,420,229,116,351.3213,3.4831,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
314,421,229,117,361.8837,3.4082,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
314,419,228,116,351.8692,3.3786,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
314,420,228,117,348.0514,3.4780,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
314,420,229,116,343.7395,3.4480,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
313,420,229,116,341.6039,3.3835,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
312,419,228,116,338.9536,3.3103,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
312,419,228,116,338.4263,3.4181,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
312,418,228,116,336.8487,3.3103,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
312,419,228,117,339.4821,3.3786,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
312,418,228,117,334.7566,3.3687,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
312,418,228,116,333.7157,3.3103,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
312,419,228,117,330.6122,3.3103,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
311,419,228,116,325.5052,3.2478,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
310,418,228,116,333.1962,3.2813,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
310,418,228,116,320.4780,3.3103,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
309,418,227,116,336.3245,3.2910,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
309,418,227,116,334.7566,3.3103,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
309,418,227,116,342.6702,3.1164,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
309,418,228,116,335.2784,3.5798,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
309,418,226,116,329.5845,3.2910,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
310,418,227,116,330.0981,3.2910,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
309,418,227,115,327.5382,3.3687,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
309,418,227,115,328.5598,3.2193,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
309,417,226,116,328.5598,3.1396,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
309,417,227,116,326.5200,3.2717,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
309,418,226,115,329.5845,3.2861,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
309,417,226,116,335.2784,3.2813,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
309,418,226,115,330.0981,3.2574,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
309,418,226,116,344.8123,3.2574,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
309,417,226,115,333.1962,3.2574,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
309,418,227,116,333.7157,3.2910,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
308,417,226,116,350.2277,3.2958,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
308,417,226,116,335.8008,3.2431,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
308,417,226,115,322.4793,3.2861,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
308,417,226,116,337.3735,3.2717,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
308,417,225,116,335.8008,3.4380,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
308,417,226,116,336.8487,3.2622,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
308,417,226,116,336.8487,3.2431,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
307,417,225,116,338.9536,3.3103,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
308,417,225,116,340.0113,3.2861,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
308,417,226,116,338.4263,3.2813,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
308,417,226,116,333.1962,3.2813,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
307,417,225,116,338.9536,3.3054,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
