NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
229,448,198,103,752.5727,4.6810,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
230,448,197,102,759.8503,4.7001,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
229,448,197,103,761.0708,5.3320,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
230,448,197,103,759.8503,4.7450,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
231,448,197,103,758.6326,4.7772,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
231,447,197,103,746.5632,4.6492,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
230,447,197,103,762.2931,4.7001,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
232,447,197,104,765.9722,4.7967,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
232,447,197,103,759.8503,4.6619,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
232,447,197,103,761.0708,4.6683,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
232,447,197,103,784.6532,4.5926,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
233,446,197,104,770.9079,4.7257,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
234,445,196,104,721.8737,4.6556,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
235,446,196,104,772.1463,4.7257,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
234,446,197,104,772.1463,4.6303,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
234,445,196,103,794.8128,4.6619,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
237,444,196,104,805.1111,4.6873,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
238,443,196,104,785.9151,4.6492,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
238,443,196,104,802.5229,4.6366,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
238,443,195,104,799.9441,4.6556,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
239,443,195,104,805.1111,4.7129,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
239,442,195,103,810.3136,4.6051,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
239,442,195,104,806.4080,4.7193,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
241,442,195,104,797.3742,4.7385,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
240,442,195,104,803.8164,4.7385,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
240,442,195,104,803.8164,4.7257,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
241,442,195,104,805.1111,4.8751,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
242,442,195,104,814.2383,4.6937,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
242,441,195,104,796.0920,4.7065,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
243,442,194,104,809.0098,4.6937,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
243,441,195,104,802.5229,5.2827,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
242,441,195,104,815.5515,4.6937,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
243,441,195,104,797.3742,4.6556,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
243,440,195,104,778.3735,4.6746,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
244,441,195,104,803.8164,4.7193,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
244,441,195,104,806.4080,4.6683,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
245,441,194,105,812.9277,4.7902,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
245,440,195,105,820.8252,4.6937,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
245,440,195,105,801.2329,4.6556,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
246,440,195,104,816.8660,5.0756,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
247,439,194,104,818.1835,4.7321,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
247,439,194,105,828.8038,4.7257,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
252,437,195,105,935.7920,4.7193,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
253,438,195,105,834.1683,4.7450,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
253,438,195,105,815.5515,4.6240,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
254,436,195,105,774.6309,4.6114,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
255,437,194,105,836.8645,4.7129,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
255,437,195,105,816.8660,4.7065,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
256,437,195,105,823.4753,4.6429,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
257,437,196,105,835.5157,4.7321,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
257,436,195,105,792.2596,4.6177,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
258,436,195,105,828.8038,4.5863,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
259,436,196,105,838.2162,4.6746,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
260,436,196,106,838.2162,4.7129,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
260,437,196,106,842.2847,4.6810,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
261,436,196,104,830.1414,4.6303,inf,34.0300,689.8300,100.0000,808.3700,3156.5579
