NO2,C2H5OH,VOC,CO,Alcohol,LPG,Benzene,Temperature,Pressure,Humidity,Gas_Resistance,Altitude
195,524,248,174,1120.2065,47.9232,inf,26.5200,1003.5400,45.9220,229.4130,112.2538
194,525,247,175,1218.6210,50.9092,inf,26.1200,1003.5800,45.6960,155.0930,111.9178
195,524,248,175,1427.7474,50.5189,inf,25.9500,1003.5600,45.7290,172.6800,112.0861
196,525,247,176,2028.6536,50.6858,inf,25.9000,1003.5600,45.7670,185.2880,112.0861
195,526,248,177,1218.6210,53.4352,inf,25.9200,1003.5600,45.8010,192.4190,112.0861
196,527,248,178,1186.7793,50.4079,inf,25.9700,1003.5400,45.7920,199.4090,112.2538
197,527,248,181,1218.6210,51.0775,inf,26.0300,1003.5400,45.8240,206.1500,112.2538
197,528,248,183,1218.6210,51.0213,inf,26.0900,1003.5400,45.8130,207.0570,112.2538
199,530,249,186,1186.7793,52.7337,inf,26.1500,1003.5600,45.7980,212.1250,112.0861
201,531,250,189,1178.9592,51.3027,inf,26.2000,1003.5600,45.7980,214.6130,112.0861
202,532,251,192,1030.2819,51.3027,inf,26.2500,1003.5600,45.7710,216.7310,112.0861
203,534,252,195,816.8660,51.8703,inf,26.2900,1003.5400,45.7530,218.0220,112.2538
204,534,252,197,681.5286,52.0991,inf,26.3300,1003.5600,45.7230,220.8000,112.0861
206,535,253,199,686.9871,52.4443,inf,26.3600,1003.5600,45.6770,222.1400,112.0861
206,536,254,200,644.5705,48.8802,inf,26.3900,1003.5600,45.6560,223.4970,112.0861
206,537,255,202,662.2512,51.4157,inf,26.4100,1003.5800,45.6230,223.1940,111.9178
208,538,255,203,656.9988,51.6425,inf,26.4300,1003.5800,45.5810,225.9500,111.9178
208,538,255,203,660.1454,51.5290,inf,26.4500,1003.5800,45.5530,226.5720,111.9178
209,539,256,204,667.5480,51.7563,inf,26.4700,1003.5600,45.5320,227.3540,112.0861
208,539,257,203,643.5458,51.8703,inf,26.4800,1003.5400,45.4760,226.8840,112.2538
209,540,256,205,633.3947,51.4157,inf,26.4900,1003.5600,45.4360,227.5110,112.0861
